date,open,high,low,close,volume,Name
2013-02-08,38.0,38.08,37.83,37.97,397389,AJG
2013-02-11,37.88,38.0,37.69,37.88,500654,AJG
2013-02-12,37.9,38.0,37.77,37.82,754581,AJG
2013-02-13,37.99,38.64,37.9,38.54,851917,AJG
2013-02-14,38.43,38.93,38.43,38.82,719755,AJG
2013-02-15,38.8,38.9,38.56,38.87,580468,AJG
2013-02-19,38.82,38.93,38.58,38.85,1105882,AJG
2013-02-20,38.85,39.0,38.645,38.66,488866,AJG
2013-02-21,38.56,38.68,38.36,38.45,600890,AJG
2013-02-22,38.6,38.82,38.55,38.73,673300,AJG
2013-02-25,38.81,38.92,38.01,38.01,525275,AJG
2013-02-26,38.24,38.4505,38.03,38.39,480614,AJG
2013-02-27,38.31,38.71,38.2104,38.67,464087,AJG
2013-02-28,38.38,38.83,38.29,38.48,633547,AJG
2013-03-01,38.32,38.37,37.95,38.26,779386,AJG
2013-03-04,38.23,38.4,38.02,38.33,389742,AJG
2013-03-05,38.39,38.82,38.35,38.79,425933,AJG
2013-03-06,38.82,38.94,38.29,38.39,548612,AJG
2013-03-07,38.47,38.57,38.28,38.42,449205,AJG
2013-03-08,38.62,38.86,38.4933,38.76,909503,AJG
2013-03-11,38.72,38.91,38.655,38.88,270994,AJG
2013-03-12,38.84,38.898,38.63,38.74,414352,AJG
2013-03-13,38.83,39.26,38.66,39.17,452739,AJG
2013-03-14,39.17,39.64,39.17,39.52,525397,AJG
2013-03-15,39.51,39.66,39.4,39.64,959472,AJG
2013-03-18,39.31,39.7,39.2,39.59,742509,AJG
2013-03-19,39.67,39.91,39.425,39.9,763061,AJG
2013-03-20,40.0,40.34,39.82,40.29,666624,AJG
2013-03-21,40.1,40.38,40.09,40.23,865391,AJG
2013-03-22,40.23,40.5,40.17,40.5,503726,AJG
2013-03-25,40.5,40.67,40.26,40.45,915284,AJG
2013-03-26,40.64,40.765,40.5,40.72,1236221,AJG
2013-03-27,40.62,40.96,40.5,40.95,1346777,AJG
2013-03-28,40.95,41.31,40.91,41.31,1293816,AJG
2013-04-01,41.24,41.42,40.9688,41.23,477211,AJG
2013-04-02,41.46,41.56,41.17,41.35,737061,AJG
2013-04-03,41.36,41.47,40.85,41.01,1020112,AJG
2013-04-04,41.14,41.53,40.96,41.1,564796,AJG
2013-04-05,40.75,41.02,40.51,40.95,466755,AJG
2013-04-08,40.9,41.43,40.9,41.38,797092,AJG
2013-04-09,41.42,41.51,41.155,41.3,688703,AJG
2013-04-10,41.4,41.58,41.21,41.54,575244,AJG
2013-04-11,41.58,42.6903,41.58,42.39,1205456,AJG
2013-04-12,42.33,42.425,41.98,42.26,918929,AJG
2013-04-15,42.11,42.42,41.83,41.84,1073377,AJG
2013-04-16,42.12,42.32,42.0,42.1,772755,AJG
2013-04-17,41.97,42.07,41.68,41.76,1039006,AJG
2013-04-18,41.95,41.95,41.62,41.79,833991,AJG
2013-04-19,41.8,42.02,41.41,41.95,564337,AJG
2013-04-22,41.94,42.18,41.67,42.05,451230,AJG
2013-04-23,42.34,42.45,41.93,42.16,465198,AJG
2013-04-24,42.23,42.3187,42.01,42.14,356653,AJG
2013-04-25,42.25,42.46,42.1,42.21,316948,AJG
2013-04-26,42.22,42.42,42.08,42.27,428982,AJG
2013-04-29,42.24,42.55,42.22,42.43,697933,AJG
2013-04-30,42.32,42.55,42.27,42.45,837706,AJG
2013-05-01,43.75,43.75,42.44,42.54,1281153,AJG
2013-05-02,42.53,43.25,42.38,43.09,1031962,AJG
2013-05-03,43.34,43.64,43.26,43.58,377060,AJG
2013-05-06,43.6,44.0,43.6,43.89,435743,AJG
2013-05-07,44.0,44.01,43.82,43.99,329591,AJG
2013-05-08,43.99,44.35,43.9,44.35,419108,AJG
2013-05-09,44.42,44.635,44.27,44.35,517484,AJG
2013-05-10,44.47,44.59,44.29,44.35,381857,AJG
2013-05-13,44.35,44.77,44.29,44.75,291279,AJG
2013-05-14,44.67,45.24,44.65,45.2,434185,AJG
2013-05-15,45.2,45.69,45.04,45.58,690584,AJG
2013-05-16,45.56,45.87,45.46,45.55,608621,AJG
2013-05-17,45.61,45.7,45.26,45.52,752449,AJG
2013-05-20,45.45,45.6,45.21,45.32,476982,AJG
2013-05-21,45.41,45.56,45.13,45.21,407937,AJG
2013-05-22,45.26,45.62,44.52,44.79,653801,AJG
2013-05-23,44.64,44.77,44.32,44.66,484726,AJG
2013-05-24,44.46,44.58,44.02,44.48,342024,AJG
2013-05-28,44.8,45.15,44.65,44.81,902089,AJG
2013-05-29,44.62,44.67,44.19,44.46,286063,AJG
2013-05-30,44.56,44.96,44.49,44.82,405656,AJG
2013-05-31,44.46,44.5,43.67,43.68,586675,AJG
2013-06-03,43.75,43.75,42.89,43.12,762286,AJG
2013-06-04,43.21,43.509,42.73,42.94,459417,AJG
2013-06-05,42.72,42.989,42.42,42.59,353701,AJG
2013-06-06,42.56,43.16,42.5,43.16,634084,AJG
2013-06-07,43.38,43.86,43.1825,43.77,450540,AJG
2013-06-10,43.83,43.93,43.48,43.71,518368,AJG
2013-06-11,43.79,43.94,43.49,43.78,794786,AJG
2013-06-12,43.95,44.0579,43.46,43.48,251569,AJG
2013-06-13,43.44,44.43,43.12,44.37,452594,AJG
2013-06-14,44.28,44.49,44.13,44.35,466675,AJG
2013-06-17,44.55,44.95,44.55,44.85,444193,AJG
2013-06-18,45.0,45.49,44.76,45.36,445524,AJG
2013-06-19,44.67,44.91,43.84,43.85,860340,AJG
2013-06-20,43.53,43.64,42.68,42.7,864025,AJG
2013-06-21,42.76,43.3,42.74,43.1,847093,AJG
2013-06-24,42.7,42.94,42.34,42.68,430744,AJG
2013-06-25,42.99,43.08,42.62,42.96,476996,AJG
2013-06-26,43.32,43.44,42.89,43.19,646404,AJG
2013-06-27,43.37,44.03,43.23,43.87,323634,AJG
2013-06-28,43.86,44.05,43.62,43.69,615602,AJG
2013-07-01,43.89,44.43,43.8,44.25,394042,AJG
2013-07-02,44.2,44.64,43.8519,44.11,305366,AJG
2013-07-03,44.03,44.17,43.66,43.98,154513,AJG
2013-07-05,44.21,44.34,43.99,44.31,375452,AJG
2013-07-08,44.52,44.75,44.4,44.54,345908,AJG
2013-07-09,44.72,44.91,44.47,44.49,598185,AJG
2013-07-10,44.5,44.67,44.2,44.62,368914,AJG
2013-07-11,45.0,45.36,44.88,45.33,598234,AJG
2013-07-12,45.25,45.57,45.14,45.53,246333,AJG
2013-07-15,45.5,45.89,45.04,45.35,469663,AJG
2013-07-16,45.58,45.77,44.69,44.72,523476,AJG
2013-07-17,44.88,44.92,44.5,44.58,567893,AJG
2013-07-18,44.65,45.21,44.65,44.94,852283,AJG
2013-07-19,45.01,45.16,44.81,44.98,294945,AJG
2013-07-22,44.96,45.13,44.81,45.12,323144,AJG
2013-07-23,45.21,45.39,44.64,44.66,436344,AJG
2013-07-24,44.82,44.89,43.94,43.96,507496,AJG
2013-07-25,43.99,44.35,43.84,43.99,448322,AJG
2013-07-26,43.9,43.94,43.44,43.76,668297,AJG
2013-07-29,43.72,43.91,43.52,43.65,278542,AJG
2013-07-30,43.69,44.03,43.5045,43.76,311188,AJG
2013-07-31,44.25,45.302,44.2,44.38,786647,AJG
2013-08-01,44.85,45.68,44.33,44.82,1095810,AJG
2013-08-02,44.59,45.22,44.44,45.16,474215,AJG
2013-08-05,45.11,45.39,44.63,44.7,374909,AJG
2013-08-06,44.66,44.73,44.41,44.48,327002,AJG
2013-08-07,44.43,44.45,44.125,44.23,244450,AJG
2013-08-08,44.25,44.49,43.97,44.25,490173,AJG
2013-08-09,43.97,44.28,43.97,44.06,272460,AJG
2013-08-12,43.87,44.3,43.69,43.74,429320,AJG
2013-08-13,44.26,44.56,44.08,44.38,868563,AJG
2013-08-14,44.24,44.4658,43.67,44.1,469909,AJG
2013-08-15,43.62,43.83,43.0,43.09,495390,AJG
2013-08-16,42.84,43.25,42.74,42.95,385446,AJG
2013-08-19,42.9,42.98,42.63,42.89,316813,AJG
2013-08-20,42.88,43.52,42.67,43.36,386873,AJG
2013-08-21,43.19,43.33,42.65,42.78,381353,AJG
2013-08-22,42.85,42.98,42.52,42.81,372006,AJG
2013-08-23,43.03,43.13,42.78,43.13,337656,AJG
2013-08-26,43.16,43.28,42.57,42.57,502801,AJG
2013-08-27,42.23,42.58,41.8,42.01,648866,AJG
2013-08-28,41.95,42.16,41.65,41.75,635931,AJG
2013-08-29,41.66,42.41,41.66,42.1,523043,AJG
2013-08-30,41.86,41.86,41.19,41.34,559539,AJG
2013-09-03,41.97,42.16,41.11,41.4,1213368,AJG
2013-09-04,41.76,42.82,41.58,42.72,1517866,AJG
2013-09-05,42.82,42.97,42.58,42.92,781776,AJG
2013-09-06,42.96,43.37,42.39,43.05,666158,AJG
2013-09-09,42.94,43.89,42.93,43.89,676035,AJG
2013-09-10,43.96,44.28,43.93,44.2,589689,AJG
2013-09-11,44.2,44.41,44.04,44.35,407005,AJG
2013-09-12,44.25,44.46,44.05,44.14,828761,AJG
2013-09-13,44.27,44.304,43.56,43.66,752087,AJG
2013-09-16,44.29,44.29,43.9,44.02,582088,AJG
2013-09-17,44.01,44.44,43.91,44.29,399213,AJG
2013-09-18,44.21,44.74,43.99,44.65,768783,AJG
2013-09-19,44.75,44.79,44.28,44.3,767283,AJG
2013-09-20,44.41,44.65,44.33,44.43,1154945,AJG
2013-09-23,44.43,44.475,43.9,43.96,434078,AJG
2013-09-24,43.93,44.42,43.86,44.3,692868,AJG
2013-09-25,44.4,44.5,44.12,44.28,459822,AJG
2013-09-26,44.3,44.5,44.06,44.19,288152,AJG
2013-09-27,44.01,44.11,43.8,43.93,368772,AJG
2013-09-30,43.36,43.92,43.36,43.65,662751,AJG
