date,open,high,low,close,volume,Name
2013-02-08,261.4,265.25,260.555,261.95,3879078,AMZN
2013-02-11,263.2,263.25,256.6,257.21,3403403,AMZN
2013-02-12,259.19,260.16,257.0,258.7,2938660,AMZN
2013-02-13,261.53,269.96,260.3,269.47,5292996,AMZN
2013-02-14,267.37,270.65,265.4,269.24,3462780,AMZN
2013-02-15,267.63,268.92,263.11,265.09,3979832,AMZN
2013-02-19,265.91,270.11,264.5,269.75,2853752,AMZN
2013-02-20,270.2,274.3,266.371,266.41,3528862,AMZN
2013-02-21,265.12,269.48,263.25,265.94,3637396,AMZN
2013-02-22,266.62,267.11,261.61,265.42,3123402,AMZN
2013-02-25,266.94,268.694,259.65,259.87,3032109,AMZN
2013-02-26,260.89,262.04,255.73,259.36,3348011,AMZN
2013-02-27,259.4,265.83,256.86,263.25,2908010,AMZN
2013-02-28,261.81,267.0,260.63,264.27,2667199,AMZN
2013-03-01,263.27,266.6,261.04,265.74,2956724,AMZN
2013-03-04,265.36,273.3,264.14,273.11,3452783,AMZN
2013-03-05,274.0,276.68,269.99,275.59,3685983,AMZN
2013-03-06,275.76,276.489,271.832,273.79,2050452,AMZN
2013-03-07,274.1,274.8,271.85,273.88,1938987,AMZN
2013-03-08,275.0,275.44,271.5,274.19,1879762,AMZN
2013-03-11,273.43,273.99,270.4,271.24,1904465,AMZN
2013-03-12,271.0,277.4,270.3601,274.13,3245906,AMZN
2013-03-13,275.24,276.5,272.64,275.1,1884115,AMZN
2013-03-14,269.67,270.0,263.53,265.74,5226150,AMZN
2013-03-15,264.98,267.26,260.05,261.82,4865572,AMZN
2013-03-18,259.3,261.49,257.12,257.89,2719833,AMZN
2013-03-19,258.4,259.5,252.62,256.41,3738396,AMZN
2013-03-20,258.05,259.76,254.5501,257.278,2734710,AMZN
2013-03-21,256.11,257.0,252.68,253.39,2805646,AMZN
2013-03-22,254.55,257.77,252.07,257.75,3124199,AMZN
2013-03-25,258.58,259.429,254.5,256.02,2513758,AMZN
2013-03-26,257.05,261.48,256.28,260.31,2420504,AMZN
2013-03-27,258.75,265.93,257.9,265.3,2874824,AMZN
2013-03-28,265.82,267.375,264.06,266.49,2473257,AMZN
2013-04-01,266.98,267.4,261.01,261.61,2524725,AMZN
2013-04-02,262.4,265.89,260.55,263.322,2631038,AMZN
2013-04-03,262.12,263.67,257.75,259.03,2413784,AMZN
2013-04-04,259.23,260.41,256.12,259.08,1964377,AMZN
2013-04-05,255.72,256.18,253.67,255.48,2557357,AMZN
2013-04-08,255.92,259.679,255.63,258.95,2295573,AMZN
2013-04-09,258.85,262.61,257.0,261.14,2156507,AMZN
2013-04-10,261.78,265.98,259.32,264.77,2322407,AMZN
2013-04-11,264.74,270.97,264.74,269.85,3090466,AMZN
2013-04-12,270.12,273.27,267.02,272.87,2865875,AMZN
2013-04-15,271.08,275.12,267.1,267.72,3325359,AMZN
2013-04-16,269.31,272.8,268.06,272.34,2137118,AMZN
2013-04-17,270.8,270.85,264.25,267.4,3135091,AMZN
2013-04-18,266.81,266.9899,256.6,259.42,3137451,AMZN
2013-04-19,258.16,262.88,257.5,260.32,2602470,AMZN
2013-04-22,259.35,264.6,258.03,263.55,2119071,AMZN
2013-04-23,264.5,269.87,264.5,268.9,2270594,AMZN
2013-04-24,269.5,271.47,266.81,268.78,1851390,AMZN
2013-04-25,271.53,275.8,270.5,274.7,6011863,AMZN
2013-04-26,269.97,272.02,252.81,254.81,14029220,AMZN
2013-04-29,254.9,257.01,249.15,249.74,7110750,AMZN
2013-04-30,249.3701,254.68,248.56,253.81,4248790,AMZN
2013-05-01,253.9,254.2,245.75,248.23,4391302,AMZN
2013-05-02,248.94,252.93,245.78,252.55,3922605,AMZN
2013-05-03,256.14,259.25,254.7,258.05,3513934,AMZN
2013-05-06,258.09,259.5,253.4201,255.72,2347669,AMZN
2013-05-07,256.31,259.74,252.9101,257.73,3133399,AMZN
2013-05-08,256.87,260.295,255.334,258.68,2676986,AMZN
2013-05-09,258.73,263.55,256.88,260.16,2769255,AMZN
2013-05-10,260.88,263.65,260.21,263.63,3144719,AMZN
2013-05-13,262.77,265.88,262.0,264.51,2149398,AMZN
2013-05-14,264.5,269.4,264.028,268.33,2699755,AMZN
2013-05-15,267.07,269.05,264.56,266.56,2719687,AMZN
2013-05-16,265.96,268.43,263.85,264.12,1643068,AMZN
2013-05-17,265.83,269.98,265.0,269.9,2527271,AMZN
2013-05-20,269.0,271.79,266.5,267.63,2208934,AMZN
2013-05-21,268.74,270.77,267.66,268.86,1740956,AMZN
2013-05-22,267.39,267.59,260.8,262.96,3331960,AMZN
2013-05-23,260.49,263.17,259.59,261.8,2000141,AMZN
2013-05-24,259.85,261.93,258.34,261.74,1696290,AMZN
2013-05-28,266.48,271.1,266.0,267.29,3470157,AMZN
2013-05-29,265.46,268.25,264.844,265.53,1903390,AMZN
2013-05-30,265.71,268.57,265.615,266.83,1667469,AMZN
2013-05-31,266.0,271.91,265.94,269.2,3374188,AMZN
2013-06-03,268.96,269.11,262.95,266.88,2543880,AMZN
2013-06-04,267.0,268.88,263.02,265.7,2088072,AMZN
