date,open,high,low,close,volume,Name
2013-02-08,32.595,32.695,32.405,32.54,542314,BF.B
2013-02-11,32.56,32.665,32.005,32.05,701892,BF.B
2013-02-12,32.125,32.345,32.025,32.1,552566,BF.B
2013-02-13,32.16,32.25,31.95,32.055,674542,BF.B
2013-02-14,32.095,32.5,31.92,32.165,1125182,BF.B
2013-02-15,32.285,32.855,32.19,32.62,2687682,BF.B
2013-02-19,32.665,33.25,32.605,33.24,1151124,BF.B
2013-02-20,33.225,33.45,33.02,33.055,805700,BF.B
2013-02-21,33.06,33.16,32.81,32.925,576986,BF.B
2013-02-22,32.965,33.435,32.93,33.435,466722,BF.B
2013-02-25,33.51,33.5425,32.9,32.9,786192,BF.B
2013-02-26,32.98,33.2,32.7,32.825,543368,BF.B
2013-02-27,32.785,32.94,32.64,32.79,858930,BF.B
2013-02-28,32.89,33.06,32.75,32.81,911024,BF.B
2013-03-01,32.8,33.0,32.64,32.8,1210866,BF.B
2013-03-04,32.83,33.605,32.8201,33.605,772376,BF.B
2013-03-05,33.76,34.18,33.631,34.015,718936,BF.B
2013-03-06,34.055,34.165,33.625,33.94,640378,BF.B
2013-03-07,34.0,34.09,33.57,33.69,688188,BF.B
2013-03-08,33.845,33.85,33.57,33.74,472350,BF.B
2013-03-11,33.705,34.115,33.661,34.095,543262,BF.B
2013-03-12,34.18,34.18,33.995,34.085,453922,BF.B
2013-03-13,34.095,34.285,33.9455,34.24,357146,BF.B
2013-03-14,34.26,34.44,34.145,34.415,526996,BF.B
2013-03-15,34.315,34.5138,34.12,34.425,1013254,BF.B
2013-03-18,34.07,34.295,33.91,34.02,572304,BF.B
2013-03-19,34.13,34.47,34.085,34.345,436696,BF.B
2013-03-20,34.52,34.5725,34.34,34.47,336762,BF.B
2013-03-21,34.355,34.5,34.075,34.105,403314,BF.B
2013-03-22,34.29,34.635,34.2675,34.47,489742,BF.B
2013-03-25,34.58,34.91,34.47,34.615,517694,BF.B
2013-03-26,34.8,35.175,34.65,35.17,382906,BF.B
2013-03-27,34.96,35.095,34.73,35.095,342400,BF.B
2013-03-28,35.135,35.73,34.985,35.7,847166,BF.B
2013-04-01,35.675,35.675,35.28,35.525,620552,BF.B
2013-04-02,35.7,35.9749,35.5851,35.93,532048,BF.B
2013-04-03,35.995,35.995,35.11,35.17,532838,BF.B
2013-04-04,35.29,35.38,34.91,35.035,611492,BF.B
2013-04-05,34.93,34.93,34.56,34.715,556670,BF.B
2013-04-08,34.685,34.8605,34.635,34.84,359426,BF.B
2013-04-09,34.82,34.995,34.525,34.695,404392,BF.B
2013-04-10,34.66,35.205,34.52,35.19,520248,BF.B
2013-04-11,35.205,35.51,35.025,35.465,373412,BF.B
2013-04-12,35.27,35.43,35.065,35.4,362040,BF.B
2013-04-15,35.3,35.87,35.04,35.04,718222,BF.B
2013-04-16,35.2,35.875,34.875,35.87,601540,BF.B
2013-04-17,35.705,35.72,35.09,35.33,601956,BF.B
2013-04-18,35.385,35.715,35.115,35.35,594788,BF.B
2013-04-19,35.465,35.99,35.395,35.855,845770,BF.B
2013-04-22,35.805,35.805,35.39,35.48,476174,BF.B
2013-04-23,35.63,35.765,35.125,35.665,498460,BF.B
2013-04-24,35.765,35.765,34.93,34.975,371832,BF.B
2013-04-25,35.17,35.32,34.77,35.105,396254,BF.B
2013-04-26,35.125,35.185,34.935,35.1,353700,BF.B
2013-04-29,35.14,35.235,34.925,35.18,325358,BF.B
2013-04-30,35.16,35.305,34.675,35.25,530434,BF.B
2013-05-01,35.245,35.455,34.915,34.975,373258,BF.B
2013-05-02,34.995,35.59,34.845,35.46,783700,BF.B
2013-05-03,35.595,35.84,35.285,35.8,554802,BF.B
2013-05-06,35.7,35.7948,35.075,35.275,425420,BF.B
2013-05-07,35.285,35.72,35.0725,35.67,486556,BF.B
2013-05-08,35.54,35.745,35.32,35.61,421730,BF.B
2013-05-09,35.595,35.595,35.125,35.225,407686,BF.B
2013-05-10,35.27,35.485,35.105,35.29,512116,BF.B
2013-05-13,35.215,35.485,35.11,35.245,630270,BF.B
2013-05-14,35.21,36.0,35.21,35.975,444138,BF.B
2013-05-15,35.91,36.615,35.78,36.495,569760,BF.B
2013-05-16,36.39,37.145,36.25,36.38,509200,BF.B
2013-05-17,36.31,36.495,36.205,36.44,561912,BF.B
2013-05-20,36.395,36.47,35.965,36.075,371356,BF.B
2013-05-21,36.0,36.107,35.6875,35.895,491130,BF.B
2013-05-22,35.87,36.465,35.515,35.57,512616,BF.B
2013-05-23,35.445,35.69,35.2501,35.58,425286,BF.B
2013-05-24,35.53,35.755,35.295,35.515,342354,BF.B
2013-05-28,35.795,36.17,35.5975,35.75,308800,BF.B
2013-05-29,35.555,35.745,35.225,35.32,452730,BF.B
2013-05-30,35.405,35.665,35.35,35.46,437150,BF.B
2013-05-31,35.3,35.39,34.41,34.41,1236104,BF.B
2013-06-03,34.275,34.82,33.975,34.12,1078886,BF.B
2013-06-04,34.23,34.605,34.175,34.24,769958,BF.B
2013-06-05,34.525,34.525,34.04,34.1,548748,BF.B
2013-06-06,34.04,34.6,33.94,34.565,719670,BF.B
2013-06-07,34.88,35.4,34.745,34.945,856138,BF.B
2013-06-10,34.94,35.225,34.61,34.935,424014,BF.B
2013-06-11,34.7,35.425,34.636,34.985,543788,BF.B
2013-06-12,35.165,35.37,34.475,34.485,531648,BF.B
2013-06-13,34.51,35.155,34.14,35.095,555148,BF.B
2013-06-14,35.115,35.535,34.885,34.97,434106,BF.B
2013-06-17,35.13,35.575,35.04,35.29,484918,BF.B
2013-06-18,35.285,35.445,35.095,35.32,387578,BF.B
2013-06-19,35.365,35.54,34.455,34.5,487286,BF.B
2013-06-20,34.265,34.305,33.22,33.25,782724,BF.B
2013-06-21,33.565,34.59,33.565,34.12,1242848,BF.B
2013-06-24,33.97,34.265,33.485,33.805,576148,BF.B
2013-06-25,34.02,34.0825,33.585,33.86,516130,BF.B
2013-06-26,34.08,34.385,33.94,33.965,772258,BF.B
2013-06-27,34.235,34.5,34.045,34.215,373522,BF.B
2013-06-28,34.15,34.375,33.76,33.775,1131540,BF.B
2013-07-01,33.845,34.225,33.685,33.725,788770,BF.B
2013-07-02,33.725,34.03,33.595,33.87,984100,BF.B
2013-07-03,33.65,33.88,33.47,33.715,268166,BF.B
2013-07-05,33.87,34.0425,33.42,33.74,359080,BF.B
2013-07-08,33.76,34.54,33.74,34.5,796716,BF.B
2013-07-09,34.75,34.925,34.585,34.83,475302,BF.B
2013-07-10,34.755,35.375,34.755,35.36,883934,BF.B
2013-07-11,35.78,36.09,35.5,36.025,914498,BF.B
2013-07-12,35.995,36.145,35.8,36.08,751236,BF.B
2013-07-15,36.02,36.175,35.87,36.115,485616,BF.B
2013-07-16,36.02,36.42,35.825,36.265,672890,BF.B
2013-07-17,36.45,36.805,36.445,36.705,936950,BF.B
2013-07-18,36.705,36.795,36.55,36.715,432624,BF.B
2013-07-19,36.855,36.855,36.43,36.5,1051820,BF.B
2013-07-22,36.415,36.525,36.095,36.375,580474,BF.B
2013-07-23,36.49,36.585,36.09,36.385,312430,BF.B
2013-07-24,36.475,36.51,35.825,35.98,362876,BF.B
2013-07-25,35.97,36.315,35.935,36.21,252200,BF.B
2013-07-26,36.01,36.19,35.55,36.04,371398,BF.B
2013-07-29,35.88,36.145,35.8,36.04,293726,BF.B
2013-07-30,36.345,36.385,35.7175,35.77,452264,BF.B
2013-07-31,36.005,36.7,35.97,36.255,1274850,BF.B
2013-08-01,36.62,36.865,36.395,36.45,646950,BF.B
2013-08-02,36.4,36.53,35.955,36.31,663876,BF.B
2013-08-05,36.29,36.585,36.185,36.435,430866,BF.B
2013-08-06,36.485,36.66,36.29,36.51,771488,BF.B
2013-08-07,36.435,36.51,36.015,36.03,455846,BF.B
2013-08-08,36.06,36.46,35.995,36.43,735556,BF.B
2013-08-09,36.55,36.56,36.02,36.28,574070,BF.B
2013-08-12,36.055,36.08,35.685,35.75,394454,BF.B
2013-08-13,35.835,35.95,35.615,35.815,469276,BF.B
2013-08-14,35.755,35.935,35.56,35.575,391660,BF.B
2013-08-15,35.46,35.505,34.8505,34.94,464952,BF.B
2013-08-16,34.855,35.0,34.34,34.375,1052686,BF.B
2013-08-19,34.4,34.855,34.4,34.635,583262,BF.B
2013-08-20,34.68,34.97,34.5,34.83,580748,BF.B
2013-08-21,34.865,34.865,34.2,34.47,591220,BF.B
2013-08-22,34.46,35.315,34.18,35.015,463914,BF.B
2013-08-23,35.105,35.3,34.745,34.935,233316,BF.B
2013-08-26,34.93,35.11,34.48,34.56,338370,BF.B
2013-08-27,34.04,34.725,34.04,34.51,659174,BF.B
2013-08-28,34.565,34.8,33.825,33.98,1068122,BF.B
2013-08-29,33.975,34.235,33.77,33.825,872092,BF.B
2013-08-30,33.845,34.0025,33.415,33.495,910162,BF.B
2013-09-03,33.7,33.84,33.205,33.345,645736,BF.B
2013-09-04,33.28,34.31,33.28,34.085,1584546,BF.B
2013-09-05,34.0,34.18,33.865,34.085,548924,BF.B
2013-09-06,34.095,34.325,33.79,34.115,590940,BF.B
2013-09-09,34.11,34.53,33.97,34.51,675656,BF.B
2013-09-10,34.69,34.71,34.465,34.595,652852,BF.B
2013-09-11,34.65,34.95,34.465,34.87,501616,BF.B
2013-09-12,34.815,34.885,34.715,34.815,424240,BF.B
2013-09-13,34.97,35.05,34.74,35.015,490712,BF.B
2013-09-16,35.51,35.675,35.25,35.36,603250,BF.B
2013-09-17,35.37,35.525,35.315,35.46,448850,BF.B
2013-09-18,35.56,36.085,35.06,36.04,613930,BF.B
2013-09-19,36.195,36.265,35.705,35.74,755748,BF.B
2013-09-20,35.88,36.0,35.23,35.23,4352528,BF.B
2013-09-23,35.275,35.375,35.06,35.22,751522,BF.B
2013-09-24,35.29,35.325,34.655,34.7,762362,BF.B
2013-09-25,34.835,35.055,34.34,34.395,444634,BF.B
2013-09-26,34.45,34.675,34.34,34.555,343052,BF.B
2013-09-27,34.505,34.525,34.205,34.385,411392,BF.B
2013-09-30,34.245,34.3925,33.96,34.065,630540,BF.B
2013-10-01,34.14,34.56,33.915,34.56,814214,BF.B
2013-10-02,34.31,34.6,33.795,34.175,1255604,BF.B
2013-10-03,34.0,34.13,33.755,33.875,858438,BF.B
2013-10-04,33.85,34.485,33.815,34.375,732894,BF.B
2013-10-07,33.98,34.455,33.98,34.295,584940,BF.B
2013-10-08,34.215,34.495,33.92,33.93,713702,BF.B
2013-10-09,34.06,34.145,33.625,33.7,562920,BF.B
2013-10-10,34.025,34.91,34.025,34.91,649054,BF.B
2013-10-11,34.95,35.13,34.835,35.115,772336,BF.B
2013-10-14,34.86,35.22,34.86,35.2,913190,BF.B
2013-10-15,35.005,35.235,34.78,34.875,732318,BF.B
2013-10-16,35.0,35.605,35.0,35.57,824046,BF.B
2013-10-17,35.47,36.24,35.4,36.22,822468,BF.B
2013-10-18,36.51,36.65,35.945,36.305,1072712,BF.B
2013-10-21,36.095,36.55,35.615,36.315,523946,BF.B
2013-10-22,36.415,36.7425,36.28,36.6,377056,BF.B
2013-10-23,36.415,36.495,36.07,36.23,515560,BF.B
2013-10-24,36.37,36.39,36.035,36.21,480802,BF.B
2013-10-25,36.31,36.43,35.635,36.4,521846,BF.B
2013-10-28,36.59,37.005,36.46,36.98,710784,BF.B
2013-10-29,36.99,37.34,36.865,37.275,852204,BF.B
2013-10-30,37.325,37.48,36.92,36.94,496976,BF.B
2013-10-31,36.915,37.095,36.44,36.49,768950,BF.B
2013-11-01,36.44,36.64,36.26,36.545,557098,BF.B
2013-11-04,36.635,36.79,36.3795,36.77,489684,BF.B
2013-11-05,36.71,37.0,36.39,36.77,636470,BF.B
2013-11-06,36.845,37.065,36.58,37.06,522294,BF.B
2013-11-07,37.115,37.23,36.43,36.495,667398,BF.B
2013-11-08,36.65,37.125,36.055,37.105,533346,BF.B
2013-11-11,37.175,37.225,36.765,36.97,418608,BF.B
2013-11-12,36.96,37.125,36.625,36.925,394664,BF.B
2013-11-13,36.72,37.235,36.495,37.13,602922,BF.B
2013-11-14,37.345,37.54,37.075,37.405,302038,BF.B
2013-11-15,37.285,37.675,37.205,37.545,355140,BF.B
2013-11-18,37.78,38.22,37.34,37.54,459636,BF.B
2013-11-19,37.42,37.7549,37.27,37.41,363146,BF.B
2013-11-20,37.46,37.565,37.05,37.245,320024,BF.B
2013-11-21,37.405,37.715,37.36,37.68,319624,BF.B
2013-11-22,37.57,37.8,37.33,37.69,337602,BF.B
2013-11-25,37.695,38.105,37.585,37.775,428796,BF.B
2013-11-26,38.065,38.065,37.575,37.695,489130,BF.B
2013-11-27,37.865,38.105,37.575,37.825,304532,BF.B
2013-11-29,37.81,38.095,37.48,37.51,250966,BF.B
2013-12-02,37.5,37.96,36.84,36.94,821544,BF.B
2013-12-03,37.045,37.42,36.7,37.25,933822,BF.B
2013-12-04,37.46,37.715,36.875,37.47,946380,BF.B
2013-12-05,37.37,37.5399,37.195,37.205,686382,BF.B
2013-12-06,38.34,38.345,37.475,38.155,851788,BF.B
2013-12-09,38.365,38.365,37.82,38.08,785598,BF.B
2013-12-10,37.91,38.055,37.505,37.6,678646,BF.B
2013-12-11,37.625,38.0,37.39,37.445,909754,BF.B
2013-12-12,37.53,37.545,36.685,36.73,533248,BF.B
2013-12-13,36.88,37.04,36.46,36.685,586480,BF.B
2013-12-16,36.7,37.405,36.7,36.915,414870,BF.B
2013-12-17,36.905,37.0,36.51,36.605,611974,BF.B
2013-12-18,36.7,37.51,36.25,37.45,696054,BF.B
2013-12-19,37.49,37.62,36.96,37.215,574830,BF.B
2013-12-20,37.315,37.645,37.1875,37.57,1164160,BF.B
2013-12-23,37.75,37.96,37.35,37.505,490556,BF.B
2013-12-24,37.595,37.595,37.245,37.53,133754,BF.B
2013-12-26,37.57,37.64,37.165,37.505,395866,BF.B
2013-12-27,37.82,37.97,37.43,37.705,369876,BF.B
2013-12-30,37.7,37.935,37.58,37.775,427322,BF.B
2013-12-31,37.85,37.85,37.51,37.785,413006,BF.B
2014-01-02,37.775,37.84,37.005,37.325,704366,BF.B
