date,open,high,low,close,volume,Name
2013-02-08,23.87,24.31,23.595,24.19,3552395,CBG
2013-02-11,24.2,24.47,23.88,24.13,3285741,CBG
2013-02-12,24.17,24.46,24.13,24.26,1903335,CBG
2013-02-13,24.39,24.85,24.33,24.5,3807986,CBG
2013-02-14,24.35,24.86,24.35,24.7,3224715,CBG
2013-02-15,24.58,24.62,23.97,24.28,4357009,CBG
2013-02-19,24.36,24.5,24.145,24.5,1960636,CBG
2013-02-20,24.44,24.47,23.69,23.84,5024548,CBG
2013-02-21,23.87,24.0,23.32,23.57,4994810,CBG
2013-02-22,23.77,23.97,23.5,23.91,2176813,CBG
2013-02-25,24.0,24.39,23.24,23.24,3665493,CBG
2013-02-26,23.43,23.555,23.17,23.42,2453460,CBG
2013-02-27,23.34,24.11,23.18,23.89,2844125,CBG
2013-02-28,23.86,24.529,23.8,24.17,3522287,CBG
2013-03-01,23.87,24.61,23.85,24.36,3512183,CBG
2013-03-04,24.3,24.71,24.15,24.58,1945292,CBG
2013-03-05,24.73,24.99,24.62,24.74,2937063,CBG
2013-03-06,24.86,24.94,24.45,24.48,2529353,CBG
2013-03-07,24.48,24.66,24.4,24.53,2242198,CBG
2013-03-08,24.69,24.8,24.29,24.64,2614028,CBG
2013-03-11,24.64,25.26,24.64,25.22,3733452,CBG
2013-03-12,25.13,25.445,25.02,25.31,2834498,CBG
2013-03-13,25.29,25.38,24.98,25.36,2038861,CBG
2013-03-14,25.39,25.45,25.09,25.2,2314128,CBG
2013-03-15,25.1,25.12,24.65,24.93,3222974,CBG
2013-03-18,24.55,25.21,24.5,25.18,2937608,CBG
2013-03-19,25.27,25.3,24.39,24.46,2530342,CBG
2013-03-20,24.69,25.07,24.64,24.83,2284998,CBG
2013-03-21,24.62,24.785,24.28,24.51,2230297,CBG
2013-03-22,24.65,25.02,24.5,24.71,1887330,CBG
2013-03-25,24.87,25.195,24.61,24.68,2874908,CBG
2013-03-26,24.77,25.115,24.71,25.02,1960164,CBG
2013-03-27,24.8,25.13,24.69,25.11,1890896,CBG
2013-03-28,25.13,25.3,24.88,25.25,2431019,CBG
2013-04-01,25.28,25.28,24.3,24.44,2863534,CBG
2013-04-02,24.61,24.76,24.28,24.4,1668980,CBG
2013-04-03,24.48,24.53,23.88,23.93,4060064,CBG
2013-04-04,23.93,24.3,23.71,24.28,3223688,CBG
2013-04-05,23.79,24.23,23.66,24.22,1405033,CBG
2013-04-08,24.3,24.95,24.292,24.93,1453532,CBG
2013-04-09,25.0,25.22,24.78,25.01,2038380,CBG
2013-04-10,25.08,25.51,24.97,25.51,2376576,CBG
2013-04-11,25.51,25.69,25.39,25.5,1908213,CBG
2013-04-12,25.36,25.46,25.1,25.29,1856371,CBG
2013-04-15,25.16,25.16,24.1,24.12,2025661,CBG
2013-04-16,24.33,24.58,24.15,24.31,2374812,CBG
2013-04-17,24.07,24.09,23.31,23.7,3427654,CBG
2013-04-18,23.75,23.97,23.3,23.5,1722743,CBG
2013-04-19,23.51,23.84,23.17,23.83,2868018,CBG
2013-04-22,23.88,23.96,23.34,23.71,2204033,CBG
2013-04-23,23.93,24.28,23.7875,24.17,2140596,CBG
2013-04-24,24.21,24.62,24.09,24.61,1723558,CBG
2013-04-25,24.69,24.975,24.48,24.75,2975444,CBG
2013-04-26,24.45,24.51,23.78,24.18,2866787,CBG
2013-04-29,24.28,24.7,24.22,24.35,1396700,CBG
2013-04-30,24.33,24.4,23.93,24.22,2610515,CBG
2013-05-01,24.1,24.33,23.99,24.04,2424509,CBG
2013-05-02,24.19,24.27,23.95,24.02,1939393,CBG
2013-05-03,24.36,24.62,24.05,24.15,1761114,CBG
2013-05-06,24.16,24.43,24.03,24.22,2059328,CBG
2013-05-07,24.36,24.63,24.3,24.44,3347728,CBG
2013-05-08,24.38,24.65,24.15,24.57,1945065,CBG
2013-05-09,24.56,24.63,24.23,24.31,1720030,CBG
2013-05-10,24.38,24.44,24.05,24.1,2320322,CBG
2013-05-13,24.05,24.16,23.85,24.03,2908048,CBG
2013-05-14,24.08,24.56,24.0501,24.51,2554844,CBG
2013-05-15,24.51,25.21,24.4,25.18,3426629,CBG
2013-05-16,25.08,25.2,24.65,24.72,2631018,CBG
2013-05-17,24.79,24.95,24.52,24.78,1870508,CBG
2013-05-20,24.71,24.94,24.6,24.61,2274748,CBG
2013-05-21,24.6,25.16,24.43,25.08,3336489,CBG
2013-05-22,25.08,25.365,24.06,24.23,3479463,CBG
2013-05-23,23.97,24.04,23.55,23.89,2684896,CBG
2013-05-24,23.74,23.75,23.29,23.39,2082615,CBG
2013-05-28,23.82,24.07,23.45,23.74,3497204,CBG
2013-05-29,23.49,23.6,22.97,23.39,2719724,CBG
2013-05-30,23.44,23.655,23.27,23.41,1574292,CBG
2013-05-31,23.32,23.6,23.18,23.18,2964071,CBG
2013-06-03,23.24,23.43,22.71,23.21,3234874,CBG
2013-06-04,23.2,23.38,22.86,23.05,2695421,CBG
2013-06-05,22.96,23.1888,22.41,22.51,3208892,CBG
2013-06-06,22.48,23.18,22.34,23.17,3334428,CBG
2013-06-07,23.37,23.49,23.0769,23.44,1765364,CBG
2013-06-10,23.5,23.56,23.075,23.2,1646555,CBG
2013-06-11,22.88,23.11,22.65,22.9,1691413,CBG
2013-06-12,23.08,23.12,22.47,22.56,2971108,CBG
2013-06-13,22.51,22.98,22.42,22.92,2983102,CBG
2013-06-14,22.9,23.31,22.61,22.67,1768793,CBG
2013-06-17,22.87,22.97,22.63,22.81,2042644,CBG
2013-06-18,22.89,23.27,22.64,23.05,2783795,CBG
2013-06-19,23.05,23.11,22.07,22.28,4802032,CBG
2013-06-20,22.03,22.03,21.34,21.61,5796258,CBG
2013-06-21,21.85,21.855,21.02,21.5,5297023,CBG
2013-06-24,21.24,21.94,20.59,21.45,5147478,CBG
2013-06-25,21.72,22.11,21.5,21.99,2412296,CBG
2013-06-26,22.23,22.89,22.18,22.58,3656657,CBG
2013-06-27,22.78,23.27,22.715,23.22,3038018,CBG
2013-06-28,23.09,23.45,22.92,23.36,5080624,CBG
2013-07-01,23.55,23.57,23.04,23.3,3799052,CBG
2013-07-02,23.29,23.62,23.03,23.2,2075262,CBG
2013-07-03,23.05,23.41,22.91,23.34,787555,CBG
2013-07-05,23.53,23.65,23.08,23.43,1781789,CBG
2013-07-08,23.53,23.62,23.24,23.29,2198762,CBG
2013-07-09,23.36,23.79,23.32,23.51,1418885,CBG
2013-07-10,23.47,23.6,23.24,23.43,1357423,CBG
2013-07-11,23.82,23.98,23.53,23.95,1753691,CBG
2013-07-12,23.94,24.16,23.71,24.07,2081998,CBG
2013-07-15,24.05,24.11,23.86,24.04,1205385,CBG
2013-07-16,24.08,24.31,23.84,23.88,1862459,CBG
2013-07-17,23.99,24.11,23.84,24.04,2455148,CBG
2013-07-18,24.06,24.17,24.02,24.13,3353466,CBG
2013-07-19,24.07,24.33,24.02,24.3,1886926,CBG
2013-07-22,24.3,24.37,24.08,24.2,1457053,CBG
2013-07-23,24.28,24.46,24.2,24.37,1579920,CBG
2013-07-24,24.43,24.48,24.04,24.36,2044902,CBG
2013-07-25,24.25,24.5,24.1,24.48,2033498,CBG
2013-07-26,23.71,24.19,23.43,24.09,4524999,CBG
2013-07-29,24.09,24.12,23.74,23.75,1979281,CBG
2013-07-30,23.8,24.155,23.58,23.8,2764876,CBG
2013-07-31,23.92,23.93,22.94,23.17,5868123,CBG
2013-08-01,23.36,23.5,23.18,23.23,3206850,CBG
2013-08-02,23.16,23.52,23.12,23.2,3179560,CBG
2013-08-05,23.19,23.325,22.99,23.13,2494160,CBG
2013-08-06,23.09,23.23,23.0,23.05,1981548,CBG
2013-08-07,23.0,23.1,22.88,22.91,2140784,CBG
2013-08-08,23.0,23.22,22.87,23.17,2210944,CBG
2013-08-09,23.09,23.59,23.05,23.31,1476183,CBG
2013-08-12,23.28,23.35,23.02,23.3,2211835,CBG
2013-08-13,23.3,23.335,22.87,22.94,2494266,CBG
2013-08-14,22.97,23.155,22.79,22.85,2463095,CBG
2013-08-15,22.6,22.65,21.99,22.04,2332410,CBG
2013-08-16,21.96,22.03,21.565,21.6,2899037,CBG
2013-08-19,21.28,21.685,21.24,21.27,4707636,CBG
2013-08-20,21.32,22.15,21.28,21.99,3170208,CBG
2013-08-21,21.94,22.02,21.53,21.72,2459061,CBG
2013-08-22,21.76,21.85,21.64,21.72,2023111,CBG
2013-08-23,21.72,21.935,21.659,21.91,2291091,CBG
2013-08-26,21.89,22.01,21.7,21.76,1837245,CBG
2013-08-27,21.46,21.725,21.38,21.52,3066319,CBG
2013-08-28,21.52,21.94,21.48,21.82,3012314,CBG
2013-08-29,21.7,21.83,21.59,21.69,1645721,CBG
2013-08-30,21.83,21.91,21.63,21.87,3065832,CBG
2013-09-03,22.19,22.28,21.71,21.98,3526648,CBG
2013-09-04,21.95,22.32,21.83,22.17,2111430,CBG
2013-09-05,22.15,22.21,21.9,22.0,1811983,CBG
2013-09-06,22.18,22.5,22.0,22.37,2100514,CBG
2013-09-09,22.41,23.25,22.37,23.24,1845970,CBG
2013-09-10,23.4,23.53,23.24,23.52,1739174,CBG
2013-09-11,23.5,23.92,23.375,23.92,2262757,CBG
2013-09-12,23.96,24.05,23.52,23.54,1558741,CBG
2013-09-13,23.53,23.56,23.23,23.4,2273302,CBG
2013-09-16,23.78,23.96,23.525,23.57,2192176,CBG
2013-09-17,23.52,23.86,23.52,23.66,1361191,CBG
2013-09-18,23.65,24.275,23.33,24.24,2906614,CBG
2013-09-19,24.29,24.5,23.96,23.99,1736032,CBG
2013-09-20,24.03,24.16,23.65,23.81,5584706,CBG
2013-09-23,23.7,23.87,23.56,23.59,1853345,CBG
2013-09-24,23.61,23.65,23.27,23.3,1584885,CBG
2013-09-25,23.32,23.51,23.26,23.4,1571247,CBG
2013-09-26,23.47,23.63,23.26,23.42,999993,CBG
2013-09-27,23.3,23.43,23.24,23.34,1151875,CBG
2013-09-30,23.07,23.3,22.93,23.13,3270987,CBG
2013-10-01,23.09,23.66,23.0,23.61,1617194,CBG
2013-10-02,23.45,23.48,23.075,23.24,3015877,CBG
2013-10-03,23.2,23.21,22.539,22.75,3760654,CBG
2013-10-04,22.76,22.8,22.48,22.55,2697118,CBG
2013-10-07,22.43,22.67,22.27,22.5,3821066,CBG
2013-10-08,22.48,22.62,22.0,22.11,4641008,CBG
2013-10-09,22.14,22.42,21.86,22.27,4606049,CBG
2013-10-10,22.55,22.87,22.46,22.82,3611008,CBG
2013-10-11,22.66,22.81,22.49,22.78,2050277,CBG
2013-10-14,22.55,22.77,22.4,22.67,2206650,CBG
2013-10-15,22.56,22.66,22.28,22.42,3542718,CBG
2013-10-16,22.68,22.96,22.52,22.79,2830882,CBG
2013-10-17,22.73,23.22,22.57,23.18,2538926,CBG
2013-10-18,23.31,23.38,22.77,22.87,2927442,CBG
2013-10-21,22.91,23.06,22.75,23.06,2936971,CBG
2013-10-22,23.14,23.87,23.1,23.52,2203193,CBG
2013-10-23,23.43,23.58,23.29,23.35,1586149,CBG
2013-10-24,23.37,23.61,23.21,23.53,1551869,CBG
2013-10-25,23.65,23.74,23.48,23.72,1386772,CBG
2013-10-28,23.96,24.14,23.351,23.41,1991017,CBG
2013-10-29,23.65,24.595,23.65,24.4,5238568,CBG
2013-10-30,22.13,23.73,22.01,23.48,10311160,CBG
2013-10-31,23.43,23.7,23.13,23.23,3512319,CBG
2013-11-01,23.15,23.21,22.81,23.03,4241711,CBG
2013-11-04,23.18,23.2,22.96,23.04,3468443,CBG
2013-11-05,22.82,23.005,22.71,22.87,3190124,CBG
2013-11-06,22.94,22.98,22.41,22.44,3023399,CBG
2013-11-07,22.56,22.64,22.225,22.28,2746500,CBG
2013-11-08,22.21,22.4,22.0,22.32,4063465,CBG
2013-11-11,22.37,22.5,22.27,22.43,1172588,CBG
2013-11-12,22.34,22.53,22.0,22.03,4990937,CBG
2013-11-13,22.19,22.665,22.1,22.6,3147120,CBG
2013-11-14,22.67,23.04,22.61,22.88,5090707,CBG
2013-11-15,22.9,23.03,22.77,22.97,6289637,CBG
2013-11-18,23.05,23.2,22.89,22.95,3423110,CBG
2013-11-19,22.98,23.03,22.63,22.76,2525030,CBG
2013-11-20,22.78,22.87,22.36,22.44,2113099,CBG
2013-11-21,22.5,22.835,22.31,22.78,3016530,CBG
