date,open,high,low,close,volume,Name
2013-02-08,42.99,43.05,42.74,42.87,567549,CTAS
2013-02-11,42.96,43.72,42.82,43.23,783204,CTAS
2013-02-12,43.32,43.605,43.07,43.49,740309,CTAS
2013-02-13,43.54,43.68,43.2901,43.38,327098,CTAS
2013-02-14,43.28,43.69,43.13,43.67,662041,CTAS
2013-02-15,43.63,45.29,43.63,44.66,2358671,CTAS
2013-02-19,44.46,44.77,44.28,44.56,875324,CTAS
2013-02-20,44.59,44.72,44.14,44.21,909985,CTAS
2013-02-21,44.11,44.18,43.67,43.79,495161,CTAS
2013-02-22,43.92,44.24,43.9,44.23,316083,CTAS
2013-02-25,44.38,44.48,43.06,43.08,407504,CTAS
2013-02-26,43.21,43.39,42.83,43.36,451919,CTAS
2013-02-27,43.27,43.96,43.27,43.84,245023,CTAS
2013-02-28,43.73,44.065,43.73,43.9,640945,CTAS
2013-03-01,43.75,43.87,43.42,43.8,479254,CTAS
2013-03-04,43.63,43.77,43.16,43.69,435755,CTAS
2013-03-05,43.91,44.15,43.85,43.95,329904,CTAS
2013-03-06,44.0,44.08,43.64,43.79,373399,CTAS
2013-03-07,43.76,44.08,43.75,44.03,268542,CTAS
2013-03-08,44.18,44.51,43.79,44.35,297280,CTAS
2013-03-11,44.31,44.49,44.26,44.41,258615,CTAS
2013-03-12,44.46,44.51,44.05,44.17,355094,CTAS
2013-03-13,44.26,44.62,44.09,44.57,294628,CTAS
2013-03-14,44.69,44.74,43.95,44.49,348351,CTAS
2013-03-15,44.31,44.79,44.25,44.72,964574,CTAS
2013-03-18,44.56,45.66,44.27,45.48,846472,CTAS
2013-03-19,45.66,45.9369,45.29,45.93,1210348,CTAS
2013-03-20,44.3,44.58,42.11,43.88,2877169,CTAS
2013-03-21,43.58,43.65,42.95,43.19,751208,CTAS
2013-03-22,43.09,43.42,43.0335,43.39,463906,CTAS
2013-03-25,43.43,43.43,42.91,43.07,687777,CTAS
2013-03-26,43.3,43.41,43.1,43.37,406699,CTAS
2013-03-27,43.27,43.6829,43.18,43.53,394790,CTAS
2013-03-28,43.48,44.22,43.46,44.13,538740,CTAS
2013-04-01,44.1,44.2225,43.6,43.94,375370,CTAS
2013-04-02,44.07,44.36,44.0,44.06,358115,CTAS
2013-04-03,42.35,44.28,42.35,44.02,445574,CTAS
2013-04-04,44.17,44.29,43.78,44.06,389715,CTAS
2013-04-05,43.6,43.93,43.49,43.86,436671,CTAS
2013-04-08,43.95,44.26,43.9,44.25,296958,CTAS
2013-04-09,44.35,44.98,44.1,44.3,316266,CTAS
2013-04-10,44.36,45.21,44.15,45.2,515503,CTAS
2013-04-11,45.32,45.77,45.02,45.58,635489,CTAS
2013-04-12,45.54,45.94,45.44,45.88,627574,CTAS
2013-04-15,45.64,45.725,44.26,44.39,543867,CTAS
2013-04-16,44.51,45.11,44.47,45.05,426230,CTAS
2013-04-17,44.74,44.96,43.84,44.18,575202,CTAS
2013-04-18,44.34,44.41,43.81,44.23,537184,CTAS
2013-04-19,44.34,44.87,44.12,44.8,437265,CTAS
2013-04-22,44.81,45.13,44.3401,44.77,331476,CTAS
2013-04-23,44.99,45.0,44.43,44.65,432438,CTAS
2013-04-24,44.75,44.902,44.35,44.88,337773,CTAS
2013-04-25,45.19,45.36,44.89,44.98,352797,CTAS
2013-04-26,45.01,45.0625,44.44,44.64,406439,CTAS
2013-04-29,44.84,45.08,44.51,44.79,264231,CTAS
2013-04-30,44.76,45.01,44.54,44.87,438463,CTAS
2013-05-01,44.73,44.97,44.17,44.22,455884,CTAS
2013-05-02,44.32,44.68,44.23,44.64,427705,CTAS
2013-05-03,44.95,45.59,44.92,45.25,329794,CTAS
2013-05-06,45.19,45.32,44.88,45.11,364302,CTAS
2013-05-07,45.1,45.38,44.99,45.28,471283,CTAS
2013-05-08,45.14,45.61,45.07,45.24,513774,CTAS
2013-05-09,45.2,45.29,44.75,44.87,454788,CTAS
2013-05-10,45.0,45.17,44.88,45.11,249827,CTAS
2013-05-13,44.97,45.09,44.77,44.89,305469,CTAS
2013-05-14,44.96,45.15,44.92,45.14,399501,CTAS
2013-05-15,45.04,45.67,44.3775,45.58,430453,CTAS
2013-05-16,45.46,45.86,45.18,45.41,322292,CTAS
2013-05-17,45.43,45.97,45.31,45.89,528587,CTAS
2013-05-20,45.88,45.925,45.68,45.9,249064,CTAS
2013-05-21,45.8,46.12,45.78,45.89,293413,CTAS
2013-05-22,45.92,46.27,45.29,45.35,352168,CTAS
2013-05-23,45.24,45.4,44.76,44.84,420118,CTAS
2013-05-24,44.46,44.98,44.38,44.98,273834,CTAS
2013-05-28,45.47,45.71,44.96,45.17,383430,CTAS
2013-05-29,44.85,45.0799,44.34,44.72,314405,CTAS
2013-05-30,45.04,45.98,44.82,45.5,649011,CTAS
2013-05-31,45.37,45.87,45.2675,45.655,870158,CTAS
2013-06-03,45.71,45.82,45.38,45.71,390785,CTAS
2013-06-04,45.63,45.89,45.1,45.4,424087,CTAS
2013-06-05,45.2,45.28,44.66,44.85,487386,CTAS
2013-06-06,44.77,45.23,44.55,45.23,398055,CTAS
2013-06-07,45.42,45.87,45.21,45.8,386866,CTAS
2013-06-10,45.95,46.05,45.56,45.81,265265,CTAS
2013-06-11,45.31,45.75,45.07,45.4,290366,CTAS
2013-06-12,45.66,45.8,45.06,45.07,202949,CTAS
2013-06-13,45.02,46.0,44.87,45.92,446039,CTAS
2013-06-14,45.91,45.99,45.44,45.57,271529,CTAS
2013-06-17,45.75,46.04,45.59,45.9,221999,CTAS
2013-06-18,46.0,46.46,45.78,46.22,482064,CTAS
2013-06-19,46.26,46.5,45.5,45.64,409026,CTAS
2013-06-20,45.17,45.38,44.8,45.22,494727,CTAS
2013-06-21,45.48,45.58,44.87,45.13,846940,CTAS
2013-06-24,44.81,45.48,44.65,45.11,420071,CTAS
2013-06-25,45.5,45.77,45.09,45.41,514078,CTAS
2013-06-26,45.59,45.83,45.21,45.44,333046,CTAS
2013-06-27,45.47,46.05,45.47,45.94,338935,CTAS
2013-06-28,45.69,45.91,45.54,45.54,892210,CTAS
