date,open,high,low,close,volume,Name
2013-02-08,51.12,51.39,51.03,51.2,3656318,CVS
2013-02-11,51.25,51.4,51.17,51.24,3992289,CVS
2013-02-12,51.26,51.31,51.13,51.17,4303149,CVS
2013-02-13,51.13,51.185,50.81,51.06,4837994,CVS
2013-02-14,50.92,52.06,50.92,51.89,5182875,CVS
2013-02-15,52.1,52.1,50.89,51.12,8492298,CVS
2013-02-19,51.38,52.77,51.38,52.66,7829897,CVS
2013-02-20,52.5,52.66,51.85,51.85,6350366,CVS
2013-02-21,51.72,51.92,51.52,51.86,5439758,CVS
2013-02-22,51.89,51.94,51.24,51.35,4224209,CVS
2013-02-25,51.69,51.97,50.53,50.53,4479064,CVS
2013-02-26,50.71,50.985,50.2119,50.64,4128438,CVS
2013-02-27,50.71,51.255,50.51,51.16,3475912,CVS
2013-02-28,51.21,51.63,51.05,51.12,6022565,CVS
2013-03-01,51.07,51.64,50.88,51.56,4564945,CVS
2013-03-04,51.4,51.87,51.25,51.87,3132766,CVS
2013-03-05,52.01,52.43,51.87,52.3,5345192,CVS
2013-03-06,52.58,52.69,52.14,52.22,5022964,CVS
2013-03-07,52.22,52.22,51.7,52.09,3688645,CVS
2013-03-08,52.3,52.45,51.8432,52.28,3982604,CVS
2013-03-11,52.27,52.63,52.2,52.63,4622087,CVS
2013-03-12,52.17,52.5,51.77,52.08,6388462,CVS
2013-03-13,52.22,52.93,52.17,52.9,4521655,CVS
2013-03-14,53.07,53.3,52.95,53.26,5796378,CVS
2013-03-15,53.33,53.61,53.175,53.58,8932987,CVS
2013-03-18,53.2,54.03,53.03,53.8,7208862,CVS
2013-03-19,54.0,54.485,53.95,54.38,8913637,CVS
2013-03-20,54.78,55.35,54.7,55.15,9135216,CVS
2013-03-21,54.85,55.18,54.61,54.65,7506477,CVS
2013-03-22,54.72,55.25,54.71,55.2,5196483,CVS
2013-03-25,55.27,55.64,55.13,55.3,6376508,CVS
2013-03-26,55.53,56.069,55.26,55.29,7632100,CVS
2013-03-27,55.05,55.23,54.76,54.99,8530138,CVS
