date,open,high,low,close,volume,Name
2013-02-08,23.21,23.35,22.88,23.08,2813549,DHI
2013-02-11,23.12,23.45,22.89,22.92,4342054,DHI
2013-02-12,23.05,24.66,23.04,24.05,10275451,DHI
2013-02-13,24.03,24.45,23.73,23.83,6267253,DHI
2013-02-14,23.78,23.98,23.72,23.78,3426160,DHI
2013-02-15,23.74,24.08,23.5377,23.66,3934829,DHI
2013-02-19,23.76,24.095,22.95,23.29,6641339,DHI
2013-02-20,22.98,23.08,21.75,21.93,12674507,DHI
2013-02-21,22.0,22.42,21.53,22.17,8511594,DHI
2013-02-22,22.26,22.49,22.15,22.31,4018232,DHI
2013-02-25,22.44,22.58,21.35,21.37,6176340,DHI
2013-02-26,21.58,22.31,21.53,22.25,6184692,DHI
2013-02-27,22.25,22.77,22.11,22.65,4833012,DHI
2013-02-28,22.67,22.955,22.29,22.3,4502625,DHI
2013-03-01,22.14,22.7,21.75,22.51,6232408,DHI
2013-03-04,22.4,23.34,22.32,23.24,6483809,DHI
2013-03-05,23.31,23.99,23.29,23.8,6751460,DHI
2013-03-06,23.9,24.3,23.65,23.71,7252351,DHI
2013-03-07,23.7,23.87,23.36,23.82,5059269,DHI
2013-03-08,24.02,24.18,23.57,24.07,4098238,DHI
2013-03-11,24.07,24.24,23.865,23.96,4907559,DHI
2013-03-12,23.9,24.03,23.525,23.63,3851377,DHI
2013-03-13,23.61,24.185,23.4235,24.02,5375243,DHI
2013-03-14,24.2,24.5825,24.155,24.53,4225842,DHI
2013-03-15,24.42,24.76,24.3,24.34,6230603,DHI
2013-03-18,24.06,24.5,23.97,24.25,4692941,DHI
2013-03-19,24.48,24.72,24.13,24.31,4681085,DHI
2013-03-20,24.54,25.56,24.48,25.43,6454897,DHI
2013-03-21,25.335,25.335,24.45,24.88,9329299,DHI
2013-03-22,25.01,25.07,24.64,24.72,3686243,DHI
2013-03-25,24.79,25.22,24.325,24.48,4327043,DHI
2013-03-26,24.64,24.81,24.06,24.21,4406132,DHI
2013-03-27,24.09,24.42,23.9,24.39,3616700,DHI
2013-03-28,24.39,24.5,24.02,24.3,4056359,DHI
2013-04-01,24.32,24.4099,23.74,23.85,3544627,DHI
2013-04-02,24.06,24.19,23.35,23.41,4529330,DHI
2013-04-03,23.45,23.57,22.1,22.84,8908488,DHI
2013-04-04,22.89,23.04,22.6,22.88,4511329,DHI
2013-04-05,22.43,23.12,22.155,23.08,6263275,DHI
2013-04-08,23.1,23.53,22.9,23.48,5831547,DHI
2013-04-09,23.51,23.625,23.15,23.27,4505155,DHI
2013-04-10,23.44,23.44,22.94,23.15,4529693,DHI
2013-04-11,23.03,23.59,23.03,23.33,3251258,DHI
2013-04-12,23.22,23.93,23.16,23.42,4622645,DHI
2013-04-15,23.21,23.22,21.85,21.9,6431436,DHI
2013-04-16,22.42,22.56,21.71,22.45,5696470,DHI
2013-04-17,22.2,22.23,21.64,22.14,5011932,DHI
2013-04-18,22.1,22.14,21.24,21.48,5303385,DHI
2013-04-19,21.58,22.21,21.54,21.98,5141797,DHI
2013-04-22,22.01,22.46,21.47,22.36,4021530,DHI
2013-04-23,22.84,23.97,22.84,23.55,7457496,DHI
2013-04-24,23.59,24.11,23.48,24.02,6468088,DHI
2013-04-25,24.21,24.79,24.01,24.53,7274769,DHI
2013-04-26,25.83,26.92,25.6,26.66,15528536,DHI
2013-04-29,26.61,27.32,26.47,26.52,9981759,DHI
2013-04-30,26.22,26.49,25.52,26.08,8697883,DHI
2013-05-01,25.97,26.04,25.39,25.58,5944152,DHI
2013-05-02,25.83,26.53,25.64,26.42,6286810,DHI
2013-05-03,26.78,27.02,26.24,26.45,4759008,DHI
2013-05-06,26.46,26.64,26.16,26.49,4316138,DHI
2013-05-07,26.68,26.84,26.41,26.75,4103787,DHI
2013-05-08,26.65,26.98,26.41,26.96,4422328,DHI
2013-05-09,26.86,27.31,26.78,26.82,5127040,DHI
2013-05-10,26.87,27.16,26.845,27.15,2982883,DHI
2013-05-13,27.07,27.39,26.97,27.35,3465262,DHI
2013-05-14,27.37,27.61,27.23,27.6,4004146,DHI
2013-05-15,27.49,27.745,27.2,27.43,5243261,DHI
2013-05-16,27.28,27.558,26.5,26.8,5259974,DHI
2013-05-17,26.95,27.35,26.88,27.23,8278668,DHI
2013-05-20,27.2,27.61,26.71,26.74,4060228,DHI
2013-05-21,26.82,26.99,25.91,26.31,5461148,DHI
2013-05-22,26.52,27.17,25.91,26.12,5874782,DHI
2013-05-23,25.695,26.43,25.46,26.01,8164767,DHI
