date,open,high,low,close,volume,Name
2013-02-08,54.38,54.72,54.31,54.66,9584224,DIS
2013-02-11,54.65,54.98,54.59,54.75,6358524,DIS
2013-02-12,54.77,55.05,54.69,54.95,8758025,DIS
2013-02-13,55.08,55.3,54.665,54.96,5701775,DIS
2013-02-14,54.92,55.17,54.71,54.88,8564486,DIS
2013-02-15,55.05,55.62,54.89,55.61,17783635,DIS
2013-02-19,55.58,55.95,55.57,55.73,7780451,DIS
2013-02-20,55.62,55.82,54.56,54.6,8461042,DIS
2013-02-21,54.58,54.82,54.01,54.17,6802578,DIS
2013-02-22,54.39,54.58,53.93,54.25,7604629,DIS
2013-02-25,54.6,54.79,53.59,53.59,9831166,DIS
2013-02-26,53.81,54.035,53.6,53.9,6238418,DIS
2013-02-27,53.9,54.66,53.85,54.48,7244992,DIS
2013-02-28,54.54,55.04,54.39,54.59,6605615,DIS
2013-03-01,54.31,55.37,54.3,55.33,8314387,DIS
2013-03-04,55.16,55.84,55.0,55.8,6356424,DIS
2013-03-05,55.95,56.58,55.9,56.48,7068470,DIS
2013-03-06,56.53,56.84,56.25,56.36,5572562,DIS
2013-03-07,56.36,56.4655,56.01,56.32,4814197,DIS
2013-03-08,56.56,57.51,56.52,57.39,8157710,DIS
2013-03-11,57.39,57.75,57.34,57.66,7155409,DIS
2013-03-12,57.52,57.63,56.7,57.11,7159414,DIS
2013-03-13,57.16,57.435,56.94,57.34,5209862,DIS
2013-03-14,57.35,57.82,57.27,57.75,5915351,DIS
2013-03-15,57.5,57.78,57.34,57.58,13796440,DIS
2013-03-18,57.08,57.19,56.75,56.83,5125876,DIS
2013-03-19,56.83,57.05,55.76,56.31,8883930,DIS
2013-03-20,56.59,57.1499,56.54,56.94,6018271,DIS
2013-03-21,56.74,56.85,56.16,56.31,5168737,DIS
2013-03-22,56.65,57.1,56.515,56.78,5489554,DIS
2013-03-25,57.0,57.108,55.865,56.21,7881490,DIS
2013-03-26,56.41,56.73,56.33,56.63,4675601,DIS
2013-03-27,56.34,56.5,55.99,56.47,6392319,DIS
2013-03-28,56.59,56.94,56.5,56.8,6705892,DIS
2013-04-01,56.89,57.14,56.15,56.69,6728034,DIS
2013-04-02,57.04,57.46,56.96,57.46,6574424,DIS
2013-04-03,57.64,57.75,57.0,57.25,8102375,DIS
2013-04-04,57.28,57.72,57.18,57.59,6413435,DIS
2013-04-05,56.89,57.73,56.37,57.7,7042202,DIS
2013-04-08,57.83,58.82,57.76,58.82,9796152,DIS
2013-04-09,58.72,59.24,58.52,59.14,8864758,DIS
2013-04-10,59.37,60.14,59.34,60.11,8438296,DIS
2013-04-11,60.11,60.67,60.02,60.55,9241626,DIS
2013-04-12,60.29,60.73,60.27,60.55,8533853,DIS
2013-04-15,60.26,60.67,58.84,58.88,12027906,DIS
2013-04-16,59.26,60.75,59.08,60.75,10307479,DIS
2013-04-17,60.35,60.685,60.02,60.68,11531693,DIS
2013-04-18,60.64,60.67,59.88,59.99,9203177,DIS
2013-04-19,60.25,61.56,60.25,61.56,9488269,DIS
2013-04-22,61.59,62.1,61.15,62.01,6307788,DIS
2013-04-23,62.4,62.62,61.54,62.59,6261121,DIS
2013-04-24,62.71,62.9,61.59,61.94,7335400,DIS
2013-04-25,62.01,62.17,61.55,62.0,6683979,DIS
2013-04-26,62.06,62.285,61.55,61.87,7038566,DIS
2013-04-29,62.82,63.25,62.59,63.0,7205960,DIS
2013-04-30,62.93,63.08,62.44,62.84,8529501,DIS
2013-05-01,62.88,63.5006,62.8,63.21,7468820,DIS
2013-05-02,63.4,63.93,63.11,63.88,5249288,DIS
2013-05-03,64.1801,64.85,63.875,64.8,9196237,DIS
2013-05-06,65.09,65.59,64.51,65.06,10232888,DIS
2013-05-07,65.44,66.09,64.77,66.07,14407218,DIS
2013-05-08,66.0,66.0,64.56,65.99,17802902,DIS
2013-05-09,65.7301,67.11,65.51,66.67,11324407,DIS
2013-05-10,66.69,67.43,66.34,67.2,8653958,DIS
2013-05-13,66.96,67.52,66.92,67.32,5194936,DIS
2013-05-14,67.43,67.4929,66.98,67.47,9676356,DIS
2013-05-15,67.42,67.79,67.18,67.67,7925722,DIS
2013-05-16,67.62,67.89,66.2,66.47,8472812,DIS
2013-05-17,66.16,66.58,65.68,66.58,9161351,DIS
2013-05-20,66.58,66.6,66.05,66.12,5893353,DIS
2013-05-21,66.35,66.4,65.71,65.83,7359058,DIS
2013-05-22,65.76,66.7101,65.265,65.57,8144063,DIS
2013-05-23,64.87,65.44,64.24,65.23,7517695,DIS
2013-05-24,64.75,65.53,64.39,65.49,8846052,DIS
2013-05-28,65.98,66.76,65.92,66.69,8279038,DIS
2013-05-29,66.37,66.48,65.74,66.26,6954404,DIS
