date,open,high,low,close,volume,Name
2013-02-08,151.07,152.28,150.69,151.86,238385,ESS
2013-02-11,151.83,152.54,151.71,151.86,285700,ESS
2013-02-12,152.07,152.88,151.616,152.65,375918,ESS
2013-02-13,153.29,153.29,152.21,152.85,201597,ESS
2013-02-14,152.6,153.53,152.06,152.49,120016,ESS
2013-02-15,152.5,152.56,151.555,151.69,260043,ESS
2013-02-19,152.28,153.66,151.63,153.65,314103,ESS
2013-02-20,153.61,154.32,152.4,152.41,194954,ESS
2013-02-21,152.53,153.11,150.94,151.26,275230,ESS
2013-02-22,151.46,152.12,150.82,151.48,235108,ESS
2013-02-25,151.47,151.895,149.44,149.44,216189,ESS
2013-02-26,150.14,150.61,148.8201,149.85,275578,ESS
2013-02-27,149.73,150.59,149.1201,149.74,152579,ESS
2013-02-28,149.72,150.18,148.99,148.99,382421,ESS
2013-03-01,148.5,149.49,147.06,149.24,459577,ESS
2013-03-04,148.89,149.37,147.14,148.52,293092,ESS
2013-03-05,148.82,150.8,147.97,150.8,295953,ESS
2013-03-06,151.08,151.08,149.13,150.79,164397,ESS
2013-03-07,150.8,151.362,149.11,149.62,232888,ESS
2013-03-08,150.2,150.5999,147.865,150.05,223301,ESS
2013-03-11,150.04,150.18,148.97,149.89,146290,ESS
2013-03-12,149.72,150.43,148.72,149.64,152944,ESS
2013-03-13,149.88,150.78,148.87,149.98,196176,ESS
2013-03-14,149.69,151.67,149.65,151.12,174630,ESS
2013-03-15,151.22,152.67,150.746,152.59,507055,ESS
2013-03-18,151.77,152.38,150.5,151.81,346686,ESS
2013-03-19,151.83,152.94,151.23,152.05,300479,ESS
2013-03-20,152.42,152.42,150.68,151.54,184678,ESS
2013-03-21,150.97,152.09,150.0,150.29,176383,ESS
2013-03-22,150.79,151.19,149.44,149.97,244384,ESS
2013-03-25,150.21,150.25,148.93,149.49,338660,ESS
2013-03-26,149.0,150.82,148.5,150.29,223516,ESS
2013-03-27,150.02,150.97,149.8,150.85,225422,ESS
2013-03-28,150.74,151.12,149.24,150.58,352783,ESS
2013-04-01,150.5,151.75,149.67,151.5,298799,ESS
2013-04-02,152.21,152.68,151.48,152.38,190424,ESS
2013-04-03,152.88,152.88,151.11,151.9,229250,ESS
2013-04-04,152.15,155.93,151.54,155.73,436274,ESS
2013-04-05,154.61,157.22,154.5,156.62,211529,ESS
2013-04-08,156.54,157.81,156.15,157.39,235339,ESS
2013-04-09,156.0,157.02,152.64,155.8,771596,ESS
2013-04-10,155.83,156.62,155.25,155.47,324386,ESS
2013-04-11,155.47,157.4,155.14,156.72,233271,ESS
2013-04-12,156.36,158.17,155.98,158.14,242645,ESS
2013-04-15,157.26,157.78,154.56,155.01,271480,ESS
2013-04-16,155.67,157.12,154.3,156.91,231460,ESS
2013-04-17,154.25,154.94,152.23,154.05,263268,ESS
2013-04-18,153.81,154.73,153.26,154.01,142142,ESS
2013-04-19,154.33,155.33,153.59,155.21,111123,ESS
2013-04-22,155.21,155.21,153.65,154.0,185610,ESS
2013-04-23,154.54,154.54,152.76,153.87,159357,ESS
2013-04-24,154.11,154.89,152.52,152.99,186827,ESS
2013-04-25,153.21,153.76,151.59,152.55,281705,ESS
2013-04-26,152.66,153.55,152.13,152.74,307649,ESS
2013-04-29,153.37,155.14,152.685,155.02,290193,ESS
2013-04-30,154.8,157.26,154.11,157.05,399147,ESS
2013-05-01,156.13,157.82,155.55,156.0,353215,ESS
2013-05-02,152.5,155.87,151.895,154.8,573086,ESS
2013-05-03,155.75,155.93,154.12,154.77,309452,ESS
2013-05-06,154.81,155.535,154.14,154.9,201772,ESS
2013-05-07,154.79,157.87,154.79,157.75,167322,ESS
2013-05-08,157.12,158.77,156.898,158.72,219775,ESS
2013-05-09,159.0,159.76,157.93,159.1,301845,ESS
2013-05-10,158.96,162.33,158.83,161.98,260344,ESS
2013-05-13,161.98,163.86,161.52,163.86,259532,ESS
2013-05-14,163.69,164.76,163.4,164.76,347782,ESS
2013-05-15,164.63,165.79,164.07,165.79,230199,ESS
2013-05-16,165.77,167.54,165.77,166.68,208525,ESS
2013-05-17,167.26,168.33,166.14,168.25,167142,ESS
2013-05-20,167.84,169.16,167.24,168.98,167458,ESS
2013-05-21,169.0,170.82,169.0,170.47,236581,ESS
2013-05-22,170.47,171.11,166.6,167.72,348308,ESS
2013-05-23,166.61,166.61,164.18,164.31,563636,ESS
2013-05-24,164.08,164.13,162.395,163.9,418713,ESS
2013-05-28,165.53,165.65,161.8,163.54,394164,ESS
2013-05-29,162.05,162.55,158.51,161.13,435342,ESS
2013-05-30,159.66,161.38,158.24,158.33,491204,ESS
2013-05-31,157.86,159.83,157.02,157.14,413059,ESS
2013-06-03,157.07,160.775,156.5,157.95,495386,ESS
2013-06-04,158.28,158.58,155.82,155.94,362360,ESS
2013-06-05,155.81,156.59,153.43,154.45,269414,ESS
2013-06-06,154.05,156.17,152.52,156.17,266296,ESS
2013-06-07,156.26,156.49,153.68,155.95,219612,ESS
2013-06-10,156.13,157.68,154.74,156.0,298738,ESS
2013-06-11,155.51,156.14,153.88,154.04,271824,ESS
2013-06-12,154.16,154.16,152.08,152.7,126750,ESS
2013-06-13,152.67,157.63,152.5,157.09,158806,ESS
2013-06-14,156.85,158.958,155.57,156.7,125494,ESS
2013-06-17,157.83,158.33,154.34,155.44,124664,ESS
2013-06-18,155.93,157.045,154.96,155.62,162612,ESS
2013-06-19,155.86,156.52,151.55,152.41,317240,ESS
2013-06-20,150.99,151.355,147.56,148.43,266332,ESS
2013-06-21,149.15,153.75,149.14,152.6,305431,ESS
2013-06-24,150.76,157.18,149.37,153.51,286526,ESS
2013-06-25,154.16,157.27,152.99,156.5,221947,ESS
2013-06-26,156.38,157.58,155.305,156.34,238384,ESS
2013-06-27,156.79,160.14,156.79,160.1,182781,ESS
2013-06-28,159.89,161.475,158.7,158.92,585354,ESS
2013-07-01,159.74,161.3,158.32,159.15,162757,ESS
2013-07-02,159.15,161.75,158.49,160.72,208929,ESS
2013-07-03,159.68,160.39,157.21,159.29,199706,ESS
2013-07-05,159.45,159.97,154.18,158.54,146008,ESS
2013-07-08,158.48,160.12,158.06,159.66,219726,ESS
2013-07-09,159.95,163.479,159.5575,162.76,220577,ESS
2013-07-10,162.26,163.2,160.84,163.01,223031,ESS
2013-07-11,164.65,167.93,164.63,167.68,213139,ESS
2013-07-12,167.33,167.33,165.41,165.89,91643,ESS
2013-07-15,166.12,167.47,165.62,165.96,88669,ESS
2013-07-16,166.18,167.962,165.5,166.61,95917,ESS
2013-07-17,167.04,169.07,166.28,168.51,234969,ESS
2013-07-18,168.36,170.44,167.79,168.65,262668,ESS
2013-07-19,168.53,169.87,168.03,168.77,241144,ESS
2013-07-22,168.87,170.74,168.63,169.6,216807,ESS
2013-07-23,169.51,170.225,166.97,167.45,314702,ESS
2013-07-24,167.56,167.96,162.08,163.38,217669,ESS
2013-07-25,163.33,164.74,162.55,164.51,117078,ESS
2013-07-26,164.04,166.59,164.01,166.39,137868,ESS
2013-07-29,165.96,166.78,162.93,163.53,299800,ESS
2013-07-30,164.84,165.0,162.57,164.05,191399,ESS
2013-07-31,171.47,172.16,159.05,161.29,235718,ESS
2013-08-01,162.66,164.28,160.0,160.93,544857,ESS
2013-08-02,160.57,162.12,157.68,158.05,219093,ESS
2013-08-05,158.21,160.05,157.65,158.65,239932,ESS
2013-08-06,158.62,160.06,157.18,157.87,77285,ESS
2013-08-07,157.71,158.5,156.84,157.43,90717,ESS
2013-08-08,157.75,158.125,155.98,156.11,146391,ESS
2013-08-09,155.69,158.65,155.51,157.64,100545,ESS
2013-08-12,157.64,158.42,154.925,156.56,107950,ESS
2013-08-13,155.76,156.438,153.47,154.1,105459,ESS
2013-08-14,154.34,154.6,152.57,152.92,106835,ESS
2013-08-15,151.6,151.6,148.998,150.2,165979,ESS
2013-08-16,149.49,149.73,144.82,144.94,295437,ESS
2013-08-19,145.0,145.72,144.08,144.66,231780,ESS
2013-08-20,144.98,148.23,144.98,147.23,226362,ESS
2013-08-21,146.55,148.4,145.0062,146.1,237171,ESS
2013-08-22,146.7,147.72,144.8425,147.35,158570,ESS
2013-08-23,147.38,148.09,145.98,147.35,304297,ESS
2013-08-26,147.2,148.26,147.12,147.5,199310,ESS
2013-08-27,146.45,148.32,145.68,146.06,208197,ESS
2013-08-28,146.37,146.53,144.39,144.75,132111,ESS
2013-08-29,144.47,145.12,143.5,144.45,318596,ESS
2013-08-30,144.71,146.0,143.0,143.31,221217,ESS
2013-09-03,144.53,144.53,139.64,141.49,352905,ESS
2013-09-04,141.89,144.41,141.09,143.62,223024,ESS
2013-09-05,143.38,143.49,141.48,142.11,151577,ESS
2013-09-06,143.63,146.005,143.42,144.41,140348,ESS
2013-09-09,144.48,148.89,143.7,148.75,236479,ESS
2013-09-10,149.0,149.72,147.54,149.6,146529,ESS
2013-09-11,149.63,150.7485,148.57,150.6,125825,ESS
2013-09-12,150.5,151.6798,149.24,149.89,123094,ESS
2013-09-13,149.44,151.07,149.44,150.7,162471,ESS
2013-09-16,155.0,155.0,151.32,151.9,230195,ESS
2013-09-17,151.72,153.08,150.59,151.3,161846,ESS
2013-09-18,151.78,157.43,149.73,157.18,181153,ESS
2013-09-19,157.18,158.99,155.67,155.74,139790,ESS
2013-09-20,156.1,156.77,152.35,152.49,352384,ESS
2013-09-23,152.75,153.24,150.52,150.75,159387,ESS
2013-09-24,150.92,150.92,148.45,148.66,172648,ESS
2013-09-25,148.62,150.46,147.79,150.35,152741,ESS
2013-09-26,148.9,149.92,148.59,149.84,144883,ESS
2013-09-27,149.52,150.54,148.23,149.59,104665,ESS
2013-09-30,148.88,150.55,147.26,147.7,140333,ESS
2013-10-01,148.14,152.66,147.06,150.12,400849,ESS
2013-10-02,149.42,151.57,148.155,151.47,159565,ESS
2013-10-03,150.6,151.55,147.88,148.31,323266,ESS
2013-10-04,150.28,150.47,147.29,149.11,173843,ESS
2013-10-07,148.85,151.44,147.38,150.26,256496,ESS
2013-10-08,149.29,151.72,149.29,149.83,248035,ESS
2013-10-09,149.77,151.68,148.67,149.18,142702,ESS
2013-10-10,150.35,154.46,149.63,154.28,147995,ESS
2013-10-11,153.4,155.43,153.24,154.9,166580,ESS
2013-10-14,154.23,155.32,153.3,155.06,128627,ESS
2013-10-15,154.67,157.04,153.96,155.64,231655,ESS
2013-10-16,155.94,158.66,155.22,158.43,132473,ESS
2013-10-17,157.5,161.17,157.13,160.69,204514,ESS
2013-10-18,162.92,162.92,158.7803,160.05,219623,ESS
2013-10-21,160.0,160.19,158.06,159.89,259025,ESS
2013-10-22,160.37,162.45,159.04,160.31,254846,ESS
2013-10-23,160.02,161.614,159.22,161.28,175428,ESS
2013-10-24,160.82,160.905,158.07,159.93,232446,ESS
2013-10-25,159.96,164.39,159.47,163.21,283059,ESS
2013-10-28,163.65,163.65,160.72,162.61,184491,ESS
2013-10-29,161.12,162.33,159.88,162.24,232037,ESS
2013-10-30,161.35,162.315,159.955,160.62,264258,ESS
2013-10-31,160.28,163.83,158.33,161.0,390630,ESS
2013-11-01,161.98,164.18,160.37,163.89,276081,ESS
2013-11-04,164.0,165.44,162.28,164.0,260345,ESS
2013-11-05,162.97,163.72,160.04,160.25,260078,ESS
