date,open,high,low,close,volume,Name
2013-02-08,31.34,31.34,30.82,31.08,21198538,EXC
2013-02-11,31.05,31.53,30.91,31.42,20162778,EXC
2013-02-12,31.43,31.955,31.4,31.95,22986821,EXC
2013-02-13,32.0,32.0,31.52,31.59,7103538,EXC
2013-02-14,30.95,31.13,30.67,30.71,7106366,EXC
2013-02-15,30.79,30.88,30.57,30.62,7314570,EXC
2013-02-19,30.58,30.75,30.15,30.59,6884874,EXC
2013-02-20,30.52,30.6176,30.23,30.29,7586249,EXC
2013-02-21,30.19,30.28,30.13,30.2,5122112,EXC
2013-02-22,30.21,30.715,30.21,30.49,6990760,EXC
2013-02-25,30.62,30.95,30.33,30.35,5676283,EXC
2013-02-26,30.44,30.98,30.43,30.6,10897905,EXC
2013-02-27,30.6,30.83,30.395,30.79,5747570,EXC
2013-02-28,30.79,31.09,30.67,30.99,5758887,EXC
2013-03-01,30.96,31.06,30.64,30.91,4599226,EXC
2013-03-04,30.84,31.41,30.78,31.34,4753083,EXC
2013-03-05,31.35,31.68,31.31,31.44,6034769,EXC
2013-03-06,31.53,31.915,31.48,31.81,5991389,EXC
2013-03-07,31.75,31.94,31.75,31.82,5519355,EXC
2013-03-08,31.93,32.18,31.76,32.13,7031308,EXC
2013-03-11,32.01,32.46,32.01,32.41,5731472,EXC
2013-03-12,32.39,32.46,32.0,32.07,5165032,EXC
2013-03-13,32.08,32.235,32.0,32.2,2749453,EXC
2013-03-14,32.22,32.5,32.1862,32.48,4528654,EXC
2013-03-15,32.4,33.44,32.26,33.39,13249178,EXC
2013-03-18,33.18,33.5,33.13,33.4,5793056,EXC
2013-03-19,33.5,33.75,33.25,33.47,7007873,EXC
2013-03-20,33.55,33.74,33.445,33.69,5120755,EXC
2013-03-21,33.69,33.78,33.54,33.7,4533077,EXC
2013-03-22,33.7,33.94,33.62,33.85,5238208,EXC
2013-03-25,33.95,34.12,33.44,33.51,7180579,EXC
2013-03-26,33.68,33.885,33.59,33.77,3411417,EXC
2013-03-27,33.61,34.07,33.57,34.03,3956781,EXC
2013-03-28,34.0,34.56,33.95,34.48,5908571,EXC
2013-04-01,34.42,34.54,34.29,34.36,3403837,EXC
2013-04-02,34.41,34.71,34.38,34.69,3966041,EXC
2013-04-03,34.72,34.81,34.43,34.5,5619048,EXC
2013-04-04,34.54,34.8,34.5,34.72,4152272,EXC
