date,open,high,low,close,volume,Name
2013-02-08,40.06,40.28,39.85,40.28,536440,EXR
2013-02-11,40.35,40.74,40.35,40.41,463389,EXR
2013-02-12,40.48,40.61,40.32,40.35,508025,EXR
2013-02-13,40.49,40.66,39.87,40.06,756691,EXR
2013-02-14,40.04,40.04,39.53,39.54,1268707,EXR
2013-02-15,39.16,39.325,37.9501,38.7,2269237,EXR
2013-02-19,38.57,38.82,38.06,38.5,1404244,EXR
2013-02-20,38.49,38.8399,38.37,38.4,945088,EXR
2013-02-21,38.27,38.31,37.56,37.82,1358666,EXR
2013-02-22,37.8,38.28,37.4,38.12,833771,EXR
2013-02-25,38.4,38.49,37.14,37.19,1092086,EXR
2013-02-26,37.18,37.31,36.5,37.29,1996413,EXR
2013-02-27,37.28,37.58,37.14,37.53,544381,EXR
2013-02-28,37.56,37.77,37.41,37.44,1291965,EXR
2013-03-01,37.39,37.62,36.89,37.52,1054982,EXR
2013-03-04,37.54,38.51,37.53,38.44,860361,EXR
2013-03-05,38.55,39.46,38.48,39.46,996152,EXR
2013-03-06,39.59,39.599,39.08,39.17,816707,EXR
2013-03-07,39.18,39.5,38.93,39.03,736783,EXR
2013-03-08,39.13,39.23,38.77,39.21,880790,EXR
2013-03-11,39.16,39.16,38.54,38.86,572250,EXR
2013-03-12,38.73,39.07,38.67,38.91,629133,EXR
2013-03-13,38.79,39.42,38.09,38.12,991118,EXR
2013-03-14,38.06,38.41,37.88,38.12,1068263,EXR
2013-03-15,38.15,38.2,37.83,38.13,1238441,EXR
2013-03-18,38.0,38.41,37.88,38.41,629287,EXR
2013-03-19,38.47,38.57,37.9705,38.21,617923,EXR
2013-03-20,38.38,38.66,38.24,38.64,447974,EXR
2013-03-21,38.53,39.03,38.42,38.42,673264,EXR
2013-03-22,38.43,39.09,38.31,39.09,574760,EXR
2013-03-25,39.16,39.45,38.83,39.14,957331,EXR
2013-03-26,39.24,39.53,39.2,39.49,706165,EXR
2013-03-27,39.26,39.39,39.01,39.39,483242,EXR
2013-03-28,39.46,39.61,39.19,39.27,1022289,EXR
2013-04-01,39.24,39.44,38.87,39.44,558529,EXR
2013-04-02,39.57,39.86,39.42,39.61,496533,EXR
2013-04-03,39.65,39.74,39.05,39.19,661585,EXR
2013-04-04,39.28,39.51,39.13,39.49,365894,EXR
2013-04-05,39.17,39.76,39.01,39.75,352529,EXR
2013-04-08,39.83,40.24,39.56,40.12,518136,EXR
2013-04-09,40.24,40.68,40.01,40.53,830932,EXR
2013-04-10,40.54,41.15,40.461,41.09,1153527,EXR
2013-04-11,41.08,41.69,41.02,41.49,919554,EXR
2013-04-12,41.33,41.57,41.27,41.54,572117,EXR
2013-04-15,41.25,41.5,40.81,40.88,1073147,EXR
2013-04-16,41.02,41.72,40.66,41.7,721922,EXR
2013-04-17,41.35,41.57,40.9,41.2,869689,EXR
2013-04-18,41.33,41.38,40.98,41.22,497381,EXR
2013-04-19,41.34,42.05,41.05,42.01,610424,EXR
2013-04-22,42.11,42.11,41.45,41.52,496673,EXR
2013-04-23,41.6,41.84,41.32,41.65,545576,EXR
2013-04-24,41.77,41.95,41.49,41.86,552490,EXR
2013-04-25,41.99,41.99,41.5,41.68,736305,EXR
2013-04-26,41.8,42.23,41.74,41.99,636657,EXR
2013-04-29,42.77,43.13,42.32,42.96,674552,EXR
2013-04-30,42.85,43.58,42.85,43.58,1737477,EXR
2013-05-01,43.48,43.96,43.32,43.48,946540,EXR
2013-05-02,43.65,44.13,43.48,44.0,661137,EXR
2013-05-03,44.36,44.45,43.99,44.07,484542,EXR
2013-05-06,44.15,44.36,43.77,44.27,455899,EXR
2013-05-07,44.36,44.42,44.14,44.19,395603,EXR
2013-05-08,44.19,44.24,43.895,44.23,651879,EXR
2013-05-09,44.36,44.5,44.04,44.25,580803,EXR
2013-05-10,44.26,44.41,43.65,43.72,425144,EXR
2013-05-13,43.73,43.84,43.385,43.84,460911,EXR
2013-05-14,43.82,44.13,43.72,43.84,550717,EXR
2013-05-15,43.83,44.33,43.63,44.33,600442,EXR
2013-05-16,44.18,44.64,43.82,44.03,510938,EXR
2013-05-17,44.13,44.5,43.92,44.47,461011,EXR
2013-05-20,44.48,44.7,44.15,44.42,520034,EXR
2013-05-21,44.54,44.985,44.54,44.95,395478,EXR
2013-05-22,44.98,45.29,43.4515,43.61,607090,EXR
2013-05-23,43.54,43.69,42.7,43.38,1127943,EXR
2013-05-24,43.2,43.525,42.68,43.44,450533,EXR
2013-05-28,43.95,44.12,42.74,43.08,576432,EXR
2013-05-29,42.71,42.736,41.8,42.19,616674,EXR
2013-05-30,42.1,42.56,42.0,42.49,776662,EXR
2013-05-31,42.26,42.65,41.88,41.89,646148,EXR
2013-06-03,41.99,42.53,41.5,42.24,601892,EXR
2013-06-04,42.29,42.59,41.34,41.84,1214996,EXR
2013-06-05,41.68,42.27,41.58,41.9,617229,EXR
2013-06-06,41.77,42.72,41.54,42.72,541752,EXR
2013-06-07,42.71,42.99,42.04,42.92,850658,EXR
2013-06-10,43.05,43.05,42.4,42.58,973234,EXR
2013-06-11,42.25,42.55,41.94,42.11,771328,EXR
2013-06-12,41.83,42.09,40.95,41.01,693353,EXR
2013-06-13,40.98,42.03,40.96,41.97,709468,EXR
2013-06-14,42.01,42.67,41.85,42.31,653468,EXR
2013-06-17,42.89,43.56,42.74,42.84,1446899,EXR
2013-06-18,42.89,43.89,42.63,43.7,1156231,EXR
2013-06-19,43.77,43.85,42.0,42.09,1120263,EXR
2013-06-20,41.98,41.98,40.22,40.49,1421352,EXR
2013-06-21,40.66,42.25,40.66,41.88,2013192,EXR
2013-06-24,41.29,42.05,40.55,41.25,1742608,EXR
2013-06-25,41.51,41.93,40.9,41.69,936837,EXR
2013-06-26,41.96,42.29,41.42,41.84,824984,EXR
2013-06-27,42.22,42.55,42.07,42.27,890678,EXR
2013-06-28,42.29,42.47,41.88,41.93,1310632,EXR
2013-07-01,42.18,42.35,41.6,41.75,973537,EXR
2013-07-02,41.94,43.36,41.88,43.13,1078710,EXR
2013-07-03,42.9,43.06,42.35,42.81,539988,EXR
2013-07-05,43.09,43.22,41.63,42.72,581245,EXR
2013-07-08,42.72,43.2,42.64,42.85,667363,EXR
