date,open,high,low,close,volume,Name
2013-02-08,40.13,40.22,39.82,40.22,2337633,FE
2013-02-11,40.18,40.28,39.86,40.25,5045863,FE
2013-02-12,40.33,40.61,40.25,40.5,3786856,FE
2013-02-13,40.58,40.86,40.57,40.68,3353313,FE
2013-02-14,40.58,40.86,40.34,40.49,3441389,FE
2013-02-15,40.55,40.63,40.34,40.57,1903594,FE
2013-02-19,40.66,41.22,40.65,41.08,4148068,FE
2013-02-20,40.96,41.3,40.49,40.56,6617435,FE
2013-02-21,40.55,40.62,39.88,39.9,4271114,FE
2013-02-22,40.08,40.54,40.01,40.54,3856518,FE
2013-02-25,40.6,40.97,39.53,39.56,5605155,FE
2013-02-26,39.55,39.63,38.2601,38.9,6490729,FE
2013-02-27,38.98,39.51,38.98,39.45,2567840,FE
2013-02-28,39.51,39.75,39.15,39.48,3367883,FE
2013-03-01,39.55,39.62,39.315,39.5,2955820,FE
2013-03-04,39.51,39.96,39.4,39.86,1890907,FE
2013-03-05,39.91,40.15,39.84,40.06,2069781,FE
2013-03-06,40.15,40.5,39.98,40.5,2312846,FE
2013-03-07,40.53,40.76,40.5,40.76,3045369,FE
2013-03-08,40.8,41.0,40.64,40.9,2169602,FE
2013-03-11,40.81,41.17,40.78,41.17,1902454,FE
2013-03-12,41.22,41.32,40.99,41.17,2136244,FE
2013-03-13,41.17,41.32,40.88,41.31,2489458,FE
2013-03-14,41.4,41.68,41.175,41.68,3154488,FE
2013-03-15,41.33,42.12,41.31,42.1,4448345,FE
2013-03-18,41.79,42.047,41.681,41.75,2163233,FE
2013-03-19,41.86,42.01,41.38,41.6,2911267,FE
2013-03-20,41.69,42.09,41.69,41.95,5071189,FE
2013-03-21,41.84,41.94,41.48,41.48,2597220,FE
2013-03-22,41.46,41.49,40.73,40.85,3174582,FE
2013-03-25,40.87,41.21,40.54,40.76,2455940,FE
2013-03-26,40.92,41.255,40.89,41.25,2095529,FE
2013-03-27,41.06,41.7,41.0,41.65,2130872,FE
2013-03-28,41.63,42.21,41.56,42.2,2534769,FE
2013-04-01,42.2,42.2,41.91,42.04,1317357,FE
2013-04-02,42.07,42.255,41.9,42.05,1812681,FE
2013-04-03,42.07,42.15,41.76,42.01,1802468,FE
2013-04-04,42.04,43.05,42.03,43.03,2908738,FE
2013-04-05,42.65,44.13,42.57,44.09,4865273,FE
2013-04-08,44.25,44.41,43.795,44.4,2652207,FE
2013-04-09,44.39,44.96,44.17,44.71,5059911,FE
2013-04-10,44.84,45.39,44.77,45.18,2680565,FE
2013-04-11,45.25,45.81,45.18,45.47,2450296,FE
2013-04-12,45.31,45.74,45.13,45.72,2159055,FE
2013-04-15,45.56,45.83,45.05,45.05,1896292,FE
2013-04-16,45.34,45.84,44.93,45.8,2000246,FE
2013-04-17,45.61,45.61,45.09,45.28,2761434,FE
2013-04-18,45.4,45.72,45.28,45.61,2300786,FE
2013-04-19,45.74,45.92,45.02,45.65,3336171,FE
2013-04-22,45.62,46.09,45.47,45.86,1878841,FE
2013-04-23,46.0,46.0,45.59,45.91,1638177,FE
2013-04-24,45.91,46.33,45.695,46.17,1951799,FE
2013-04-25,46.19,46.33,45.62,46.3,7811148,FE
2013-04-26,46.26,46.6,46.15,46.48,7550663,FE
2013-04-29,46.63,46.69,45.57,46.32,8558485,FE
2013-04-30,46.29,46.77,46.22,46.6,2095938,FE
2013-05-01,46.53,46.7,46.18,46.28,1471669,FE
2013-05-02,46.4,46.68,45.839,46.06,2344956,FE
2013-05-03,45.7,45.7,44.95,44.99,3146699,FE
2013-05-06,44.88,45.1,43.37,44.18,2537285,FE
2013-05-07,44.36,44.65,43.85,44.1,2552779,FE
