date,open,high,low,close,volume,Name
2013-02-08,12.35,12.48,12.11,12.28,18009413,GLW
2013-02-11,12.32,12.48,12.27,12.44,10352591,GLW
2013-02-12,12.46,12.69,12.45,12.57,13459412,GLW
2013-02-13,12.61,12.82,12.59,12.78,17233595,GLW
2013-02-14,12.76,12.99,12.69,12.95,16363707,GLW
2013-02-15,12.97,12.98,12.73,12.79,14372591,GLW
2013-02-19,12.83,12.95,12.83,12.9,13870108,GLW
2013-02-20,12.92,12.94,12.58,12.63,11496899,GLW
2013-02-21,12.59,12.63,12.42,12.51,13285985,GLW
2013-02-22,12.58,12.65,12.55,12.61,6884578,GLW
2013-02-25,12.68,12.75,12.35,12.35,12157421,GLW
2013-02-26,12.33,12.44,12.2,12.29,14353218,GLW
2013-02-27,12.29,12.61,12.25,12.59,9534984,GLW
2013-02-28,12.6,12.75,12.57,12.61,12514611,GLW
2013-03-01,12.47,12.54,12.31,12.52,8935001,GLW
2013-03-04,12.49,12.5,12.29,12.38,13079153,GLW
2013-03-05,12.46,12.6,12.37,12.52,12336495,GLW
2013-03-06,12.56,12.64,12.45,12.56,9816366,GLW
2013-03-07,12.66,12.68,12.53,12.66,7641683,GLW
2013-03-08,12.74,12.77,12.61,12.71,11898481,GLW
2013-03-11,12.71,12.77,12.58,12.63,9174135,GLW
2013-03-12,12.63,12.8,12.61,12.67,9535918,GLW
2013-03-13,12.72,12.74,12.61,12.64,8081866,GLW
2013-03-14,12.66,12.82,12.61,12.81,9723119,GLW
2013-03-15,12.74,12.92,12.65,12.92,18598088,GLW
2013-03-18,12.76,12.925,12.655,12.85,17277563,GLW
2013-03-19,12.88,12.96,12.73,12.83,14674979,GLW
2013-03-20,12.89,13.25,12.87,13.18,19254456,GLW
2013-03-21,13.15,13.165,12.92,12.99,12560467,GLW
2013-03-22,13.03,13.12,12.9301,13.05,9341705,GLW
2013-03-25,13.11,13.15,12.9542,13.01,11341746,GLW
2013-03-26,13.08,13.2,12.99,13.11,15027328,GLW
2013-03-27,13.03,13.18,13.0,13.15,12858942,GLW
2013-03-28,13.18,13.35,13.13,13.33,11638763,GLW
2013-04-01,13.35,13.4,13.1701,13.33,13569425,GLW
2013-04-02,13.31,13.4,13.25,13.33,10571948,GLW
2013-04-03,13.3,13.44,13.28,13.34,14961657,GLW
2013-04-04,13.34,13.49,13.32,13.34,10232025,GLW
2013-04-05,13.12,13.36,12.98,13.31,15349569,GLW
2013-04-08,13.33,13.39,13.235,13.35,11858351,GLW
2013-04-09,13.35,13.44,13.28,13.35,14206521,GLW
2013-04-10,13.39,13.47,13.35,13.4,13222250,GLW
2013-04-11,13.41,13.45,13.27,13.37,12965294,GLW
2013-04-12,13.35,13.37,13.21,13.3,14513599,GLW
2013-04-15,13.25,13.26,13.09,13.13,18761817,GLW
2013-04-16,13.2,13.2,13.1,13.18,9790612,GLW
2013-04-17,13.09,13.18,12.89,12.96,18552629,GLW
2013-04-18,12.96,13.11,12.77,13.06,22185194,GLW
2013-04-19,13.07,13.1,12.84,12.84,14828574,GLW
2013-04-22,12.86,12.86,12.64,12.82,10634438,GLW
2013-04-23,12.86,13.13,12.76,13.13,11486030,GLW
2013-04-24,13.5,13.95,13.41,13.85,34441736,GLW
2013-04-25,13.92,14.41,13.88,14.23,24422455,GLW
2013-04-26,14.24,14.29,14.01,14.23,9655098,GLW
2013-04-29,14.35,14.55,14.3,14.41,16582725,GLW
2013-04-30,14.39,14.5,14.24,14.5,11662917,GLW
2013-05-01,14.45,14.5,14.26,14.33,8027534,GLW
2013-05-02,14.3,14.43,14.25,14.37,7558304,GLW
2013-05-03,14.5,14.99,14.48,14.87,17347619,GLW
2013-05-06,14.84,15.0,14.81,14.88,10698236,GLW
2013-05-07,14.93,14.95,14.78,14.87,7029976,GLW
2013-05-08,14.85,14.9,14.73,14.88,14550455,GLW
2013-05-09,14.83,15.25,14.83,15.06,14643570,GLW
2013-05-10,15.03,15.23,15.02,15.1,9141551,GLW
2013-05-13,15.36,15.495,15.16,15.24,12370664,GLW
2013-05-14,15.27,15.53,15.23,15.53,13370493,GLW
2013-05-15,15.53,15.71,15.4,15.68,11219237,GLW
2013-05-16,15.67,15.77,15.31,15.45,14200377,GLW
2013-05-17,15.42,16.14,15.39,16.14,24333190,GLW
2013-05-20,16.06,16.43,16.05,16.31,19384190,GLW
2013-05-21,16.3,16.32,16.01,16.19,14819989,GLW
2013-05-22,16.2,16.3401,15.65,15.8,14335166,GLW
2013-05-23,15.36,15.79,15.23,15.75,13630849,GLW
2013-05-24,15.6,15.74,15.51,15.66,10226517,GLW
2013-05-28,15.73,15.967,15.71,15.76,10188651,GLW
2013-05-29,15.52,15.7,15.47,15.59,11165360,GLW
2013-05-30,15.53,15.73,15.52,15.59,9875262,GLW
2013-05-31,15.54,15.71,15.37,15.37,10291209,GLW
2013-06-03,15.42,15.7,15.38,15.7,12680019,GLW
2013-06-04,15.66,15.79,15.43,15.57,11310201,GLW
2013-06-05,15.5,15.5,14.96,14.99,18431204,GLW
2013-06-06,15.02,15.1,14.82,15.01,18588154,GLW
2013-06-07,15.1,15.41,15.1,15.38,15014030,GLW
2013-06-10,15.42,15.4489,15.17,15.22,10070675,GLW
2013-06-11,15.09,15.23,14.97,14.99,8978299,GLW
2013-06-12,15.09,15.13,14.75,14.78,9574824,GLW
2013-06-13,14.7,15.18,14.52,15.09,11532936,GLW
2013-06-14,15.12,15.15,14.89,14.92,7531808,GLW
2013-06-17,15.01,15.21,14.98,15.11,7969738,GLW
2013-06-18,15.1,15.22,15.09,15.19,10244537,GLW
2013-06-19,15.2,15.25,14.88,14.93,13436152,GLW
2013-06-20,14.69,14.89,14.24,14.31,18669495,GLW
2013-06-21,14.43,14.44,14.12,14.26,15305150,GLW
2013-06-24,14.09,14.19,13.86,13.96,11963158,GLW
2013-06-25,14.08,14.24,13.92,14.21,9723148,GLW
2013-06-26,14.27,14.34,14.08,14.33,10055300,GLW
2013-06-27,14.42,14.49,14.28,14.3,7723517,GLW
2013-06-28,14.26,14.36,14.12,14.23,13675582,GLW
2013-07-01,14.36,14.55,14.285,14.45,6831126,GLW
2013-07-02,14.45,14.55,14.3,14.42,7492387,GLW
2013-07-03,14.31,14.31,14.1,14.28,6011242,GLW
2013-07-05,14.41,14.58,14.36,14.52,5751106,GLW
2013-07-08,14.62,14.65,14.46,14.55,6542655,GLW
2013-07-09,14.63,14.89,14.63,14.77,11628078,GLW
2013-07-10,14.79,14.88,14.66,14.8,6343667,GLW
2013-07-11,15.0,15.08,14.85,15.04,8341345,GLW
2013-07-12,15.02,15.08,14.86,15.03,8459437,GLW
2013-07-15,15.05,15.17,14.96,15.09,5687593,GLW
2013-07-16,15.07,15.14,14.87,15.02,6828274,GLW
2013-07-17,14.96,15.0,14.54,14.82,13592741,GLW
2013-07-18,14.57,14.89,14.53,14.79,10030274,GLW
2013-07-19,14.83,15.11,14.76,15.11,16081708,GLW
2013-07-22,15.15,15.17,14.9299,14.99,9306343,GLW
2013-07-23,14.98,15.1,14.915,15.02,6417621,GLW
2013-07-24,15.11,15.33,15.05,15.14,11658774,GLW
2013-07-25,15.14,15.33,15.05,15.28,9275595,GLW
2013-07-26,15.22,15.25,15.05,15.25,9573694,GLW
2013-07-29,15.27,15.45,15.233,15.39,16824601,GLW
2013-07-30,15.22,15.44,14.7,15.19,27862863,GLW
2013-07-31,15.24,15.4,15.11,15.19,14507556,GLW
2013-08-01,15.32,15.51,15.32,15.45,12931634,GLW
2013-08-02,15.44,15.455,15.34,15.4,12023932,GLW
2013-08-05,15.37,15.5,15.31,15.34,7387905,GLW
2013-08-06,15.31,15.32,14.96,15.07,14717973,GLW
2013-08-07,14.98,15.08,14.93,15.03,8584210,GLW
2013-08-08,15.04,15.2,14.935,15.13,7463918,GLW
2013-08-09,15.14,15.19,15.03,15.09,5786258,GLW
2013-08-12,15.05,15.19,15.03,15.11,5376919,GLW
2013-08-13,15.12,15.24,15.07,15.21,6503757,GLW
2013-08-14,15.23,15.27,15.09,15.12,6587254,GLW
2013-08-15,14.96,15.03,14.88,14.91,8887038,GLW
2013-08-16,14.87,15.08,14.84,15.03,12241054,GLW
2013-08-19,15.0,15.03,14.69,14.72,9496371,GLW
2013-08-20,14.73,14.75,14.415,14.47,14361321,GLW
2013-08-21,14.44,14.71,14.385,14.55,10934921,GLW
2013-08-22,14.6,14.79,14.5,14.62,7168943,GLW
2013-08-23,14.71,14.8,14.605,14.77,6857964,GLW
2013-08-26,14.76,14.92,14.75,14.75,9926855,GLW
2013-08-27,14.62,14.63,14.2,14.22,12149178,GLW
2013-08-28,14.15,14.3,14.1,14.17,7542157,GLW
2013-08-29,14.13,14.27,14.08,14.18,7773697,GLW
2013-08-30,14.18,14.205,13.94,14.04,8464968,GLW
2013-09-03,14.06,14.17,13.835,13.92,12256936,GLW
2013-09-04,13.91,14.32,13.89,14.18,13516607,GLW
2013-09-05,14.23,14.5,14.21,14.45,9632843,GLW
2013-09-06,14.48,14.5,14.23,14.4,11556169,GLW
2013-09-09,14.41,14.66,14.41,14.63,8429383,GLW
2013-09-10,14.73,14.86,14.685,14.86,9345498,GLW
2013-09-11,14.87,14.93,14.79,14.89,7728455,GLW
2013-09-12,14.88,14.89,14.395,14.49,16781232,GLW
2013-09-13,14.56,14.64,14.42,14.64,7336618,GLW
2013-09-16,14.78,14.8,14.48,14.49,12346847,GLW
2013-09-17,14.49,14.65,14.38,14.65,11418947,GLW
2013-09-18,14.73,15.09,14.7,15.02,18397623,GLW
2013-09-19,15.09,15.11,14.83,14.87,10313687,GLW
2013-09-20,14.87,14.96,14.67,14.67,13646442,GLW
2013-09-23,14.74,14.93,14.6,14.82,15072150,GLW
2013-09-24,14.79,14.93,14.76,14.88,11638388,GLW
2013-09-25,14.87,15.0,14.76,14.92,9578800,GLW
2013-09-26,14.94,15.0,14.84,14.94,10756096,GLW
2013-09-27,14.89,14.91,14.625,14.73,9651175,GLW
2013-09-30,14.58,14.7,14.47,14.59,10503797,GLW
2013-10-01,14.6,14.74,14.525,14.74,8248870,GLW
2013-10-02,14.6,14.655,14.47,14.53,12603596,GLW
2013-10-03,14.5,14.57,14.25,14.3,12940032,GLW
2013-10-04,14.27,14.65,14.27,14.63,13314063,GLW
2013-10-07,14.43,14.6,14.365,14.48,11501387,GLW
2013-10-08,14.47,14.49,14.0,14.0,16331221,GLW
2013-10-09,14.02,14.1,13.82,14.01,15462188,GLW
2013-10-10,14.23,14.47,14.1371,14.46,13483364,GLW
2013-10-11,14.27,14.45,14.17,14.45,15279982,GLW
2013-10-14,14.3,14.5,14.2,14.41,11265515,GLW
2013-10-15,14.32,14.5,14.18,14.27,12971309,GLW
2013-10-16,14.35,14.47,14.31,14.42,13352941,GLW
2013-10-17,14.36,14.885,14.36,14.83,14745429,GLW
2013-10-18,14.94,15.04,14.83,15.0,14729775,GLW
2013-10-21,15.02,15.13,14.99,15.09,8176749,GLW
2013-10-22,15.18,15.48,15.17,15.35,22781935,GLW
2013-10-23,18.04,18.07,16.73,17.52,87148002,GLW
2013-10-24,17.49,17.52,16.83,17.48,36881075,GLW
2013-10-25,17.47,17.52,17.14,17.35,15542710,GLW
2013-10-28,17.29,17.4,17.1378,17.3,10076804,GLW
2013-10-29,17.34,17.55,17.22,17.51,14496300,GLW
2013-10-30,17.655,17.7,16.92,17.0,15904308,GLW
2013-10-31,16.86,17.27,16.8,17.09,17040248,GLW
2013-11-01,17.09,17.34,17.02,17.13,10208502,GLW
2013-11-04,17.21,17.34,17.15,17.26,10079411,GLW
2013-11-05,16.63,16.82,16.45,16.5,24345289,GLW
2013-11-06,16.53,16.59,16.31,16.55,12356716,GLW
