date,open,high,low,close,volume,Name
2013-02-08,32.3,32.475,31.91,32.23,4121547,GPS
2013-02-11,32.26,32.91,32.2,32.58,4320130,GPS
2013-02-12,32.54,32.72,32.03,32.11,5116911,GPS
2013-02-13,32.17,32.42,31.79,31.84,4169568,GPS
2013-02-14,31.72,31.82,31.19,31.36,5448912,GPS
2013-02-15,31.34,33.8,31.29,32.88,17841835,GPS
2013-02-19,32.83,32.9,32.04,32.64,6060998,GPS
2013-02-20,32.7,32.92,32.26,32.29,3583818,GPS
2013-02-21,32.12,32.26,31.7,32.05,4115460,GPS
2013-02-22,32.08,32.09,31.435,31.96,4086700,GPS
2013-02-25,32.1,32.18,31.22,31.22,4714823,GPS
2013-02-26,31.39,31.99,31.28,31.79,4805999,GPS
2013-02-27,31.87,32.63,31.61,32.51,4157313,GPS
2013-02-28,32.46,33.355,32.35,32.92,6534119,GPS
2013-03-01,33.7,34.29,32.91,33.87,8480274,GPS
2013-03-04,33.63,34.16,33.431,33.65,4711794,GPS
2013-03-05,33.86,34.455,33.79,34.38,4102244,GPS
2013-03-06,34.26,34.76,34.25,34.46,4113088,GPS
2013-03-07,34.44,36.0,34.27,35.87,10266840,GPS
2013-03-08,36.0,36.42,35.439,36.23,4848636,GPS
2013-03-11,36.18,36.435,36.09,36.38,4338142,GPS
2013-03-12,36.41,36.73,36.08,36.53,5781681,GPS
2013-03-13,36.42,36.8,36.42,36.65,3834321,GPS
2013-03-14,36.76,36.84,36.45,36.57,2965440,GPS
2013-03-15,36.41,36.7,36.1,36.39,4884532,GPS
2013-03-18,35.8,36.87,35.8,36.45,4596403,GPS
2013-03-19,36.37,36.72,35.49,35.85,4409213,GPS
2013-03-20,36.13,36.25,35.64,35.96,2496493,GPS
2013-03-21,35.78,35.99,35.18,35.42,3236008,GPS
2013-03-22,35.6,35.81,35.45,35.66,2072372,GPS
2013-03-25,35.75,36.2,35.67,35.99,3905791,GPS
2013-03-26,35.94,36.08,34.86,35.03,6395179,GPS
2013-03-27,34.88,35.38,34.71,35.27,3974473,GPS
2013-03-28,35.25,35.48,35.01,35.4,2460688,GPS
2013-04-01,35.33,35.69,35.1,35.2,2094831,GPS
2013-04-02,35.59,35.96,35.17,35.74,3321966,GPS
2013-04-03,35.86,36.41,35.75,36.04,3393584,GPS
2013-04-04,36.05,36.66,35.87,36.65,4180293,GPS
2013-04-05,36.1,36.67,35.8,36.65,3826749,GPS
2013-04-08,36.65,36.93,36.19,36.85,3497352,GPS
2013-04-09,37.0,37.0,36.46,36.74,2522933,GPS
2013-04-10,36.86,37.307,36.78,37.19,3236814,GPS
2013-04-11,37.31,38.0,37.26,37.9,5140007,GPS
2013-04-12,37.66,38.23,37.6,38.18,4555858,GPS
2013-04-15,37.91,38.17,36.92,36.93,3325374,GPS
2013-04-16,37.36,37.89,37.07,37.78,3723063,GPS
2013-04-17,37.55,37.79,36.84,37.1,2706461,GPS
2013-04-18,37.31,37.7,36.76,37.2,4329026,GPS
2013-04-19,37.26,37.47,36.92,37.0,3996360,GPS
2013-04-22,37.11,37.17,36.23,36.66,3676406,GPS
2013-04-23,36.93,37.14,36.14,36.77,3603662,GPS
2013-04-24,36.86,37.1399,36.44,36.87,2994547,GPS
2013-04-25,37.05,37.59,36.96,37.43,4136874,GPS
2013-04-26,37.49,37.66,37.19,37.49,2342321,GPS
2013-04-29,37.59,37.79,37.41,37.51,3978136,GPS
2013-04-30,37.51,38.01,37.09,37.99,5048734,GPS
2013-05-01,37.94,38.18,37.57,37.57,3092802,GPS
2013-05-02,37.57,38.0039,37.56,37.97,2022424,GPS
2013-05-03,38.3,39.13,38.24,38.81,2930252,GPS
2013-05-06,38.71,39.09,38.31,38.45,3062954,GPS
2013-05-07,38.72,39.06,38.28,39.04,4202292,GPS
2013-05-08,39.03,39.2,38.67,38.76,3925800,GPS
2013-05-09,38.8,39.29,38.51,38.81,3749816,GPS
2013-05-10,40.1,41.43,39.9,40.99,9928611,GPS
2013-05-13,40.79,40.93,40.085,40.29,4740265,GPS
2013-05-14,40.19,40.925,40.01,40.88,4338719,GPS
2013-05-15,41.27,41.49,40.71,41.02,4367565,GPS
2013-05-16,40.9,41.21,40.435,40.59,3251514,GPS
2013-05-17,40.47,40.97,40.24,40.96,4154358,GPS
2013-05-20,40.83,41.25,40.82,41.06,2361802,GPS
2013-05-21,41.15,41.86,41.02,41.67,3559398,GPS
2013-05-22,41.56,41.815,40.85,41.04,3792204,GPS
2013-05-23,40.92,41.57,40.51,41.36,3883115,GPS
2013-05-24,40.11,40.94,40.09,40.64,3777566,GPS
2013-05-28,40.93,41.07,40.41,40.52,2580045,GPS
2013-05-29,40.18,40.27,39.24,39.37,5506915,GPS
2013-05-30,39.42,40.22,39.41,39.99,3387701,GPS
2013-05-31,40.01,41.305,39.96,40.55,3912553,GPS
2013-06-03,40.55,40.6,39.96,40.55,3637660,GPS
2013-06-04,40.49,41.07,40.39,40.93,3686313,GPS
2013-06-05,40.73,40.99,40.2,40.25,2720080,GPS
2013-06-06,40.26,41.015,39.99,40.98,3465201,GPS
2013-06-07,41.75,42.4,41.33,42.09,6423311,GPS
2013-06-10,42.18,42.4,41.44,41.57,2862466,GPS
2013-06-11,41.26,41.36,40.88,41.04,2664122,GPS
2013-06-12,41.33,41.56,40.36,40.63,2553136,GPS
2013-06-13,40.66,41.47,40.62,41.39,4720055,GPS
2013-06-14,41.4,41.63,40.98,41.48,3655449,GPS
2013-06-17,41.86,42.35,41.65,41.78,4196283,GPS
2013-06-18,41.89,42.39,41.79,42.34,2252821,GPS
2013-06-19,42.13,42.45,41.71,41.74,2679282,GPS
2013-06-20,41.46,41.66,40.63,40.74,2806634,GPS
2013-06-21,41.11,41.63,40.915,41.32,5461355,GPS
2013-06-24,40.89,41.11,40.0025,40.37,3144032,GPS
2013-06-25,40.75,41.23,40.44,41.06,2706146,GPS
2013-06-26,41.46,41.79,41.29,41.62,2456550,GPS
2013-06-27,42.01,42.21,41.78,41.95,2961168,GPS
2013-06-28,41.85,42.17,41.62,41.73,3477538,GPS
2013-07-01,41.94,43.04,41.94,42.8,4118416,GPS
2013-07-02,42.8,43.355,42.525,42.87,3342628,GPS
2013-07-03,42.54,43.085,42.31,42.89,1717217,GPS
2013-07-05,43.1,43.39,42.77,43.3,1581014,GPS
2013-07-08,43.3,43.83,43.3,43.65,2347309,GPS
2013-07-09,43.91,44.1,43.67,43.94,3115817,GPS
2013-07-10,43.94,44.25,43.68,44.1,2769317,GPS
2013-07-11,44.66,44.955,44.62,44.76,4665993,GPS
2013-07-12,45.02,45.37,44.821,45.1,4385946,GPS
2013-07-15,44.45,45.04,44.37,44.87,1960143,GPS
2013-07-16,45.05,45.22,44.56,44.67,2090425,GPS
2013-07-17,44.9,45.17,44.56,44.71,1445301,GPS
2013-07-18,44.71,45.22,44.6,45.09,1971978,GPS
2013-07-19,45.11,45.25,44.8,45.03,1677110,GPS
2013-07-22,45.08,45.175,44.53,45.07,1292765,GPS
2013-07-23,45.13,45.16,44.59,44.87,1599233,GPS
2013-07-24,45.08,45.09,44.54,44.81,2126568,GPS
2013-07-25,44.71,45.65,44.62,45.63,3429962,GPS
2013-07-26,45.38,45.53,45.08,45.48,2321120,GPS
2013-07-29,45.25,45.92,45.24,45.85,2494930,GPS
2013-07-30,45.95,46.35,45.87,46.11,1692735,GPS
2013-07-31,46.22,46.42,45.74,45.9,2532001,GPS
2013-08-01,46.38,46.5057,46.15,46.32,2659641,GPS
2013-08-02,46.3,46.56,46.05,46.48,2185075,GPS
2013-08-05,46.45,46.53,46.052,46.28,1958626,GPS
2013-08-06,45.78,45.94,44.83,45.52,4144410,GPS
2013-08-07,45.33,45.35,44.46,44.9,4364611,GPS
2013-08-08,45.25,46.36,45.17,45.52,4179675,GPS
2013-08-09,44.71,44.86,42.82,44.1,10273360,GPS
2013-08-12,43.91,44.56,43.66,44.46,2940983,GPS
2013-08-13,44.56,44.78,44.18,44.69,1996848,GPS
2013-08-14,44.34,44.6,43.98,44.23,2699385,GPS
2013-08-15,44.03,44.15,43.37,43.51,2293073,GPS
2013-08-16,43.41,43.68,43.071,43.12,2123342,GPS
2013-08-19,43.04,43.25,42.435,42.59,3359999,GPS
2013-08-20,42.99,43.67,42.47,43.31,2995055,GPS
2013-08-21,43.17,43.23,42.47,42.68,2559918,GPS
2013-08-22,42.07,42.43,41.2,42.01,5902699,GPS
2013-08-23,42.25,42.85,41.44,41.97,6232705,GPS
2013-08-26,41.88,42.14,41.37,41.43,3730979,GPS
2013-08-27,41.0,41.38,40.38,40.49,4224397,GPS
2013-08-28,40.4,40.89,40.35,40.49,4212396,GPS
2013-08-29,40.43,40.87,40.33,40.71,3653026,GPS
2013-08-30,40.77,40.88,40.345,40.44,2223154,GPS
2013-09-03,40.75,41.1296,40.54,40.72,6149453,GPS
2013-09-04,40.66,41.12,40.62,40.81,3921334,GPS
2013-09-05,40.83,41.18,40.64,40.65,3754301,GPS
2013-09-06,40.82,40.82,39.94,40.39,4379149,GPS
2013-09-09,40.48,41.31,40.41,41.14,3375948,GPS
2013-09-10,41.3,41.345,40.86,41.34,4878496,GPS
2013-09-11,41.34,41.58,41.17,41.48,2675663,GPS
2013-09-12,41.48,41.55,41.02,41.23,2839666,GPS
2013-09-13,41.32,41.7,41.17,41.64,3253424,GPS
2013-09-16,42.11,42.11,41.6,41.81,3044837,GPS
2013-09-17,41.8,42.3,41.8,42.09,2342324,GPS
2013-09-18,42.2,42.41,41.4801,42.31,2926101,GPS
2013-09-19,42.37,42.66,41.96,42.08,3555246,GPS
2013-09-20,42.0,42.1,41.18,41.55,5589825,GPS
2013-09-23,41.24,41.46,40.87,41.19,2546534,GPS
2013-09-24,41.25,41.28,40.84,41.03,2445175,GPS
2013-09-25,41.07,41.1299,40.33,40.5,3619799,GPS
2013-09-26,40.56,41.18,40.47,40.67,3288538,GPS
2013-09-27,40.46,40.78,40.26,40.67,2624944,GPS
2013-09-30,40.17,40.74,39.9,40.28,3315540,GPS
2013-10-01,40.27,40.55,40.16,40.4,2448183,GPS
2013-10-02,40.23,40.99,40.23,40.86,3515330,GPS
2013-10-03,40.61,40.8,40.2,40.26,4246527,GPS
2013-10-04,40.25,40.76,40.12,40.51,2808121,GPS
2013-10-07,40.15,40.19,39.59,39.71,4190314,GPS
2013-10-08,39.63,39.75,39.02,39.21,5821796,GPS
2013-10-09,39.24,39.8,39.1,39.48,4955545,GPS
2013-10-10,40.08,40.18,39.17,39.68,7193708,GPS
2013-10-11,37.05,37.25,36.45,36.83,17694635,GPS
2013-10-14,36.69,37.07,36.68,36.92,5870099,GPS
2013-10-15,36.84,36.9825,36.2,36.79,5885603,GPS
2013-10-16,36.92,37.195,36.68,37.07,5735663,GPS
2013-10-17,36.95,37.07,36.8,36.98,4177512,GPS
2013-10-18,37.19,37.39,36.85,37.22,4236221,GPS
2013-10-21,37.11,37.21,36.6501,36.93,4259013,GPS
2013-10-22,36.71,36.87,36.13,36.83,9420223,GPS
2013-10-23,36.8,37.03,36.61,36.93,4223527,GPS
2013-10-24,37.0,37.19,36.81,37.06,5745655,GPS
2013-10-25,37.08,37.11,36.21,36.66,5000068,GPS
2013-10-28,36.59,37.12,36.425,36.72,4567811,GPS
2013-10-29,36.95,37.67,36.92,37.64,4913370,GPS
2013-10-30,37.67,37.85,37.3,37.66,4156364,GPS
2013-10-31,37.5,37.6,36.98,36.99,4327382,GPS
2013-11-01,37.0,37.11,36.445,36.78,4390290,GPS
2013-11-04,36.43,37.25,36.39,37.23,4853249,GPS
2013-11-05,37.35,37.68,36.9,37.54,4825975,GPS
2013-11-06,37.63,38.085,37.25,38.02,4434202,GPS
2013-11-07,38.13,38.85,37.72,37.75,7062007,GPS
2013-11-08,40.25,41.435,40.02,41.43,11925923,GPS
2013-11-11,41.27,41.51,41.03,41.2,4620765,GPS
2013-11-12,41.03,41.19,40.655,40.87,3771927,GPS
2013-11-13,40.8,41.48,40.67,41.36,4125184,GPS
2013-11-14,41.34,42.145,41.1,42.05,3703349,GPS
2013-11-15,42.2,42.2366,41.59,42.15,3186899,GPS
2013-11-18,42.21,42.45,41.86,41.94,3210823,GPS
2013-11-19,41.79,42.11,41.34,41.72,3526125,GPS
2013-11-20,41.78,41.91,41.22,41.24,2990730,GPS
2013-11-21,41.25,41.97,40.74,41.86,4028146,GPS
2013-11-22,41.49,41.68,40.36,41.31,7502664,GPS
2013-11-25,41.44,41.7,41.025,41.03,4514722,GPS
2013-11-26,41.13,41.74,41.07,41.18,4478098,GPS
2013-11-27,40.9,41.138,40.3056,40.77,4379987,GPS
2013-11-29,40.95,41.37,40.9,40.97,1642296,GPS
2013-12-02,41.27,42.33,41.24,41.58,5676963,GPS
2013-12-03,41.31,41.62,40.82,41.11,5199853,GPS
2013-12-04,40.61,41.045,40.26,40.9,8189025,GPS
2013-12-05,40.88,40.88,40.13,40.24,5114688,GPS
2013-12-06,40.08,40.2,38.83,39.46,7083890,GPS
2013-12-09,39.59,39.795,39.26,39.59,3495540,GPS
2013-12-10,39.27,39.27,38.52,38.72,4980653,GPS
2013-12-11,38.84,39.0,38.27,38.32,5135293,GPS
2013-12-12,38.41,38.89,38.26,38.38,5949362,GPS
2013-12-13,38.57,38.79,38.42,38.49,3597796,GPS
2013-12-16,38.51,38.8,38.49,38.69,4189506,GPS
2013-12-17,38.81,38.85,38.23,38.25,3369897,GPS
2013-12-18,38.37,38.77,38.01,38.58,5232902,GPS
2013-12-19,38.48,38.7,38.18,38.29,2883021,GPS
2013-12-20,38.39,39.0,38.3,38.57,6260101,GPS
2013-12-23,38.74,38.83,38.37,38.57,2904163,GPS
2013-12-24,38.79,38.99,38.56,38.61,1093691,GPS
2013-12-26,38.67,39.14,38.64,38.97,2413308,GPS
2013-12-27,38.95,39.2,38.6,38.62,1952612,GPS
2013-12-30,38.72,39.19,38.48,39.02,2563404,GPS
2013-12-31,39.02,39.16,38.6381,39.08,2878988,GPS
2014-01-02,39.09,39.63,38.66,38.72,4785190,GPS
2014-01-03,38.86,39.75,38.73,39.52,4437018,GPS
2014-01-06,39.39,39.625,38.8,39.05,4514229,GPS
2014-01-07,39.13,39.995,39.09,39.34,6686217,GPS
2014-01-08,39.26,39.33,38.62,39.2,6951601,GPS
2014-01-09,39.21,39.47,38.615,39.42,6800312,GPS
