date,open,high,low,close,volume,Name
2013-02-08,7.15,7.2,7.09,7.2,10740477,HBAN
2013-02-11,7.19,7.19,7.11,7.12,6325860,HBAN
2013-02-12,7.12,7.22,7.12,7.22,13158968,HBAN
2013-02-13,7.23,7.24,7.1,7.13,9643187,HBAN
2013-02-14,7.1,7.18,7.0801,7.17,11092444,HBAN
2013-02-15,7.12,7.18,7.09,7.1,12188196,HBAN
2013-02-19,7.12,7.17,7.09,7.14,11959713,HBAN
2013-02-20,7.13,7.165,7.0,7.01,14155810,HBAN
2013-02-21,7.01,7.02,6.83,6.86,19455490,HBAN
2013-02-22,6.92,6.98,6.9,6.98,12689028,HBAN
2013-02-25,7.04,7.07,6.8,6.8,9527765,HBAN
2013-02-26,6.81,6.89,6.75,6.8,12171910,HBAN
2013-02-27,6.82,7.06,6.81,7.03,15475979,HBAN
2013-02-28,7.02,7.09,6.985,7.03,11466045,HBAN
2013-03-01,7.0,7.1,6.94,7.07,6940078,HBAN
2013-03-04,7.03,7.23,7.02,7.21,10134223,HBAN
2013-03-05,7.23,7.25,7.11,7.18,16411714,HBAN
2013-03-06,7.22,7.25,7.19,7.22,8205242,HBAN
2013-03-07,7.23,7.36,7.2,7.34,11208902,HBAN
2013-03-08,7.42,7.46,7.32,7.36,8971770,HBAN
2013-03-11,7.33,7.43,7.29,7.4,8649966,HBAN
2013-03-12,7.38,7.43,7.34,7.38,8429609,HBAN
2013-03-13,7.37,7.47,7.355,7.47,7831043,HBAN
2013-03-14,7.46,7.5,7.43,7.495,12369996,HBAN
2013-03-15,7.5,7.55,7.45,7.509,14791827,HBAN
2013-03-18,7.38,7.49,7.29,7.43,7647722,HBAN
2013-03-19,7.48,7.51,7.41,7.48,11007371,HBAN
2013-03-20,7.5,7.53,7.46,7.5,8106789,HBAN
2013-03-21,7.46,7.53,7.42,7.45,7950775,HBAN
2013-03-22,7.45,7.48,7.34,7.38,22532171,HBAN
2013-03-25,7.41,7.42,7.32,7.35,9011048,HBAN
2013-03-26,7.41,7.48,7.3601,7.47,9384325,HBAN
2013-03-27,7.4,7.44,7.36,7.41,5233436,HBAN
2013-03-28,7.42,7.46,7.36,7.37,6387288,HBAN
2013-04-01,7.4,7.44,7.31,7.33,6307278,HBAN
2013-04-02,7.33,7.36,7.26,7.27,6672271,HBAN
2013-04-03,7.27,7.32,7.14,7.19,8478473,HBAN
2013-04-04,7.19,7.26,7.15,7.25,6661575,HBAN
2013-04-05,7.14,7.235,7.1,7.21,10482436,HBAN
2013-04-08,7.23,7.38,7.175,7.35,8691723,HBAN
2013-04-09,7.38,7.43,7.33,7.39,6405216,HBAN
2013-04-10,7.43,7.5,7.43,7.45,8118850,HBAN
2013-04-11,7.46,7.51,7.41,7.47,12434262,HBAN
2013-04-12,7.43,7.47,7.35,7.39,8137050,HBAN
2013-04-15,7.33,7.38,7.15,7.15,11351923,HBAN
2013-04-16,7.26,7.27,7.15,7.22,13484123,HBAN
2013-04-17,7.14,7.19,6.93,7.005,18630969,HBAN
2013-04-18,6.95,6.99,6.82,6.86,15941148,HBAN
2013-04-19,6.91,7.02,6.84,7.0,10057540,HBAN
2013-04-22,7.0,7.03,6.93,6.975,7030608,HBAN
2013-04-23,7.01,7.075,6.97,7.06,13094376,HBAN
2013-04-24,7.07,7.1,7.02,7.095,12601328,HBAN
2013-04-25,7.14,7.19,7.1,7.11,7701960,HBAN
2013-04-26,7.12,7.15,7.05,7.11,5792688,HBAN
2013-04-29,7.15,7.16,7.11,7.13,4768566,HBAN
2013-04-30,7.14,7.18,7.1,7.17,7918070,HBAN
2013-05-01,7.15,7.19,7.06,7.06,7256780,HBAN
2013-05-02,7.07,7.17,7.05,7.12,5344173,HBAN
2013-05-03,7.2,7.28,7.17,7.27,8021644,HBAN
2013-05-06,7.29,7.35,7.26,7.33,7332335,HBAN
2013-05-07,7.34,7.47,7.32,7.46,9494430,HBAN
2013-05-08,7.45,7.48,7.38,7.46,6294335,HBAN
2013-05-09,7.48,7.5,7.42,7.43,7159338,HBAN
2013-05-10,7.49,7.5,7.43,7.49,6820208,HBAN
2013-05-13,7.49,7.52,7.43,7.49,6253952,HBAN
2013-05-14,7.48,7.7,7.48,7.69,10845895,HBAN
2013-05-15,7.68,7.81,7.66,7.7,10673228,HBAN
2013-05-16,7.68,7.69,7.57,7.59,12217426,HBAN
2013-05-17,7.68,7.75,7.65,7.74,6756723,HBAN
2013-05-20,7.7,7.78,7.69,7.73,6312851,HBAN
2013-05-21,7.7,7.75,7.65,7.69,8932250,HBAN
2013-05-22,7.69,7.81,7.52,7.56,12329807,HBAN
2013-05-23,7.5,7.55,7.43,7.52,8727215,HBAN
2013-05-24,7.44,7.55,7.44,7.54,5387803,HBAN
2013-05-28,7.62,7.68,7.6,7.62,10122363,HBAN
2013-05-29,7.53,7.74,7.53,7.71,11202132,HBAN
2013-05-30,7.7,7.95,7.7,7.89,15903100,HBAN
2013-05-31,7.88,7.91,7.75,7.75,9132600,HBAN
2013-06-03,7.75,7.79,7.61,7.72,9069285,HBAN
2013-06-04,7.74,7.778,7.6,7.62,8473019,HBAN
2013-06-05,7.58,7.665,7.47,7.51,11802826,HBAN
2013-06-06,7.48,7.58,7.44,7.55,8927118,HBAN
2013-06-07,7.61,7.69,7.555,7.68,7544311,HBAN
2013-06-10,7.7,7.82,7.69,7.81,7180038,HBAN
2013-06-11,7.72,7.77,7.66,7.68,6278731,HBAN
2013-06-12,7.73,7.77,7.59,7.59,12027553,HBAN
2013-06-13,7.54,7.75,7.52,7.73,11013168,HBAN
2013-06-14,7.72,7.74,7.53,7.53,9667937,HBAN
2013-06-17,7.56,7.68,7.5,7.56,9004618,HBAN
2013-06-18,7.55,7.64,7.53,7.62,6196444,HBAN
2013-06-19,7.62,7.62,7.47,7.47,10601176,HBAN
2013-06-20,7.4,7.65,7.38,7.51,17656883,HBAN
2013-06-21,7.61,7.72,7.52,7.66,15523398,HBAN
2013-06-24,7.63,7.7,7.56,7.61,12196292,HBAN
2013-06-25,7.69,7.82,7.63,7.78,11067973,HBAN
2013-06-26,7.93,7.96,7.81,7.86,12042478,HBAN
2013-06-27,7.91,7.92,7.84,7.88,12626857,HBAN
2013-06-28,7.85,7.91,7.8,7.87,8344613,HBAN
2013-07-01,7.95,8.12,7.9,8.03,11313596,HBAN
