date,open,high,low,close,volume,Name
2013-02-08,66.69,67.68,66.69,67.37,2760327,HES
2013-02-11,67.12,67.12,66.34,66.74,2299451,HES
2013-02-12,66.71,67.38,66.48,66.98,2525119,HES
2013-02-13,67.0,68.44,66.99,67.96,10539573,HES
2013-02-14,67.76,68.96,67.53,68.35,3537045,HES
2013-02-15,68.18,68.39,67.02,67.42,4049201,HES
2013-02-19,67.69,68.46,67.42,68.21,2669145,HES
2013-02-20,68.11,68.17,65.84,66.01,3856204,HES
2013-02-21,65.72,65.93,63.9,64.4,6311500,HES
2013-02-22,65.04,66.1,64.38,66.03,2384782,HES
2013-02-25,66.45,66.97,63.72,63.74,2764773,HES
2013-02-26,64.17,65.05,63.4,64.61,3919169,HES
2013-02-27,64.24,66.08,64.06,65.68,2529719,HES
2013-02-28,65.71,67.2325,65.45,66.5,3400026,HES
2013-03-01,66.04,66.55,65.18,66.54,4602723,HES
2013-03-04,69.11,70.0,68.26,68.84,10305079,HES
2013-03-05,69.93,70.49,69.48,69.82,6542441,HES
2013-03-06,70.3,70.46,69.26,69.49,3565491,HES
2013-03-07,69.88,69.92,68.8,69.04,2952587,HES
2013-03-08,69.27,69.655,68.84,69.47,3227143,HES
2013-03-11,69.23,69.96,68.65,69.89,2761767,HES
2013-03-12,69.93,70.85,69.77,70.38,4150993,HES
2013-03-13,70.32,71.99,70.04,71.69,3955604,HES
2013-03-14,71.67,72.12,71.35,71.97,3213437,HES
2013-03-15,71.59,72.56,71.34,72.51,4497659,HES
2013-03-18,71.52,72.63,71.33,72.22,2444100,HES
2013-03-19,72.17,72.4,69.045,70.0,3837264,HES
2013-03-20,70.57,70.7,69.79,69.9,2444267,HES
2013-03-21,69.42,70.36,69.24,69.27,2334072,HES
2013-03-22,69.62,70.37,69.53,70.27,2252016,HES
2013-03-25,71.0,71.74,70.36,70.44,3246298,HES
2013-03-26,70.67,71.35,70.28,71.11,2443854,HES
2013-03-27,70.76,72.23,70.11,72.03,2585704,HES
2013-03-28,72.0,72.5,71.13,71.61,2691347,HES
2013-04-01,71.57,74.48,71.36,73.54,4507833,HES
2013-04-02,73.73,74.22,72.78,74.14,2992198,HES
2013-04-03,74.25,74.25,71.84,72.06,3411201,HES
2013-04-04,72.1,72.24,70.65,71.79,2784647,HES
2013-04-05,71.0,72.11,70.39,71.69,1661054,HES
2013-04-08,72.0,72.44,71.35,72.44,1890707,HES
2013-04-09,72.48,73.6,71.88,73.3,3168217,HES
2013-04-10,73.33,73.685,72.67,72.92,1861719,HES
2013-04-11,73.12,73.28,71.99,72.66,1598947,HES
2013-04-12,72.15,72.15,70.7,71.39,1898306,HES
2013-04-15,69.68,69.82,67.94,67.97,3280372,HES
2013-04-16,68.97,69.33,67.7749,68.79,2674597,HES
2013-04-17,68.01,68.05,65.67,66.91,3209894,HES
2013-04-18,66.96,67.54,66.11,67.02,2990815,HES
2013-04-19,67.23,67.285,66.55,66.78,4448695,HES
2013-04-22,67.29,68.37,66.78,67.9,5272393,HES
2013-04-23,68.18,68.94,67.67,68.21,3074067,HES
2013-04-24,69.28,70.73,69.05,70.12,3998699,HES
2013-04-25,70.27,72.26,70.055,71.16,3176604,HES
2013-04-26,71.02,71.4899,70.815,70.99,3406455,HES
2013-04-29,71.64,72.5,71.38,72.2,1884269,HES
2013-04-30,72.08,72.18,70.79,72.18,3307411,HES
2013-05-01,71.62,71.62,70.4164,70.71,2718035,HES
2013-05-02,71.9,72.41,71.025,72.21,2234876,HES
2013-05-03,73.0,73.91,72.91,73.0,4777805,HES
2013-05-06,72.9,73.35,72.45,72.46,2827854,HES
2013-05-07,72.69,73.085,71.94,72.26,2117259,HES
2013-05-08,72.17,72.57,71.56,71.89,3415863,HES
2013-05-09,71.86,71.98,70.7,70.96,2596203,HES
2013-05-10,70.66,70.6775,69.01,69.3,4846657,HES
2013-05-13,69.25,69.77,68.77,69.39,3427787,HES
2013-05-14,69.58,72.27,69.53,72.22,5847900,HES
2013-05-15,71.69,72.42,70.55,70.6,3423422,HES
2013-05-16,70.95,70.95,68.0,69.11,11770067,HES
2013-05-17,69.58,69.95,69.27,69.68,3576904,HES
2013-05-20,69.6,70.15,69.28,69.72,3352660,HES
2013-05-21,69.66,70.19,69.16,69.61,3336826,HES
2013-05-22,69.41,69.99,67.85,68.58,3880516,HES
2013-05-23,67.55,68.24,66.75,68.04,3071873,HES
2013-05-24,67.43,67.6,66.33,67.48,4042019,HES
2013-05-28,68.66,69.17,67.93,68.52,3958869,HES
2013-05-29,67.83,68.82,67.74,68.57,2056981,HES
2013-05-30,68.26,69.16,67.87,68.74,2587887,HES
2013-05-31,68.5,68.85,67.4,67.41,3890386,HES
2013-06-03,67.58,69.17,67.51,68.79,2946666,HES
2013-06-04,68.46,68.92,67.53,68.25,2339479,HES
2013-06-05,67.97,68.19,66.56,66.76,2821915,HES
2013-06-06,66.7,67.99,66.27,67.99,2244211,HES
2013-06-07,68.63,69.34,68.01,69.18,2126352,HES
2013-06-10,69.23,69.38,68.32,68.75,1392863,HES
2013-06-11,67.72,68.03,67.11,67.29,1552399,HES
2013-06-12,68.12,68.22,66.46,66.82,2370165,HES
2013-06-13,66.67,67.11,65.995,66.85,3234106,HES
2013-06-14,67.24,67.25,65.77,65.97,3066379,HES
2013-06-17,66.59,68.0,66.59,67.51,2269423,HES
2013-06-18,67.54,67.75,67.14,67.52,3253673,HES
2013-06-19,67.33,68.08,66.25,66.38,2678660,HES
2013-06-20,65.26,65.66,64.04,64.28,3356613,HES
2013-06-21,64.26,64.44,62.63,64.02,5992820,HES
2013-06-24,63.28,63.46,61.32,62.87,5068476,HES
2013-06-25,63.68,64.26,62.98,63.65,2803148,HES
2013-06-26,64.12,66.58,64.06,65.71,3792007,HES
2013-06-27,66.26,67.5,66.21,67.05,3392973,HES
2013-06-28,66.95,67.07,66.2,66.49,2596401,HES
2013-07-01,66.82,67.47,66.5,66.71,2294355,HES
2013-07-02,66.72,67.81,66.51,67.22,3091786,HES
2013-07-03,67.05,67.29,66.23,67.2,1149248,HES
2013-07-05,67.86,68.19,66.98,68.13,1341912,HES
2013-07-08,68.5,68.7099,68.13,68.53,2650012,HES
2013-07-09,68.89,68.98,67.92,68.57,2107387,HES
2013-07-10,68.56,69.04,68.42,68.73,1914750,HES
2013-07-11,69.94,71.08,69.83,70.96,4170387,HES
2013-07-12,70.8,71.34,70.73,71.17,2133641,HES
2013-07-15,71.64,71.81,70.805,71.06,1590073,HES
2013-07-16,71.05,71.37,70.2,70.74,1524183,HES
2013-07-17,70.92,71.58,70.82,71.28,1854485,HES
2013-07-18,71.41,72.39,71.34,72.16,2654735,HES
2013-07-19,72.51,74.0,72.23,73.94,3730985,HES
2013-07-22,74.3,74.5,72.76,73.27,3084143,HES
2013-07-23,73.32,73.94,73.126,73.43,2002915,HES
2013-07-24,73.57,73.66,72.04,72.63,2130998,HES
2013-07-25,72.23,73.63,72.23,73.54,2102386,HES
2013-07-26,72.99,73.24,72.33,73.2,1414456,HES
2013-07-29,72.78,73.0,71.669,72.03,2721016,HES
2013-07-30,73.08,73.725,72.125,73.19,3670146,HES
2013-07-31,73.79,75.8,73.79,74.46,6142387,HES
2013-08-01,75.38,76.345,74.78,76.04,3594275,HES
2013-08-02,75.62,75.655,75.0,75.31,2392226,HES
2013-08-05,74.98,75.14,74.35,75.08,2086547,HES
2013-08-06,75.05,75.22,73.1,73.46,4230071,HES
2013-08-07,73.04,74.0,72.38,73.56,2475063,HES
2013-08-08,74.33,74.83,73.4201,74.36,1893822,HES
2013-08-09,75.54,75.64,74.36,74.89,3408709,HES
2013-08-12,74.49,75.32,74.35,75.13,2602063,HES
2013-08-13,75.16,75.45,74.6,75.21,2115820,HES
2013-08-14,75.6,75.92,75.17,75.47,1940484,HES
2013-08-15,74.66,75.3,74.34,75.23,2677407,HES
2013-08-16,74.87,75.48,74.49,75.07,3008596,HES
2013-08-19,74.74,75.32,73.28,73.29,2343728,HES
2013-08-20,73.7,74.47,72.85,73.72,2493989,HES
2013-08-21,73.58,74.05,72.62,73.03,2285835,HES
2013-08-22,73.43,74.92,73.43,74.51,1754455,HES
2013-08-23,74.69,75.77,74.36,75.66,1626960,HES
2013-08-26,75.75,76.379,75.19,75.41,2423235,HES
2013-08-27,74.61,76.38,74.61,75.45,2609376,HES
2013-08-28,75.88,77.0499,75.71,76.48,2550455,HES
2013-08-29,76.09,76.15,75.17,75.82,1922968,HES
2013-08-30,75.84,76.15,74.81,74.85,3033304,HES
2013-09-03,75.92,76.45,75.35,75.99,1865289,HES
2013-09-04,75.79,76.72,75.57,76.15,2919171,HES
2013-09-05,76.28,77.035,76.19,76.53,2543348,HES
2013-09-06,76.8,78.2,76.26,77.3,2537866,HES
2013-09-09,77.62,78.34,77.54,78.33,2161292,HES
2013-09-10,78.3,78.32,77.02,77.79,2793062,HES
2013-09-11,77.87,78.26,76.98,78.1,2602239,HES
2013-09-12,77.7,78.25,77.12,77.25,3026671,HES
2013-09-13,77.14,78.04,77.14,77.72,2085857,HES
2013-09-16,78.37,78.57,77.45,77.92,2530931,HES
2013-09-17,77.87,78.22,77.52,77.79,2968671,HES
2013-09-18,77.5,79.5,77.2,79.22,2615338,HES
2013-09-19,79.45,80.35,79.45,79.64,2646392,HES
2013-09-20,79.64,80.41,78.17,78.63,4256386,HES
2013-09-23,78.39,78.85,77.51,78.53,2324723,HES
2013-09-24,78.59,79.35,78.2,78.51,2858847,HES
2013-09-25,78.71,79.32,78.56,78.72,1740419,HES
2013-09-26,79.06,79.35,78.1,78.79,1328485,HES
2013-09-27,78.03,78.67,77.88,78.33,1184403,HES
2013-09-30,77.51,77.8,76.62,77.34,1899548,HES
2013-10-01,76.97,78.91,76.83,78.69,2178954,HES
2013-10-02,78.26,80.36,78.26,79.96,2428501,HES
2013-10-03,79.94,81.12,79.54,79.89,3755559,HES
2013-10-04,79.77,80.61,79.76,80.14,3172963,HES
2013-10-07,79.54,80.43,79.27,79.54,2416216,HES
2013-10-08,79.36,80.34,78.54,78.77,2603508,HES
2013-10-09,78.13,79.14,77.95,78.53,2850812,HES
2013-10-10,81.04,81.23,79.53,80.79,3704111,HES
2013-10-11,80.25,81.4,79.93,81.1,3735979,HES
2013-10-14,80.53,81.53,80.35,81.31,3135528,HES
2013-10-15,80.28,81.64,80.28,80.81,3646286,HES
2013-10-16,81.32,82.44,81.32,82.31,3995893,HES
2013-10-17,81.37,82.59,81.37,82.39,2791001,HES
2013-10-18,82.87,84.07,82.81,84.06,3568181,HES
2013-10-21,84.08,84.85,83.69,84.0,3130047,HES
2013-10-22,84.53,85.15,83.33,83.56,4171927,HES
2013-10-23,83.0,83.02,81.06,81.92,4200726,HES
2013-10-24,82.28,83.33,81.74,83.09,1883491,HES
2013-10-25,83.42,83.78,82.43,83.2,1548562,HES
2013-10-28,83.33,83.63,82.689,83.16,2044345,HES
2013-10-29,83.3,83.8,83.005,83.5,1497659,HES
2013-10-30,82.16,82.67,79.96,80.32,6151877,HES
2013-10-31,80.83,81.94,79.98,81.2,3306715,HES
2013-11-01,81.22,81.49,80.04,80.93,3550418,HES
2013-11-04,81.12,81.951,81.02,81.73,2202535,HES
2013-11-05,81.35,81.61,80.37,80.49,2905995,HES
2013-11-06,81.02,82.56,80.55,81.0,3072592,HES
2013-11-07,81.03,81.392,78.68,78.78,3303326,HES
2013-11-08,78.92,80.33,78.885,80.3,2156651,HES
2013-11-11,80.38,81.24,80.19,80.87,2127334,HES
2013-11-12,80.95,81.34,79.72,79.94,2233675,HES
2013-11-13,79.37,80.88,79.36,80.78,1978151,HES
2013-11-14,80.76,81.8,80.49,81.7,2215496,HES
2013-11-15,81.9,82.86,81.52,82.86,3378353,HES
2013-11-18,83.15,83.32,81.59,81.91,2078086,HES
2013-11-19,81.75,82.27,80.93,81.89,1814758,HES
2013-11-20,81.9,82.75,80.99,81.31,1631525,HES
2013-11-21,81.45,82.485,81.15,82.33,1915794,HES
2013-11-22,82.66,83.35,81.6,83.33,2224689,HES
2013-11-25,82.22,83.28,81.7,82.63,2001183,HES
2013-11-26,82.82,84.3308,82.2,83.61,2394738,HES
2013-11-27,83.54,83.54,81.09,81.48,2483964,HES
2013-11-29,81.62,82.51,81.1,81.13,1352494,HES
2013-12-02,81.01,81.6,80.33,80.91,1959035,HES
2013-12-03,80.63,81.54,80.25,81.15,3157327,HES
2013-12-04,80.98,82.65,80.98,82.21,2304512,HES
2013-12-05,81.83,82.38,81.4,81.47,2106644,HES
2013-12-06,82.43,82.79,80.46,80.86,2295565,HES
2013-12-09,80.91,81.21,80.02,80.51,2083015,HES
2013-12-10,80.6,81.3,79.58,79.94,2505541,HES
2013-12-11,79.67,79.87,78.81,78.94,2470226,HES
2013-12-12,78.94,79.43,77.88,78.56,2650006,HES
2013-12-13,78.5,79.3,78.41,78.95,2665700,HES
2013-12-16,78.0,79.73,77.52,79.35,2789980,HES
2013-12-17,81.15,81.18,78.95,79.51,3310458,HES
2013-12-18,79.6,80.9,78.67,80.83,2749716,HES
2013-12-19,80.42,81.08,80.14,80.54,2118172,HES
2013-12-20,80.68,81.42,80.16,80.17,3826528,HES
2013-12-23,80.72,81.4,80.14,80.22,2309002,HES
2013-12-24,80.25,81.26,80.02,81.14,1036126,HES
2013-12-26,81.28,82.85,81.16,82.6,1548590,HES
2013-12-27,82.77,83.39,82.27,83.07,1333525,HES
2013-12-30,83.07,83.54,82.59,82.61,1471358,HES
2013-12-31,82.9,83.29,82.445,83.0,1489276,HES
2014-01-02,82.95,83.0,80.685,81.12,2755967,HES
2014-01-03,80.86,81.72,79.97,80.28,1922679,HES
2014-01-06,79.53,80.09,78.99,79.92,2680797,HES
2014-01-07,79.98,81.23,79.92,80.86,2034396,HES
2014-01-08,81.61,81.79,80.58,81.69,3145278,HES
2014-01-09,81.87,82.16,80.86,81.34,2864205,HES
2014-01-10,81.11,81.46,80.5,80.9,2363355,HES
2014-01-13,80.75,81.11,78.72,78.87,2913171,HES
2014-01-14,78.92,79.72,78.92,79.53,1817104,HES
2014-01-15,78.67,79.18,77.65,77.67,5404808,HES
2014-01-16,77.74,78.03,77.17,77.72,3237933,HES
2014-01-17,77.72,78.27,77.03,77.13,2650533,HES
2014-01-21,77.8,78.08,77.24,77.92,2222632,HES
2014-01-22,78.15,78.69,77.7204,78.12,1893913,HES
2014-01-23,77.77,78.06,76.96,77.4,1832907,HES
2014-01-24,76.54,77.04,75.52,76.25,2682592,HES
