date,open,high,low,close,volume,Name
2013-02-08,16.57,16.83,16.52,16.81,8231972,HST
2013-02-11,16.79,17.045,16.72,16.9,9264735,HST
2013-02-12,16.93,17.25,16.88,17.18,9497830,HST
2013-02-13,17.19,17.3,17.07,17.15,6796391,HST
2013-02-14,17.07,17.24,16.99,17.15,4800367,HST
2013-02-15,17.18,17.21,17.005,17.17,5786747,HST
2013-02-19,17.15,17.315,17.1,17.28,8103724,HST
2013-02-20,17.18,17.19,16.995,17.03,8663687,HST
2013-02-21,16.93,17.108,16.42,16.43,12796576,HST
2013-02-22,16.59,16.93,16.56,16.89,9272707,HST
2013-02-25,17.0,17.09,16.5,16.5,7442662,HST
2013-02-26,16.57,16.79,16.52,16.59,8600336,HST
2013-02-27,16.54,16.84,16.47,16.7,6473119,HST
2013-02-28,16.7,16.86,16.65,16.67,11752084,HST
2013-03-01,16.62,16.76,16.46,16.61,9190560,HST
2013-03-04,16.6,16.71,16.5,16.62,12893728,HST
2013-03-05,16.73,16.74,16.55,16.61,13392346,HST
2013-03-06,16.72,16.75,16.48,16.5,6228245,HST
2013-03-07,16.49,16.61,16.46,16.54,7101298,HST
2013-03-08,16.63,16.97,16.54,16.93,10671315,HST
2013-03-11,16.91,17.28,16.84,17.27,11153188,HST
2013-03-12,17.24,17.34,17.17,17.21,9569336,HST
2013-03-13,17.18,17.38,17.14,17.32,7043348,HST
2013-03-14,17.32,17.54,17.32,17.52,4630461,HST
2013-03-15,17.49,17.74,17.48,17.73,9337954,HST
2013-03-18,17.45,17.545,17.27,17.34,10266281,HST
2013-03-19,17.34,17.41,16.93,17.01,6414559,HST
2013-03-20,17.13,17.24,16.93,17.03,7913308,HST
2013-03-21,16.94,17.05,16.76,16.76,6212942,HST
2013-03-22,16.82,17.035,16.77,17.0,6163439,HST
2013-03-25,17.01,17.06,16.9,16.99,5838594,HST
2013-03-26,16.94,17.22,16.87,17.15,6962593,HST
2013-03-27,17.04,17.3,16.95,17.29,4948085,HST
2013-03-28,17.34,17.5,17.3,17.49,5406958,HST
2013-04-01,17.48,17.52,17.205,17.42,5550101,HST
2013-04-02,17.5,17.52,17.18,17.25,7115388,HST
2013-04-03,17.3,17.4,17.12,17.18,7125621,HST
2013-04-04,17.25,17.61,17.18,17.59,6730611,HST
2013-04-05,17.3,17.48,17.15,17.45,4224865,HST
2013-04-08,17.45,17.695,17.29,17.67,4957939,HST
2013-04-09,17.8,17.85,17.47,17.59,5165946,HST
2013-04-10,17.63,17.8,17.6201,17.8,6062237,HST
2013-04-11,17.83,18.15,17.82,17.97,6996841,HST
2013-04-12,17.9,18.01,17.75,17.87,4660012,HST
2013-04-15,17.8,17.88,17.18,17.19,9119361,HST
2013-04-16,17.33,17.67,17.22,17.67,7447921,HST
2013-04-17,17.48,17.53,17.17,17.31,6290050,HST
2013-04-18,17.31,17.42,17.08,17.17,4511217,HST
2013-04-19,17.25,17.585,17.18,17.57,7709620,HST
2013-04-22,17.56,17.75,17.445,17.67,5703304,HST
2013-04-23,17.79,18.06,17.74,18.01,6200199,HST
2013-04-24,18.03,18.09,17.795,17.84,4870265,HST
2013-04-25,17.94,18.05,17.72,17.88,3760222,HST
2013-04-26,17.91,17.935,17.73,17.73,2811206,HST
2013-04-29,17.78,17.92,17.6,17.85,3313784,HST
2013-04-30,17.88,18.27,17.87,18.27,7623246,HST
2013-05-01,18.25,18.34,18.14,18.23,8519316,HST
2013-05-02,18.25,18.45,18.14,18.41,10107474,HST
2013-05-03,18.7,18.79,18.235,18.35,10912054,HST
2013-05-06,18.39,18.52,18.31,18.44,5777395,HST
2013-05-07,18.41,18.61,18.38,18.57,6062267,HST
2013-05-08,18.54,18.73,18.38,18.45,6145683,HST
2013-05-09,18.48,18.5191,18.23,18.35,6241923,HST
2013-05-10,18.39,18.57,18.31,18.57,6028151,HST
2013-05-13,18.46,18.52,18.34,18.48,5407226,HST
2013-05-14,18.4,18.51,18.3,18.48,7259844,HST
2013-05-15,18.47,18.705,18.4301,18.68,6330649,HST
2013-05-16,18.65,18.76,18.53,18.7,7592095,HST
2013-05-17,18.73,18.82,18.62,18.77,4843476,HST
2013-05-20,18.77,18.8,18.46,18.54,5789826,HST
2013-05-21,18.62,18.7,18.46,18.51,5689022,HST
2013-05-22,18.57,18.87,18.12,18.25,6330970,HST
2013-05-23,18.08,18.09,17.73,17.94,9587502,HST
2013-05-24,17.86,18.18,17.76,18.13,6753479,HST
2013-05-28,18.33,18.51,18.2,18.3,7139773,HST
2013-05-29,18.12,18.17,17.867,17.98,9150403,HST
2013-05-30,18.05,18.1,17.815,17.97,9651065,HST
2013-05-31,17.91,18.13,17.79,17.79,10017680,HST
2013-06-03,17.93,17.965,17.545,17.71,8783731,HST
2013-06-04,17.67,17.73,17.28,17.31,9109710,HST
2013-06-05,17.23,17.34,16.925,17.0,7253891,HST
2013-06-06,16.98,17.38,16.88,17.37,6240447,HST
2013-06-07,17.45,17.48,17.18,17.42,6458337,HST
2013-06-10,17.49,17.515,17.24,17.27,5528121,HST
2013-06-11,17.07,17.12,16.85,16.86,6599524,HST
2013-06-12,17.03,17.03,16.41,16.42,7519994,HST
2013-06-13,16.42,17.07,16.35,17.02,9182610,HST
2013-06-14,16.95,17.46,16.95,17.22,10122263,HST
2013-06-17,17.33,17.51,17.09,17.17,5887977,HST
2013-06-18,17.21,17.42,17.16,17.22,5498141,HST
2013-06-19,17.26,17.33,16.62,16.63,7605493,HST
2013-06-20,16.5,16.52,15.905,16.02,12764117,HST
2013-06-21,16.14,16.3,15.94,16.18,12396585,HST
2013-06-24,15.94,16.399,15.6,16.06,11120203,HST
2013-06-25,16.19,16.58,16.19,16.5,9165447,HST
2013-06-26,16.63,16.7,16.44,16.49,7976223,HST
2013-06-27,16.61,16.88,16.53,16.87,5751347,HST
2013-06-28,16.84,17.05,16.67,16.87,7022819,HST
2013-07-01,17.05,17.105,16.88,16.92,5576141,HST
2013-07-02,16.92,17.27,16.92,17.13,6380522,HST
2013-07-03,16.94,17.08,16.875,16.99,3432141,HST
2013-07-05,17.09,17.55,17.03,17.55,8037552,HST
2013-07-08,17.57,17.72,17.55,17.58,6049403,HST
2013-07-09,17.68,17.86,17.55,17.77,5548745,HST
2013-07-10,17.7,17.89,17.61,17.79,4697217,HST
2013-07-11,18.02,18.18,17.84,18.14,6325688,HST
2013-07-12,18.16,18.18,17.93,17.99,4665345,HST
2013-07-15,18.02,18.105,17.91,18.04,4781761,HST
2013-07-16,18.05,18.17,17.97,18.07,5796339,HST
2013-07-17,18.13,18.19,18.0,18.02,5136589,HST
2013-07-18,18.12,18.445,18.11,18.35,5180185,HST
2013-07-19,18.32,18.55,18.285,18.55,5418964,HST
2013-07-22,18.53,18.73,18.43,18.68,4541185,HST
2013-07-23,18.7,18.72,18.35,18.35,6485882,HST
2013-07-24,18.37,18.41,17.88,18.04,6705594,HST
2013-07-25,17.99,18.38,17.97,18.3,4344066,HST
2013-07-26,18.22,18.24,17.96,18.12,6168486,HST
2013-07-29,18.07,18.16,17.89,17.96,3529694,HST
2013-07-30,18.1,18.3,17.92,18.02,6665322,HST
2013-07-31,18.05,18.18,17.79,17.86,12209282,HST
2013-08-01,17.97,18.17,17.79,18.16,10585181,HST
2013-08-02,17.76,18.725,17.53,18.5,10697372,HST
2013-08-05,18.48,18.53,18.03,18.07,5195322,HST
2013-08-06,17.96,18.13,17.71,17.73,5132361,HST
2013-08-07,17.7,17.77,17.59,17.67,5407228,HST
2013-08-08,17.79,17.82,17.52,17.73,5332622,HST
2013-08-09,17.71,17.87,17.67,17.7,6996042,HST
2013-08-12,17.63,17.775,17.53,17.71,4632450,HST
2013-08-13,17.71,17.71,17.45,17.49,5659785,HST
2013-08-14,17.43,17.58,17.37,17.39,7110663,HST
2013-08-15,17.19,17.22,16.88,17.01,9964736,HST
2013-08-16,16.89,17.01,16.52,16.52,9836109,HST
2013-08-19,16.55,16.7,16.4,16.41,10210175,HST
2013-08-20,16.47,17.02,16.44,16.93,8991669,HST
2013-08-21,16.86,17.13,16.64,16.91,7476638,HST
2013-08-22,16.92,17.25,16.81,17.25,5699030,HST
2013-08-23,17.31,17.43,17.15,17.42,5450532,HST
2013-08-26,17.43,17.51,17.32,17.32,4812532,HST
2013-08-27,17.1,17.22,17.01,17.07,7824727,HST
2013-08-28,17.05,17.205,16.95,17.13,6159093,HST
2013-08-29,17.1,17.26,16.99,17.24,4255683,HST
2013-08-30,17.27,17.34,16.94,17.03,6664858,HST
2013-09-03,17.23,17.34,16.89,17.04,5091189,HST
2013-09-04,17.06,17.42,17.01,17.34,4704285,HST
2013-09-05,17.34,17.39,17.09,17.1,3906153,HST
2013-09-06,17.28,17.52,17.16,17.29,5900811,HST
2013-09-09,17.34,17.8,17.31,17.8,5331895,HST
2013-09-10,17.91,18.04,17.86,18.03,7196352,HST
2013-09-11,17.99,18.25,17.91,18.23,5812338,HST
2013-09-12,18.43,18.43,17.99,18.03,5221833,HST
2013-09-13,17.99,18.09,17.9,18.06,3096557,HST
2013-09-16,18.45,18.57,18.08,18.12,4928286,HST
2013-09-17,18.12,18.35,18.11,18.3,7496076,HST
2013-09-18,18.34,18.9,18.175,18.7,10379508,HST
2013-09-19,18.79,19.03,18.63,18.631,7292069,HST
2013-09-20,18.69,18.69,18.19,18.22,12161736,HST
2013-09-23,18.19,18.25,18.03,18.07,5285700,HST
2013-09-24,18.02,18.115,17.89,17.92,5852921,HST
2013-09-25,17.94,18.06,17.86,18.0,4689636,HST
2013-09-26,17.95,17.99,17.83,17.99,3046193,HST
2013-09-27,17.93,17.99,17.66,17.82,5119542,HST
2013-09-30,17.63,17.89,17.6,17.67,6001998,HST
2013-10-01,17.64,18.12,17.63,17.9,6343065,HST
2013-10-02,17.82,18.16,17.82,18.11,5441361,HST
2013-10-03,18.02,18.11,17.57,17.65,7276858,HST
2013-10-04,17.59,17.89,17.59,17.78,4684463,HST
2013-10-07,17.56,17.715,17.44,17.59,4761060,HST
2013-10-08,17.61,17.68,17.3,17.31,4686256,HST
2013-10-09,17.33,17.42,16.99,17.09,9029825,HST
2013-10-10,17.36,17.63,17.31,17.62,5855222,HST
2013-10-11,17.55,17.98,17.54,17.91,4177027,HST
2013-10-14,17.78,17.97,17.62,17.93,5628148,HST
2013-10-15,17.85,17.99,17.615,17.66,6548497,HST
2013-10-16,17.85,18.115,17.78,18.09,5673022,HST
2013-10-17,18.01,18.51,17.91,18.46,6233650,HST
2013-10-18,18.58,18.75,18.47,18.58,6623275,HST
2013-10-21,18.55,18.65,18.52,18.64,4704715,HST
2013-10-22,18.64,18.76,18.42,18.55,12742481,HST
2013-10-23,18.49,18.52,18.305,18.355,5348588,HST
2013-10-24,18.46,18.75,18.375,18.66,6585332,HST
2013-10-25,18.67,18.835,18.54,18.78,5959443,HST
2013-10-28,18.66,18.66,18.36,18.62,5676777,HST
2013-10-29,18.64,18.64,18.4,18.63,4087624,HST
2013-10-30,18.62,18.705,18.37,18.52,7038582,HST
2013-10-31,18.54,18.7,18.35,18.55,9717178,HST
2013-11-01,18.64,18.85,18.52,18.81,5675276,HST
2013-11-04,18.83,19.14,18.73,19.06,7052861,HST
2013-11-05,18.02,19.1,17.96,18.86,11094441,HST
2013-11-06,19.26,19.26,18.79,18.91,6011286,HST
2013-11-07,18.9,18.92,18.45,18.48,7008791,HST
2013-11-08,18.43,18.6,18.12,18.6,6317176,HST
2013-11-11,18.47,18.62,18.42,18.53,3948471,HST
2013-11-12,18.5,18.58,18.29,18.45,3698157,HST
2013-11-13,18.38,18.74,18.26,18.71,4666656,HST
2013-11-14,18.77,18.935,18.66,18.81,3610171,HST
2013-11-15,18.83,19.04,18.79,19.01,6441102,HST
2013-11-18,19.01,19.07,18.775,18.85,5708679,HST
2013-11-19,18.84,18.928,18.47,18.57,4601784,HST
2013-11-20,18.56,18.92,18.355,18.43,4184199,HST
2013-11-21,18.54,18.74,18.45,18.73,3899883,HST
2013-11-22,18.72,18.76,18.455,18.58,4004194,HST
2013-11-25,18.6,18.68,18.44,18.48,4022028,HST
2013-11-26,18.48,18.61,18.42,18.43,4134130,HST
2013-11-27,18.45,18.59,18.35,18.56,3306307,HST
2013-11-29,18.58,18.665,18.39,18.41,2500324,HST
2013-12-02,18.38,18.515,18.12,18.19,5808807,HST
2013-12-03,18.09,18.17,17.91,17.99,7139082,HST
2013-12-04,17.86,18.285,17.84,18.15,6842920,HST
2013-12-05,18.13,18.3,17.985,18.2,5767436,HST
2013-12-06,18.4,18.57,18.38,18.47,3811496,HST
2013-12-09,18.5,18.6,18.33,18.55,3622945,HST
2013-12-10,18.49,18.76,18.49,18.54,4305341,HST
2013-12-11,18.53,18.54,18.06,18.11,4797894,HST
