date,open,high,low,close,volume,Name
2013-02-08,14.03,14.135,13.99,14.1,6722508,KR
2013-02-11,14.215,14.3974,14.185,14.195,8946862,KR
2013-02-12,14.195,14.32,14.075,14.27,7079172,KR
2013-02-13,14.25,14.3,14.185,14.23,5036106,KR
2013-02-14,14.155,14.205,14.09,14.12,8497132,KR
2013-02-15,14.085,14.105,13.9,13.945,12235870,KR
2013-02-19,14.005,14.125,14.0,14.105,7671416,KR
2013-02-20,14.08,14.09,13.82,13.835,8548452,KR
2013-02-21,13.9,14.5,13.9,14.38,18029152,KR
2013-02-22,14.39,14.44,14.305,14.395,9723084,KR
2013-02-25,14.445,14.465,14.175,14.175,6756072,KR
2013-02-26,14.215,14.375,14.18,14.36,9539142,KR
2013-02-27,14.34,14.58,14.29,14.55,8383602,KR
2013-02-28,14.55,14.76,14.535,14.605,13482422,KR
2013-03-01,14.59,14.765,14.515,14.765,8591600,KR
2013-03-04,14.72,14.795,14.63,14.735,9299838,KR
2013-03-05,14.755,14.835,14.695,14.795,6111998,KR
2013-03-06,14.795,14.8775,14.655,14.68,8667816,KR
2013-03-07,15.015,15.31,14.915,15.125,15358196,KR
2013-03-08,15.125,15.6,15.1045,15.585,14930938,KR
2013-03-11,15.455,15.505,15.36,15.475,9641684,KR
2013-03-12,15.435,15.52,15.385,15.405,8328606,KR
2013-03-13,15.435,15.705,15.435,15.655,7152678,KR
2013-03-14,15.655,15.78,15.65,15.75,7481884,KR
2013-03-15,15.705,15.9,15.675,15.81,10707238,KR
2013-03-18,15.66,15.895,15.62,15.83,7096874,KR
2013-03-19,15.89,15.945,15.7865,15.87,5925536,KR
2013-03-20,15.96,16.05,15.91,15.935,6106684,KR
2013-03-21,15.87,16.025,15.855,16.0,7661572,KR
2013-03-22,16.0,16.28,15.975,16.2,7350950,KR
2013-03-25,16.21,16.35,16.195,16.32,7447284,KR
2013-03-26,16.425,16.57,16.37,16.395,9021232,KR
2013-03-27,16.35,16.625,16.32,16.55,8094290,KR
2013-03-28,16.565,16.64,16.53,16.57,8169228,KR
2013-04-01,16.54,16.55,16.215,16.27,10163200,KR
2013-04-02,16.35,16.53,16.285,16.395,10205962,KR
2013-04-03,16.4,16.4,15.95,16.02,10078762,KR
2013-04-04,16.01,16.265,16.01,16.155,7163644,KR
2013-04-05,15.945,16.1425,15.93,16.02,8464192,KR
2013-04-08,16.0,16.045,15.76,15.94,9770504,KR
2013-04-09,15.955,16.145,15.95,16.03,7346860,KR
2013-04-10,16.055,16.36,16.055,16.325,7693468,KR
2013-04-11,16.375,16.75,16.35,16.585,9582204,KR
2013-04-12,16.53,16.7,16.48,16.555,6732514,KR
2013-04-15,16.555,16.645,16.355,16.36,8211368,KR
2013-04-16,16.43,16.665,16.365,16.65,6795286,KR
2013-04-17,16.575,16.7625,16.425,16.715,10304718,KR
2013-04-18,16.75,16.88,16.68,16.88,10256394,KR
2013-04-19,16.925,16.95,16.76,16.855,7002870,KR
2013-04-22,16.85,17.1775,16.845,17.105,6056988,KR
2013-04-23,17.155,17.34,17.0849,17.335,7515584,KR
2013-04-24,17.3225,17.6175,17.2575,17.295,8822584,KR
2013-04-25,17.29,17.325,16.65,17.165,15315076,KR
2013-04-26,17.145,17.2,16.965,17.14,6615282,KR
2013-04-29,17.15,17.2475,17.005,17.225,4476230,KR
2013-04-30,17.21,17.235,17.05,17.19,5284834,KR
2013-05-01,17.19,17.2925,17.07,17.1,5338590,KR
2013-05-02,17.1,17.37,17.055,17.31,4330332,KR
2013-05-03,17.415,17.615,17.315,17.355,8013942,KR
2013-05-06,17.32,17.35,17.24,17.25,6457918,KR
2013-05-07,17.31,17.495,17.265,17.495,6946142,KR
2013-05-08,17.52,17.56,17.345,17.365,7245332,KR
2013-05-09,17.345,17.3945,17.2,17.225,4498806,KR
2013-05-10,17.225,17.29,17.1375,17.245,5186512,KR
2013-05-13,17.125,17.16,16.93,16.975,8749950,KR
2013-05-14,17.015,17.41,17.015,17.4,7516876,KR
2013-05-15,17.415,17.645,17.325,17.61,7000536,KR
2013-05-16,17.56,17.72,17.48,17.535,6791738,KR
2013-05-17,17.52,17.71,17.475,17.71,5669016,KR
2013-05-20,17.7,17.705,17.34,17.36,6152976,KR
2013-05-21,17.35,17.515,17.27,17.415,7718766,KR
2013-05-22,17.41,17.6075,16.9525,17.06,12658098,KR
2013-05-23,17.065,17.205,16.885,17.095,9813610,KR
2013-05-24,17.02,17.1275,16.935,17.115,4207592,KR
2013-05-28,17.21,17.425,17.185,17.27,4399210,KR
2013-05-29,17.23,17.31,17.1,17.21,5723820,KR
2013-05-30,17.195,17.325,17.14,17.195,4197180,KR
2013-05-31,17.15,17.185,16.835,16.835,7117324,KR
2013-06-03,16.85,16.94,16.55,16.92,8343182,KR
2013-06-04,16.925,17.1825,16.92,16.975,12690364,KR
2013-06-05,16.925,16.99,16.42,16.515,10266378,KR
2013-06-06,16.495,16.59,16.385,16.56,8998980,KR
2013-06-07,16.7,17.3,16.695,17.28,13142008,KR
2013-06-10,17.315,17.47,17.2513,17.365,6976568,KR
2013-06-11,17.275,17.6,17.235,17.29,5691918,KR
2013-06-12,17.335,17.4,17.11,17.15,6369454,KR
2013-06-13,17.39,17.545,17.235,17.53,7901248,KR
2013-06-14,17.505,17.625,17.335,17.395,4914558,KR
2013-06-17,17.5,17.725,17.46,17.59,6632116,KR
2013-06-18,17.645,17.78,17.55,17.76,9344632,KR
2013-06-19,17.725,17.82,17.55,17.565,6896606,KR
2013-06-20,17.405,17.405,16.415,16.49,16901124,KR
2013-06-21,16.655,16.985,16.61,16.885,11179442,KR
2013-06-24,16.76,17.12,16.6176,16.995,9611490,KR
2013-06-25,17.09,17.34,17.06,17.255,9093192,KR
2013-06-26,17.38,17.455,17.175,17.24,7856028,KR
2013-06-27,17.26,17.47,17.24,17.355,6453408,KR
2013-06-28,17.3,17.44,17.25,17.27,7890812,KR
2013-07-01,17.345,17.4475,17.295,17.335,5364320,KR
2013-07-02,17.345,18.145,17.345,17.96,15516828,KR
2013-07-03,17.89,17.95,17.8,17.8,3965944,KR
2013-07-05,17.94,18.04,17.82,18.035,5444638,KR
2013-07-08,18.06,18.1,17.95,18.095,5367612,KR
2013-07-09,18.275,18.66,18.275,18.575,14561444,KR
2013-07-10,18.645,18.815,18.645,18.67,7599386,KR
2013-07-11,18.945,19.1,18.745,18.895,8660012,KR
2013-07-12,18.535,18.875,18.535,18.815,8955380,KR
2013-07-15,18.64,19.0,18.625,18.88,7712096,KR
2013-07-16,18.89,19.0751,18.8,19.065,9385584,KR
2013-07-17,19.105,19.26,19.02,19.22,6640098,KR
2013-07-18,19.245,19.5,19.1966,19.245,9410084,KR
2013-07-19,19.365,19.425,19.26,19.405,8307962,KR
2013-07-22,19.47,19.525,19.4,19.525,6619216,KR
2013-07-23,19.54,19.6599,19.3775,19.465,6864652,KR
2013-07-24,19.53,19.57,19.4025,19.565,8524056,KR
2013-07-25,19.485,19.84,19.45,19.84,8866476,KR
2013-07-26,19.75,19.83,19.625,19.825,7234682,KR
2013-07-29,19.77,19.935,19.705,19.925,4973216,KR
2013-07-30,19.95,19.9875,19.785,19.8,7531320,KR
2013-07-31,19.77,19.885,19.6,19.635,10609952,KR
2013-08-01,19.75,19.88,19.705,19.825,4371540,KR
2013-08-02,19.8,19.8,19.355,19.59,9778080,KR
2013-08-05,19.59,19.735,19.52,19.58,5495156,KR
2013-08-06,19.56,19.65,19.335,19.645,6663486,KR
2013-08-07,19.62,19.67,19.485,19.495,6279624,KR
2013-08-08,19.62,19.855,19.525,19.8,5486214,KR
2013-08-09,19.73,19.735,19.33,19.44,7028534,KR
2013-08-12,19.37,19.49,19.265,19.48,5188510,KR
2013-08-13,19.44,19.6025,19.34,19.57,5154218,KR
2013-08-14,19.505,19.56,19.38,19.41,4408454,KR
2013-08-15,19.3,19.3,18.935,19.005,8290660,KR
2013-08-16,19.035,19.2,18.985,19.125,7662668,KR
2013-08-19,19.08,19.115,18.77,18.97,6290310,KR
2013-08-20,18.94,19.05,18.885,18.89,5186706,KR
2013-08-21,18.845,18.875,18.695,18.735,6716912,KR
2013-08-22,18.78,18.815,18.58,18.61,8036086,KR
2013-08-23,18.605,18.785,18.55,18.765,6456790,KR
2013-08-26,18.805,18.81,18.425,18.43,6388718,KR
2013-08-27,18.29,18.34,18.18,18.2,7010118,KR
2013-08-28,18.16,18.25,17.955,18.2,8790454,KR
2013-08-29,18.165,18.455,18.095,18.39,4855906,KR
2013-08-30,18.44,18.44,18.23,18.3,4939814,KR
2013-09-03,18.485,18.555,18.355,18.41,5180162,KR
2013-09-04,18.45,18.85,18.4213,18.67,10290056,KR
2013-09-05,18.65,18.675,18.5,18.675,5844104,KR
2013-09-06,18.73,18.865,18.56,18.7,7624480,KR
2013-09-09,18.735,18.885,18.72,18.845,4957990,KR
2013-09-10,19.0,19.1,18.65,18.77,11173952,KR
2013-09-11,18.795,18.91,18.635,18.835,12771210,KR
2013-09-12,19.015,19.5,18.905,19.31,13744472,KR
2013-09-13,19.42,19.61,19.41,19.515,9961054,KR
2013-09-16,19.685,19.975,19.685,19.84,9518220,KR
2013-09-17,19.895,20.3725,19.895,20.275,17534820,KR
2013-09-18,20.155,20.3,19.975,20.28,10824894,KR
2013-09-19,20.3,20.515,20.25,20.495,8729676,KR
2013-09-20,20.48,20.57,20.36,20.38,8686622,KR
2013-09-23,20.275,20.3987,20.205,20.24,6888378,KR
2013-09-24,20.26,20.5,20.155,20.425,8610500,KR
2013-09-25,20.49,20.545,20.305,20.335,7145426,KR
2013-09-26,20.47,20.71,20.39,20.48,5532008,KR
2013-09-27,20.4,20.475,20.22,20.345,5164714,KR
2013-09-30,20.185,20.32,20.1225,20.17,5986312,KR
2013-10-01,20.175,20.35,20.175,20.325,5248608,KR
2013-10-02,20.215,20.295,20.065,20.29,5955482,KR
2013-10-03,20.285,20.285,20.02,20.045,4788958,KR
