date,open,high,low,close,volume,Name
2013-02-08,29.79,29.87,29.52,29.74,1203133,LEG
2013-02-11,29.76,29.8399,29.51,29.58,949841,LEG
2013-02-12,29.73,30.065,29.65,29.9,1322579,LEG
2013-02-13,29.95,30.355,29.95,30.24,1440340,LEG
2013-02-14,30.13,30.64,30.06,30.6,1575473,LEG
2013-02-15,30.54,30.88,30.41,30.7,1393142,LEG
2013-02-19,30.75,30.8299,30.47,30.65,1256899,LEG
2013-02-20,30.64,30.77,29.92,29.92,1348472,LEG
2013-02-21,29.95,29.95,29.45,29.66,1491702,LEG
2013-02-22,29.75,29.89,29.6,29.78,999729,LEG
2013-02-25,29.92,29.98,29.1575,29.19,1243824,LEG
2013-02-26,29.33,29.7,29.13,29.64,914223,LEG
2013-02-27,29.64,30.57,29.64,30.42,1204463,LEG
2013-02-28,30.41,30.77,30.32,30.58,961171,LEG
2013-03-01,30.46,30.74,30.22,30.67,994538,LEG
2013-03-04,30.53,30.98,30.5,30.88,1190984,LEG
2013-03-05,31.0,31.49,30.94,31.46,1022516,LEG
2013-03-06,31.59,31.68,31.32,31.47,942143,LEG
2013-03-07,31.49,31.64,31.31,31.61,686941,LEG
2013-03-08,31.81,31.969,31.55,31.89,817231,LEG
2013-03-11,31.88,32.49,31.88,32.31,1183487,LEG
2013-03-12,32.31,32.52,32.1,32.52,999473,LEG
2013-03-13,32.25,32.4,31.91,32.32,872721,LEG
2013-03-14,32.4,32.52,32.32,32.48,806157,LEG
2013-03-15,31.94,32.33,31.93,32.22,1706911,LEG
2013-03-18,31.9,32.54,31.9,32.34,1069693,LEG
2013-03-19,32.42,32.66,32.17,32.51,977227,LEG
2013-03-20,32.68,33.19,32.55,33.09,1231373,LEG
2013-03-21,32.92,33.03,32.55,32.63,1249589,LEG
2013-03-22,32.7,32.98,32.56,32.84,902861,LEG
2013-03-25,32.9,33.08,32.4,32.81,1342850,LEG
2013-03-26,32.88,33.24,32.845,33.17,749543,LEG
2013-03-27,32.86,33.38,32.86,33.33,829191,LEG
2013-03-28,33.27,33.8,33.27,33.78,1076438,LEG
2013-04-01,33.78,33.87,33.33,33.49,1150129,LEG
2013-04-02,33.55,33.82,33.36,33.53,904262,LEG
2013-04-03,33.48,33.54,32.25,32.51,1497228,LEG
2013-04-04,32.59,32.89,32.46,32.63,1094270,LEG
2013-04-05,32.1,32.64,31.57,32.63,1092394,LEG
2013-04-08,32.67,33.22,32.6,33.21,1291530,LEG
