date,open,high,low,close,volume,Name
2013-02-08,87.43,88.23,87.43,88.01,1936845,LMT
2013-02-11,87.99,88.01,87.21,87.53,1781593,LMT
2013-02-12,87.78,87.99,87.01,87.26,1746861,LMT
2013-02-13,87.31,87.49,86.49,87.06,1899889,LMT
2013-02-14,86.48,87.36,85.88,87.08,2400135,LMT
2013-02-15,87.08,87.87,87.05,87.87,2564643,LMT
2013-02-19,87.95,88.23,87.41,88.23,2442374,LMT
2013-02-20,87.93,88.48,87.72,87.73,2883870,LMT
2013-02-21,87.65,87.8,87.1,87.56,1956738,LMT
2013-02-22,87.9,88.67,87.65,88.12,6849103,LMT
2013-02-25,88.43,89.08,87.71,87.88,10854208,LMT
2013-02-26,88.08,88.34,87.04,87.3,12053321,LMT
2013-02-27,85.91,88.58,85.91,88.33,2666548,LMT
2013-02-28,88.59,88.79,87.94,88.0,2283177,LMT
2013-03-01,87.75,88.37,87.09,88.17,1866450,LMT
2013-03-04,87.84,87.89,86.51,87.1,1766700,LMT
2013-03-05,87.1,88.09,86.9,87.81,1492465,LMT
2013-03-06,88.1,88.42,87.71,88.36,1684691,LMT
2013-03-07,88.54,89.28,88.415,88.79,1416156,LMT
2013-03-08,89.16,90.2,88.98,89.99,1771291,LMT
2013-03-11,89.79,90.58,89.7,90.54,2103915,LMT
2013-03-12,90.23,90.44,89.95,90.37,2116188,LMT
2013-03-13,90.64,92.49,90.3,92.3,2079091,LMT
2013-03-14,92.29,92.54,92.01,92.54,1879495,LMT
2013-03-15,92.09,92.8,92.02,92.74,2517437,LMT
2013-03-18,91.81,93.14,91.7,92.36,1491180,LMT
2013-03-19,92.73,93.57,92.46,92.87,1465480,LMT
2013-03-20,93.23,93.5,92.23,92.24,1849748,LMT
2013-03-21,92.0,92.45,91.65,91.68,1571485,LMT
2013-03-22,92.17,92.84,91.8001,92.26,1560396,LMT
2013-03-25,92.61,93.0,91.91,92.31,1324314,LMT
2013-03-26,92.75,93.75,92.63,93.7,1974082,LMT
2013-03-27,93.24,94.67,93.04,94.47,1909239,LMT
2013-03-28,94.39,96.59,94.39,96.52,3824270,LMT
2013-04-01,96.14,96.45,94.78,95.0,2140499,LMT
2013-04-02,95.5,95.64,94.6932,95.01,1676486,LMT
2013-04-03,95.28,96.46,95.04,95.09,2627228,LMT
2013-04-04,95.49,96.13,95.26,95.4,1465054,LMT
2013-04-05,94.83,95.21,94.0,94.53,2581616,LMT
2013-04-08,94.58,95.1,94.04,95.09,1198305,LMT
2013-04-09,95.32,95.51,94.305,95.41,1432632,LMT
2013-04-10,95.86,96.37,95.69,95.98,1372042,LMT
2013-04-11,96.34,97.57,96.27,97.3,1867945,LMT
2013-04-12,96.9,97.25,96.25,97.18,1234926,LMT
2013-04-15,96.56,97.15,95.24,95.44,1636918,LMT
2013-04-16,96.07,96.34,95.62,96.26,1518437,LMT
2013-04-17,95.89,96.07,94.7,95.56,1883808,LMT
2013-04-18,95.85,95.95,94.54,95.02,1287708,LMT
2013-04-19,95.5,96.5,95.36,96.28,1487899,LMT
2013-04-22,96.6,96.67,95.67,95.85,1378472,LMT
2013-04-23,98.25,99.49,95.86,97.06,2489268,LMT
2013-04-24,97.63,98.28,97.55,97.69,1913303,LMT
2013-04-25,96.04,98.65,96.0,98.27,2110020,LMT
2013-04-26,98.27,99.4,98.14,98.97,1634731,LMT
2013-04-29,98.99,99.21,98.57,99.06,1231997,LMT
2013-04-30,98.6,99.2,98.34,99.09,1814239,LMT
2013-05-01,98.9,100.24,98.77,99.35,1957006,LMT
2013-05-02,99.53,101.12,99.16,100.67,1805884,LMT
2013-05-03,101.0,102.15,100.84,102.01,2356522,LMT
2013-05-06,101.72,102.89,101.57,102.19,2300122,LMT
2013-05-07,102.25,102.89,102.03,102.88,1459299,LMT
