date,open,high,low,close,volume,Name
2013-02-08,46.84,47.18,46.73,47.1,3099601,MDT
2013-02-11,47.09,47.22,46.96,47.22,3083093,MDT
2013-02-12,47.33,47.405,47.04,47.11,3304876,MDT
2013-02-13,47.22,47.35,46.8841,46.99,3049344,MDT
2013-02-14,46.7,47.27,46.52,47.17,4441562,MDT
2013-02-15,47.0,47.12,46.6,47.12,7277356,MDT
2013-02-19,45.99,46.25,44.99,45.8,9474576,MDT
2013-02-20,45.84,45.84,44.44,44.76,9917048,MDT
2013-02-21,44.77,44.85,44.47,44.73,6104650,MDT
2013-02-22,45.0,45.08,44.55,44.72,4313040,MDT
2013-02-25,45.0,45.46,43.88,43.88,6612069,MDT
2013-02-26,44.17,44.46,43.5134,44.12,7409341,MDT
2013-02-27,44.12,44.6,44.04,44.54,4087738,MDT
2013-02-28,44.73,45.2,44.42,44.96,5499871,MDT
2013-03-01,44.8,45.31,44.51,45.23,4366546,MDT
2013-03-04,45.0,45.26,44.72,45.26,3486618,MDT
2013-03-05,45.5,46.0,45.4,45.78,4082167,MDT
2013-03-06,45.96,46.11,45.79,46.03,3031326,MDT
2013-03-07,46.02,46.24,45.6,45.73,2648550,MDT
2013-03-08,45.94,46.0,45.51,45.6,3989031,MDT
2013-03-11,45.6,46.21,45.5,46.21,3879073,MDT
2013-03-12,46.13,46.24,45.9,46.0,3765623,MDT
2013-03-13,45.9485,45.99,45.48,45.87,2924366,MDT
2013-03-14,46.0,46.01,45.7,45.95,2973082,MDT
2013-03-15,45.8,45.96,45.42,45.42,6521261,MDT
2013-03-18,45.01,45.36,44.8,45.11,3443933,MDT
2013-03-19,45.28,45.62,44.8201,45.12,3851669,MDT
2013-03-20,45.5,45.73,45.37,45.54,3560233,MDT
2013-03-21,45.32,45.98,45.28,45.82,5669712,MDT
2013-03-22,45.89,46.04,45.815,45.99,3279968,MDT
2013-03-25,46.16,46.17,45.6075,45.73,3401242,MDT
2013-03-26,46.06,46.65,45.89,46.65,4241012,MDT
2013-03-27,46.37,46.58,46.0302,46.52,2614494,MDT
2013-03-28,46.45,47.01,46.275,46.96,4408130,MDT
2013-04-01,46.9,46.955,46.53,46.8,2810500,MDT
2013-04-02,47.05,47.48,46.84,47.33,4953543,MDT
2013-04-03,46.98,47.28,46.885,47.02,4855525,MDT
2013-04-04,47.09,47.18,46.56,47.12,4387582,MDT
2013-04-05,46.62,46.7,46.17,46.28,3863031,MDT
2013-04-08,46.36,46.43,46.11,46.38,3244747,MDT
2013-04-09,46.53,47.01,46.43,46.76,4270850,MDT
2013-04-10,46.84,47.325,46.82,47.24,3201853,MDT
2013-04-11,47.35,47.98,47.24,47.72,5283146,MDT
2013-04-12,47.5,47.69,46.91,47.2,4540796,MDT
2013-04-15,46.96,47.27,46.21,46.23,5194787,MDT
2013-04-16,46.37,46.68,46.03,46.65,4259995,MDT
2013-04-17,46.48,46.71,46.06,46.35,4309671,MDT
2013-04-18,46.34,46.395,45.391,45.61,3156990,MDT
2013-04-19,45.7,46.11,45.41,46.03,4585786,MDT
2013-04-22,46.3,46.39,45.79,46.06,2472680,MDT
2013-04-23,46.2,46.84,46.17,46.59,3308440,MDT
2013-04-24,46.74,46.89,46.33,46.39,2574625,MDT
2013-04-25,46.5,47.31,46.46,47.03,4117072,MDT
2013-04-26,47.07,47.18,46.31,46.36,3498101,MDT
2013-04-29,46.57,46.88,46.55,46.84,4226189,MDT
2013-04-30,46.66,46.78,46.17,46.68,4751011,MDT
2013-05-01,46.57,47.04,46.26,46.65,4068865,MDT
2013-05-02,46.61,47.455,46.49,47.44,3699820,MDT
2013-05-03,47.59,47.965,47.53,47.72,3483815,MDT
2013-05-06,47.67,48.09,47.64,47.7,2682784,MDT
2013-05-07,47.79,48.1,47.55,48.1,3468896,MDT
2013-05-08,48.02,48.83,47.92,48.81,4219107,MDT
2013-05-09,48.69,49.2,48.69,48.87,3879440,MDT
2013-05-10,48.76,49.21,48.76,49.17,3538907,MDT
2013-05-13,48.9,49.59,48.9,49.35,3408054,MDT
2013-05-14,49.34,49.93,49.23,49.92,3618516,MDT
2013-05-15,49.745,50.17,49.58,50.01,4523251,MDT
2013-05-16,49.71,49.88,49.55,49.64,3685357,MDT
2013-05-17,49.62,49.84,49.24,49.84,5568319,MDT
2013-05-20,49.69,50.08,49.59,49.89,5068322,MDT
2013-05-21,51.82,53.83,51.82,52.35,14006267,MDT
2013-05-22,51.98,52.6,51.11,51.53,11149376,MDT
2013-05-23,50.7,51.645,50.7,51.46,6688777,MDT
2013-05-24,51.17,51.67,50.773,51.33,4000328,MDT
2013-05-28,51.54,52.39,51.54,51.98,7223946,MDT
2013-05-29,51.58,51.98,51.29,51.77,4869449,MDT
2013-05-30,51.86,52.15,51.72,52.0,6883944,MDT
2013-05-31,51.93,52.16,50.95,51.01,8292911,MDT
2013-06-03,51.24,52.06,51.13,52.06,6810472,MDT
2013-06-04,51.77,52.09,51.41,51.42,5895560,MDT
2013-06-05,51.24,51.55,50.94,50.96,5507929,MDT
2013-06-06,51.04,51.48,50.601,51.48,4679743,MDT
2013-06-07,51.67,52.13,51.6,52.08,4559283,MDT
2013-06-10,52.0,52.23,51.66,52.03,3973171,MDT
2013-06-11,51.66,52.375,51.39,52.07,5355513,MDT
2013-06-12,52.26,52.48,51.54,51.61,4856570,MDT
2013-06-13,51.47,52.85,51.09,52.78,5178134,MDT
2013-06-14,52.88,53.3,52.62,52.92,5463587,MDT
2013-06-17,53.17,53.8,53.1,53.51,6131087,MDT
2013-06-18,52.99,53.25,52.45,52.92,5610341,MDT
2013-06-19,52.99,53.18,52.05,52.05,5714979,MDT
2013-06-20,51.66,51.98,51.06,51.19,7162784,MDT
2013-06-21,51.67,52.55,51.66,52.49,8414361,MDT
2013-06-24,52.07,52.23,51.19,51.58,6419565,MDT
2013-06-25,52.0,52.19,51.37,51.83,3921235,MDT
2013-06-26,52.38,52.7604,52.0,52.0,4362119,MDT
2013-06-27,52.13,52.22,51.71,51.93,4386631,MDT
2013-06-28,51.93,52.17,51.47,51.47,6747070,MDT
2013-07-01,52.06,52.63,51.91,52.05,4716164,MDT
2013-07-02,51.78,52.29,51.65,51.81,4872392,MDT
2013-07-03,51.66,51.87,51.275,51.53,2259813,MDT
2013-07-05,51.87,52.42,51.85,52.41,3677441,MDT
2013-07-08,52.61,52.98,52.51,52.79,4606438,MDT
2013-07-09,52.95,52.99,52.48,52.88,4270338,MDT
2013-07-10,52.8,53.16,52.69,53.0,4333970,MDT
2013-07-11,53.4,53.77,53.36,53.74,5064076,MDT
2013-07-12,53.0,53.549,52.8,53.44,5867710,MDT
2013-07-15,53.58,53.91,53.52,53.69,4725451,MDT
2013-07-16,53.63,53.99,53.325,53.52,3623580,MDT
2013-07-17,54.03,54.78,53.92,54.4,5190175,MDT
2013-07-18,54.44,54.75,54.32,54.7,4707934,MDT
2013-07-19,54.65,55.115,54.42,55.02,7319300,MDT
2013-07-22,54.95,55.58,54.95,55.48,4020394,MDT
2013-07-23,55.45,55.63,55.15,55.48,4102585,MDT
2013-07-24,55.51,55.62,55.015,55.09,3155369,MDT
2013-07-25,55.18,55.53,54.9,55.38,4161793,MDT
2013-07-26,55.23,55.6,54.84,55.6,2671852,MDT
2013-07-29,55.54,55.5875,55.19,55.32,2831734,MDT
2013-07-30,55.57,55.895,55.03,55.07,4319090,MDT
2013-07-31,55.14,55.75,55.03,55.24,4376697,MDT
2013-08-01,55.34,55.615,55.23,55.49,4418499,MDT
2013-08-02,54.91,55.16,54.35,54.94,11800422,MDT
2013-08-05,54.76,55.46,54.67,55.36,5395349,MDT
2013-08-06,55.35,55.48,55.09,55.13,4429587,MDT
2013-08-07,55.04,55.35,54.845,55.18,3839388,MDT
2013-08-08,55.49,55.98,55.39,55.88,4641455,MDT
2013-08-09,55.76,55.78,55.29,55.37,3868089,MDT
2013-08-12,55.21,55.29,54.96,55.22,3247389,MDT
2013-08-13,55.2,55.35,54.65,54.84,4612555,MDT
2013-08-14,55.1,55.33,54.91,55.2,4784745,MDT
2013-08-15,54.79,54.95,54.08,54.33,4479437,MDT
2013-08-16,54.13,54.29,53.89,53.91,4583263,MDT
2013-08-19,53.65,54.255,53.57,54.1,4325193,MDT
2013-08-20,52.73,53.14,52.4,52.83,6161424,MDT
2013-08-21,52.72,53.18,52.525,52.68,5297965,MDT
2013-08-22,52.76,53.53,52.7,53.36,3485107,MDT
2013-08-23,53.34,53.72,52.62,52.74,5980659,MDT
2013-08-26,52.77,53.0,52.35,52.37,4871254,MDT
2013-08-27,51.89,52.1052,51.47,51.51,5667013,MDT
2013-08-28,51.48,51.8,51.47,51.56,4532179,MDT
2013-08-29,51.47,52.35,51.22,51.83,4865683,MDT
2013-08-30,51.97,51.97,51.53,51.75,5442910,MDT
2013-09-03,52.25,52.575,51.78,52.09,5625306,MDT
2013-09-04,53.38,53.49,52.856,53.2,11289988,MDT
2013-09-05,53.22,53.74,53.22,53.66,4618107,MDT
2013-09-06,53.66,53.88,52.88,53.46,4443329,MDT
