date,open,high,low,close,volume,Name
2013-02-08,12.99,13.56,12.96,13.51,20786512,MGM
2013-02-11,13.5,13.59,13.02,13.05,16174761,MGM
2013-02-12,13.05,13.36,13.03,13.32,9386695,MGM
2013-02-13,13.45,13.47,13.24,13.34,7762187,MGM
2013-02-14,13.24,13.295,13.18,13.29,5535026,MGM
2013-02-15,13.23,13.33,12.83,12.88,13281386,MGM
2013-02-19,12.92,12.96,12.62,12.74,20402197,MGM
2013-02-20,12.91,13.14,12.51,12.54,15963615,MGM
2013-02-21,12.5,12.5,12.01,12.37,16902673,MGM
2013-02-22,12.41,12.51,12.26,12.42,9888296,MGM
2013-02-25,12.55,12.77,12.1308,12.19,12153616,MGM
2013-02-26,12.22,12.29,11.935,12.11,10201541,MGM
2013-02-27,12.17,12.5,12.1599,12.48,9966373,MGM
2013-02-28,12.44,12.7,12.4,12.49,7700232,MGM
2013-03-01,12.42,12.59,12.33,12.43,7232600,MGM
2013-03-04,12.37,12.42,12.0,12.16,12991250,MGM
2013-03-05,12.24,12.38,12.06,12.09,8858290,MGM
2013-03-06,12.15,12.35,12.11,12.21,7799636,MGM
2013-03-07,12.34,12.55,12.3,12.44,7742919,MGM
2013-03-08,12.53,12.56,12.32,12.37,7809787,MGM
2013-03-11,12.43,12.61,12.33,12.45,7624358,MGM
2013-03-12,12.43,12.47,12.305,12.35,3689409,MGM
2013-03-13,12.37,12.49,12.26,12.41,4092898,MGM
2013-03-14,12.44,13.5,12.41,13.25,47071632,MGM
2013-03-15,13.16,13.22,12.98,13.16,17266742,MGM
2013-03-18,12.9,13.188,12.8,13.03,7555349,MGM
2013-03-19,13.1,13.17,12.64,12.78,10917142,MGM
2013-03-20,12.87,13.0,12.79,12.95,8850520,MGM
2013-03-21,12.86,13.05,12.77,12.78,6645047,MGM
2013-03-22,12.89,13.23,12.84,13.06,8524140,MGM
2013-03-25,13.15,13.34,12.98,13.14,8112970,MGM
2013-03-26,13.16,13.3,13.07,13.14,10282063,MGM
2013-03-27,13.1,13.17,12.96,12.96,10274911,MGM
2013-03-28,13.0,13.2,13.0,13.15,5749147,MGM
2013-04-01,13.1,13.151,12.74,12.82,7695909,MGM
2013-04-02,12.9,12.96,12.36,12.48,13252497,MGM
2013-04-03,12.41,12.58,12.02,12.22,12129684,MGM
2013-04-04,12.22,12.315,12.04,12.27,7657555,MGM
2013-04-05,12.04,12.04,11.72,11.99,13614268,MGM
2013-04-08,12.0,12.38,12.0,12.36,10508737,MGM
2013-04-09,12.47,12.79,12.41,12.64,10114545,MGM
2013-04-10,12.76,13.0,12.72,12.93,10843750,MGM
2013-04-11,12.95,13.05,12.84,12.86,6009837,MGM
2013-04-12,12.78,13.05,12.7,13.04,5516308,MGM
2013-04-15,12.88,12.9,12.15,12.27,11508285,MGM
2013-04-16,12.44,12.565,12.36,12.49,6949946,MGM
2013-04-17,12.35,12.46,11.965,12.45,11228496,MGM
2013-04-18,12.49,12.53,12.01,12.06,9015443,MGM
2013-04-19,12.15,12.23,12.08,12.23,4477988,MGM
2013-04-22,12.29,12.39,12.11,12.33,4951770,MGM
2013-04-23,12.45,12.76,12.37,12.75,7980107,MGM
2013-04-24,12.75,13.1,12.74,13.03,10019288,MGM
2013-04-25,13.1,13.74,13.06,13.53,16722208,MGM
2013-04-26,13.48,13.71,13.35,13.52,13146618,MGM
2013-04-29,13.58,13.79,13.54,13.74,11314316,MGM
2013-04-30,13.75,14.15,13.65,14.12,15319929,MGM
2013-05-01,14.07,14.07,13.5,13.8,14222105,MGM
2013-05-02,14.41,14.9,14.35,14.55,36686822,MGM
2013-05-03,14.66,14.89,14.58,14.66,12131789,MGM
2013-05-06,14.74,14.82,14.66,14.81,7950827,MGM
2013-05-07,14.87,14.9,14.59,14.71,9321897,MGM
2013-05-08,14.68,14.78,14.51,14.7,8003711,MGM
2013-05-09,14.83,15.33,14.68,15.14,23544736,MGM
2013-05-10,15.15,15.8,15.13,15.61,21009016,MGM
2013-05-13,15.62,15.78,15.43,15.7,9236467,MGM
2013-05-14,15.72,15.95,15.72,15.86,10327134,MGM
2013-05-15,15.73,15.8512,15.27,15.44,13440070,MGM
2013-05-16,15.44,15.6,15.23,15.26,7973489,MGM
2013-05-17,15.27,15.43,15.21,15.34,8628770,MGM
2013-05-20,15.36,15.66,15.27,15.5,6952838,MGM
2013-05-21,15.55,15.69,15.45,15.54,5023810,MGM
2013-05-22,15.51,15.7025,14.91,15.08,11801156,MGM
2013-05-23,14.7,15.02,14.485,14.93,10109963,MGM
2013-05-24,14.83,14.99,14.7,14.93,7646342,MGM
2013-05-28,15.25,15.4899,15.225,15.27,8611151,MGM
2013-05-29,15.21,15.3,14.96,15.09,8638900,MGM
2013-05-30,15.15,15.45,15.03,15.33,11314452,MGM
2013-05-31,15.23,15.495,15.16,15.17,8627508,MGM
2013-06-03,15.34,15.425,14.95,15.19,7999733,MGM
2013-06-04,15.16,15.33,14.91,15.01,7847135,MGM
2013-06-05,14.85,14.91,14.29,14.52,12399838,MGM
2013-06-06,14.42,14.71,14.32,14.58,11037502,MGM
2013-06-07,14.71,15.03,14.595,14.95,7147693,MGM
2013-06-10,15.03,15.37,14.96,15.18,7431871,MGM
2013-06-11,14.92,14.96,14.72,14.79,5931244,MGM
2013-06-12,14.96,15.06,14.68,14.76,8294783,MGM
2013-06-13,14.69,15.0,14.51,14.96,8073998,MGM
