date,open,high,low,close,volume,Name
2013-02-08,27.285,27.595,27.24,27.295,5100734,NKE
2013-02-11,27.64,27.95,27.365,27.61,8916290,NKE
2013-02-12,27.45,27.605,27.395,27.545,3866508,NKE
2013-02-13,27.515,27.685,27.205,27.28,6054126,NKE
2013-02-14,27.285,27.495,27.16,27.31,6164026,NKE
2013-02-15,27.345,27.57,27.26,27.475,7060126,NKE
2013-02-19,27.445,27.58,27.145,27.235,8509940,NKE
2013-02-20,27.2,27.33,26.995,27.01,7587334,NKE
2013-02-21,27.415,27.52,27.06,27.27,9359152,NKE
2013-02-22,27.3,27.44,27.0,27.235,5854828,NKE
2013-02-25,27.27,27.4975,27.02,27.02,8566172,NKE
2013-02-26,27.205,27.37,26.97,27.135,6085136,NKE
2013-02-27,27.08,27.2575,26.98,27.17,6269382,NKE
2013-02-28,27.13,27.36,27.0,27.23,6652220,NKE
2013-03-01,27.21,27.415,27.09,27.41,8053150,NKE
2013-03-04,27.275,27.45,27.205,27.365,5291732,NKE
2013-03-05,27.45,27.5,27.26,27.45,8082452,NKE
2013-03-06,27.48,27.805,27.35,27.65,5811896,NKE
2013-03-07,27.7,27.825,27.57,27.61,5685050,NKE
2013-03-08,27.56,27.615,27.25,27.345,8017382,NKE
2013-03-11,27.285,27.32,27.08,27.265,6754724,NKE
2013-03-12,26.85,27.085,26.635,26.745,12343264,NKE
2013-03-13,26.805,27.495,26.8,27.425,8185396,NKE
2013-03-14,27.42,27.45,27.17,27.345,6918234,NKE
2013-03-15,27.335,27.425,27.1425,27.39,8131942,NKE
2013-03-18,27.215,27.3312,27.0402,27.08,5081012,NKE
2013-03-19,27.145,27.22,26.77,26.915,6607066,NKE
2013-03-20,27.035,27.44,27.03,27.415,7919460,NKE
2013-03-21,27.23,27.3625,26.765,26.8,15667772,NKE
2013-03-22,28.9999,30.125,28.935,29.765,38577158,NKE
2013-03-25,29.695,29.99,29.515,29.78,13317218,NKE
2013-03-26,29.675,29.8131,29.45,29.735,8950418,NKE
2013-03-27,29.51,29.65,29.07,29.225,10445734,NKE
