date,open,high,low,close,volume,Name
2013-02-08,93.83,94.48,93.69,94.32,566484,PH
2013-02-11,94.1,94.57,93.43,94.39,639923,PH
2013-02-12,94.28,95.59,93.95,95.18,1152695,PH
2013-02-13,95.6,96.565,95.37,96.33,1549844,PH
2013-02-14,95.77,97.03,95.53,96.31,1044842,PH
2013-02-15,96.27,97.29,95.71,96.04,1215204,PH
2013-02-19,96.31,97.5,96.28,97.46,1113562,PH
2013-02-20,97.43,97.43,94.75,95.02,1364306,PH
2013-02-21,94.58,94.58,92.6199,93.26,1335463,PH
2013-02-22,93.89,94.64,93.62,94.54,898877,PH
2013-02-25,95.09,95.25,90.83,90.9,1650938,PH
2013-02-26,91.63,92.27,91.04,91.65,1576556,PH
2013-02-27,91.5,93.77,91.45,93.56,1144828,PH
2013-02-28,93.65,95.26,93.06,94.48,1037048,PH
2013-03-01,93.82,94.9,92.75,94.45,924194,PH
2013-03-04,94.15,94.17,92.52,93.65,960767,PH
2013-03-05,94.54,96.72,94.54,96.45,1281358,PH
2013-03-06,96.98,97.21,95.93,96.42,741922,PH
2013-03-07,96.63,97.75,96.42,97.24,1067415,PH
2013-03-08,97.67,98.15,97.04,97.95,972089,PH
2013-03-11,97.6,98.0554,97.32,97.93,602550,PH
2013-03-12,97.7,97.755,96.03,97.05,1078542,PH
2013-03-13,97.07,97.225,96.24,96.99,644809,PH
2013-03-14,97.31,97.95,97.07,97.25,1006951,PH
2013-03-15,96.71,97.32,96.3,96.72,1175446,PH
2013-03-18,95.56,96.74,94.96,96.08,1107150,PH
2013-03-19,96.27,96.46,93.87,95.18,1120801,PH
2013-03-20,95.64,95.92,94.38,94.97,1108662,PH
2013-03-21,93.8,94.21,91.9,92.02,1700622,PH
2013-03-22,91.88,92.37,91.71,92.08,1331256,PH
2013-03-25,92.68,92.805,90.33,90.98,1177237,PH
2013-03-26,91.84,91.84,90.19,90.28,1549749,PH
2013-03-27,89.44,90.32,88.69,90.15,1458421,PH
2013-03-28,90.27,91.58,89.6701,91.58,1242902,PH
2013-04-01,91.39,91.6,89.51,89.65,896493,PH
2013-04-02,90.14,90.36,88.31,88.79,1164144,PH
2013-04-03,88.66,88.94,87.21,87.53,1825683,PH
2013-04-04,87.76,89.67,87.73,89.42,1686306,PH
2013-04-05,87.77,89.67,87.71,89.38,1767280,PH
2013-04-08,89.29,90.22,89.09,89.9,969507,PH
2013-04-09,90.33,91.09,89.71,90.55,777381,PH
2013-04-10,90.69,91.09,89.99,90.41,1387712,PH
2013-04-11,90.51,90.61,89.71,89.96,1429757,PH
2013-04-12,89.51,89.74,88.47,89.04,1037133,PH
2013-04-15,88.37,88.48,85.96,85.96,1795318,PH
2013-04-16,86.93,88.12,86.415,88.02,1159138,PH
2013-04-17,87.08,88.06,85.96,87.75,1593882,PH
2013-04-18,87.8,88.04,85.59,85.93,901401,PH
2013-04-19,86.41,86.52,85.13,85.55,1528991,PH
2013-04-22,85.82,87.37,84.5,86.63,1438630,PH
2013-04-23,87.06,87.87,86.78,87.68,959682,PH
2013-04-24,88.09,89.52,88.05,89.37,1316212,PH
2013-04-25,89.6,91.25,89.3,90.55,1336578,PH
2013-04-26,90.66,91.12,88.07,88.74,896206,PH
2013-04-29,89.39,89.99,88.57,88.83,763082,PH
2013-04-30,88.68,88.73,87.31,88.57,1540465,PH
2013-05-01,88.04,88.28,87.06,87.2,1288594,PH
2013-05-02,87.6,88.57,87.365,88.49,1069113,PH
2013-05-03,89.96,92.73,89.96,91.38,1327884,PH
2013-05-06,91.22,92.18,91.02,91.88,1076620,PH
2013-05-07,92.26,93.49,92.07,93.14,854123,PH
2013-05-08,92.5,93.23,92.18,93.23,1054570,PH
2013-05-09,93.15,93.88,92.79,92.95,825323,PH
2013-05-10,93.15,94.45,93.12,94.05,920824,PH
2013-05-13,93.75,94.9,93.28,93.99,917203,PH
2013-05-14,93.88,96.81,93.88,96.68,1293145,PH
2013-05-15,95.89,97.95,95.41,97.83,1447656,PH
2013-05-16,97.42,98.15,96.931,97.59,1480354,PH
2013-05-17,98.26,100.01,98.03,100.01,1857994,PH
2013-05-20,99.65,101.2099,99.265,100.58,723434,PH
2013-05-21,100.47,101.2,99.75,100.96,1241160,PH
2013-05-22,101.02,101.88,99.24,99.62,762953,PH
2013-05-23,98.64,99.58,97.91,99.32,812881,PH
2013-05-24,98.45,98.78,97.52,98.29,749711,PH
2013-05-28,99.72,99.93,98.21,98.3,799780,PH
2013-05-29,97.48,98.88,97.34,97.93,864685,PH
2013-05-30,98.2,100.43,97.74,99.86,966422,PH
2013-05-31,99.51,101.76,99.01,99.76,1319351,PH
2013-06-03,99.96,100.27,97.76,98.78,1414338,PH
2013-06-04,98.91,100.265,98.29,98.44,1562723,PH
2013-06-05,97.96,98.35,96.26,96.55,1173208,PH
2013-06-06,96.59,97.28,96.0,97.05,1527869,PH
2013-06-07,97.87,98.81,97.14,98.34,750248,PH
2013-06-10,98.6,98.88,97.98,98.61,763467,PH
2013-06-11,97.34,98.63,97.11,98.18,1146488,PH
2013-06-12,98.88,98.88,96.8,96.88,913751,PH
2013-06-13,96.92,98.41,96.29,98.02,837802,PH
2013-06-14,96.48,98.013,96.48,97.41,477686,PH
2013-06-17,98.09,98.28,97.18,97.77,762560,PH
2013-06-18,97.8,98.99,97.62,98.7,1042446,PH
2013-06-19,98.79,99.27,97.75,97.83,1150881,PH
2013-06-20,96.88,96.88,95.31,95.71,1651614,PH
2013-06-21,96.44,96.64,94.59,94.85,2063420,PH
2013-06-24,93.8,93.8,92.08,92.89,1520868,PH
2013-06-25,93.85,94.59,93.32,94.31,1086388,PH
2013-06-26,95.12,96.14,94.77,95.53,1235225,PH
2013-06-27,96.15,96.66,95.34,96.37,742815,PH
2013-06-28,96.0,96.48,95.4,95.4,2441811,PH
2013-07-01,96.36,97.55,95.94,96.98,752348,PH
2013-07-02,96.81,97.25,95.35,95.54,1106022,PH
2013-07-03,95.01,95.69,94.81,95.32,565996,PH
2013-07-05,96.16,97.62,96.16,97.62,799010,PH
2013-07-08,98.03,98.0993,96.27,96.4,1218400,PH
2013-07-09,97.05,98.465,96.898,98.01,959858,PH
2013-07-10,97.33,98.42,97.23,98.13,742803,PH
2013-07-11,99.73,100.26,99.4,99.93,808971,PH
2013-07-12,99.67,99.89,98.65,99.16,1042666,PH
2013-07-15,99.26,100.27,98.98,99.73,664556,PH
2013-07-16,99.96,100.12,99.11,99.89,887592,PH
2013-07-17,100.37,100.66,99.53,99.77,740453,PH
2013-07-18,100.1,101.845,99.78,101.05,689596,PH
2013-07-19,101.07,103.17,100.98,103.11,1544659,PH
2013-07-22,103.18,103.81,102.38,102.86,720197,PH
2013-07-23,103.13,103.69,102.5,102.72,584517,PH
2013-07-24,103.0,103.1,101.26,101.31,735748,PH
2013-07-25,100.37,101.54,99.48,101.41,821344,PH
2013-07-26,101.04,102.23,100.57,102.12,819217,PH
2013-07-29,101.9,102.51,101.25,101.34,541737,PH
2013-07-30,101.89,103.27,101.32,102.51,722599,PH
2013-07-31,103.0,104.38,102.82,103.28,724386,PH
2013-08-01,104.47,107.12,104.11,106.79,1037405,PH
2013-08-02,105.16,105.39,104.19,105.24,1031843,PH
2013-08-05,105.0,106.185,104.76,104.93,1314664,PH
2013-08-06,100.0,101.89,99.92,101.5,2798933,PH
2013-08-07,102.06,102.24,100.63,101.96,1517865,PH
