date,open,high,low,close,volume,Name
2013-02-08,34.49,34.9,34.49,34.75,1101605,PKI
2013-02-11,34.6,34.805,34.44,34.62,705990,PKI
2013-02-12,34.63,34.94,34.34,34.52,922026,PKI
2013-02-13,34.58,35.01,34.47,34.57,823058,PKI
2013-02-14,34.47,34.69,34.4,34.53,1004740,PKI
2013-02-15,34.63,34.72,34.02,34.13,1434082,PKI
2013-02-19,34.23,34.43,33.93,34.23,1890178,PKI
2013-02-20,34.06,34.13,33.32,33.35,1431289,PKI
2013-02-21,33.27,33.5,32.88,32.99,834915,PKI
2013-02-22,33.09,33.26,32.975,33.24,723406,PKI
2013-02-25,33.41,33.7,32.79,32.79,1044046,PKI
2013-02-26,33.25,33.97,32.9,33.83,1887483,PKI
2013-02-27,33.72,34.47,33.6,34.33,1611430,PKI
2013-02-28,34.4,34.75,34.17,34.17,1092144,PKI
2013-03-01,34.03,34.66,33.85,34.66,1231414,PKI
2013-03-04,34.5,34.665,34.235,34.38,910529,PKI
2013-03-05,34.6,34.89,34.5,34.82,956397,PKI
2013-03-06,34.85,34.96,34.75,34.88,635336,PKI
2013-03-07,34.97,35.32,34.68,35.3,1194249,PKI
2013-03-08,35.43,35.56,35.12,35.56,721105,PKI
2013-03-11,35.55,35.86,35.43,35.86,647884,PKI
2013-03-12,35.78,35.86,35.37,35.46,881289,PKI
2013-03-13,35.47,35.49,35.215,35.39,516858,PKI
2013-03-14,35.44,35.54,35.19,35.26,1042020,PKI
2013-03-15,35.23,35.29,35.16,35.25,1054230,PKI
2013-03-18,34.87,35.09,34.82,34.91,658313,PKI
2013-03-19,35.0,35.08,34.71,35.0,1269448,PKI
2013-03-20,35.2,35.26,34.88,35.02,647058,PKI
2013-03-21,34.84,34.95,34.23,34.32,878085,PKI
2013-03-22,34.33,34.46,33.85,34.02,828596,PKI
2013-03-25,34.22,34.22,32.76,33.37,1780064,PKI
2013-03-26,33.55,33.74,33.44,33.61,963227,PKI
2013-03-27,33.39,33.41,33.13,33.2,640653,PKI
2013-03-28,33.14,33.6725,33.05,33.64,657994,PKI
2013-04-01,33.59,33.74,33.04,33.44,768162,PKI
2013-04-02,33.6,33.85,33.42,33.85,1234656,PKI
2013-04-03,33.8,33.9,33.445,33.61,801088,PKI
2013-04-04,33.58,33.92,33.55,33.7,618357,PKI
2013-04-05,33.3,33.45,33.09,33.36,695542,PKI
2013-04-08,33.34,33.61,33.205,33.6,454329,PKI
2013-04-09,34.4,34.78,34.12,34.22,805716,PKI
2013-04-10,34.27,34.8,34.16,34.71,679128,PKI
2013-04-11,34.72,35.08,34.65,34.95,821672,PKI
2013-04-12,34.8,34.92,34.63,34.91,472572,PKI
2013-04-15,35.0,35.285,33.925,33.93,1455507,PKI
2013-04-16,34.17,34.64,34.17,34.62,960258,PKI
2013-04-17,34.28,34.28,33.92,34.09,1689748,PKI
2013-04-18,34.02,34.02,33.29,33.54,846550,PKI
2013-04-19,33.64,33.75,33.06,33.09,1262673,PKI
2013-04-22,33.21,33.4,32.99,33.26,608258,PKI
2013-04-23,33.5,34.14,33.5,33.86,1010572,PKI
2013-04-24,33.96,34.38,33.73,33.93,999731,PKI
2013-04-25,34.14,34.75,33.97,34.47,1011309,PKI
2013-04-26,29.62,31.11,29.5001,30.35,9192085,PKI
2013-04-29,30.36,30.62,30.085,30.6,2861516,PKI
2013-04-30,30.31,30.71,30.31,30.65,1926926,PKI
2013-05-01,30.99,31.38,30.8,30.82,2593533,PKI
2013-05-02,31.08,31.1199,30.54,30.55,1432702,PKI
2013-05-03,30.79,31.25,30.68,30.92,995832,PKI
2013-05-06,30.8,31.28,30.79,31.0,1475746,PKI
2013-05-07,30.97,31.71,30.88,31.71,1439192,PKI
2013-05-08,31.72,32.355,31.7,32.21,2312183,PKI
2013-05-09,32.18,32.51,32.125,32.28,968082,PKI
2013-05-10,32.3,32.74,32.27,32.69,705861,PKI
2013-05-13,32.57,32.69,32.2,32.42,647879,PKI
2013-05-14,32.37,32.54,32.31,32.4,897659,PKI
2013-05-15,32.48,32.72,32.405,32.68,949473,PKI
2013-05-16,32.57,32.745,31.82,31.98,1861404,PKI
2013-05-17,32.15,32.29,31.95,32.19,1228248,PKI
2013-05-20,32.17,32.67,32.14,32.23,918362,PKI
2013-05-21,32.25,32.615,32.21,32.54,1041283,PKI
2013-05-22,32.51,32.89,31.68,31.82,1310054,PKI
2013-05-23,31.44,31.86,31.34,31.76,1127194,PKI
2013-05-24,31.58,31.81,31.47,31.73,968756,PKI
2013-05-28,32.07,32.56,31.92,32.03,1471717,PKI
2013-05-29,31.88,31.94,31.48,31.75,1277603,PKI
2013-05-30,31.76,32.06,31.715,31.76,979767,PKI
2013-05-31,31.67,31.995,31.32,31.32,630519,PKI
2013-06-03,31.46,31.91,31.3401,31.86,1504156,PKI
2013-06-04,31.78,32.28,31.73,32.03,2225492,PKI
2013-06-05,32.04,32.19,31.755,31.95,1826802,PKI
2013-06-06,31.85,32.31,31.7401,32.31,1231399,PKI
2013-06-07,32.5,32.79,32.44,32.68,812114,PKI
2013-06-10,32.71,32.96,32.53,32.82,693754,PKI
2013-06-11,32.48,32.58,32.08,32.28,962711,PKI
2013-06-12,32.48,32.91,32.26,32.59,1758803,PKI
2013-06-13,32.6,33.515,32.2,33.42,1435036,PKI
2013-06-14,33.29,33.68,32.9,33.04,852235,PKI
2013-06-17,33.25,33.98,33.13,33.85,1056140,PKI
2013-06-18,33.86,34.5,33.85,34.41,1135631,PKI
2013-06-19,34.36,34.39,33.62,33.66,783663,PKI
2013-06-20,33.3,33.31,32.64,32.76,1313687,PKI
2013-06-21,32.91,33.53,32.86,33.49,1704545,PKI
2013-06-24,33.23,33.23,32.6,32.74,878543,PKI
2013-06-25,33.08,33.28,32.47,32.74,1154839,PKI
2013-06-26,33.06,33.23,32.68,32.76,1048407,PKI
2013-06-27,33.01,33.12,32.74,32.87,1880655,PKI
2013-06-28,32.8,32.89,32.47,32.5,3402306,PKI
2013-07-01,32.7,33.06,32.55,32.74,745096,PKI
2013-07-02,32.63,33.15,32.35,32.53,830893,PKI
2013-07-03,32.33,32.6,32.22,32.39,290131,PKI
2013-07-05,32.69,33.0134,32.6,32.82,537670,PKI
2013-07-08,33.04,33.475,32.97,33.14,1055162,PKI
2013-07-09,33.31,33.71,33.29,33.67,498682,PKI
2013-07-10,33.57,33.87,33.57,33.83,379438,PKI
2013-07-11,34.2,34.24,33.78,33.99,526155,PKI
2013-07-12,33.98,34.07,33.72,33.81,691067,PKI
2013-07-15,33.75,34.05,33.62,33.96,938022,PKI
2013-07-16,34.0,34.09,33.26,33.38,1168859,PKI
2013-07-17,33.44,33.63,33.26,33.29,800567,PKI
2013-07-18,33.39,33.8,33.32,33.71,827031,PKI
2013-07-19,33.66,34.14,33.65,34.08,585632,PKI
2013-07-22,34.1,34.26,33.99,34.16,493228,PKI
2013-07-23,33.99,34.12,33.6,33.72,534006,PKI
2013-07-24,33.91,34.05,33.68,33.8,676935,PKI
2013-07-25,33.74,33.97,33.68,33.96,490161,PKI
2013-07-26,33.79,34.12,33.606,34.12,668423,PKI
2013-07-29,33.93,34.36,33.93,34.26,838566,PKI
2013-07-30,34.45,34.57,34.24,34.38,661607,PKI
2013-07-31,34.43,34.58,34.09,34.09,1093535,PKI
2013-08-01,34.34,35.1,34.05,35.07,1453875,PKI
2013-08-02,35.9,37.6699,35.59,36.41,2752815,PKI
2013-08-05,36.26,36.49,35.92,36.36,1020338,PKI
2013-08-06,36.36,36.5,36.05,36.3,769447,PKI
2013-08-07,36.21,36.675,36.0,36.56,1061625,PKI
2013-08-08,36.65,37.0,36.43,36.59,1027050,PKI
2013-08-09,36.56,36.92,36.4526,36.92,1133326,PKI
2013-08-12,36.84,37.69,36.59,37.5,1588431,PKI
2013-08-13,37.41,37.7,37.0,37.63,1305866,PKI
2013-08-14,37.52,37.66,37.361,37.4,970351,PKI
2013-08-15,37.08,37.28,36.715,36.76,1816532,PKI
2013-08-16,36.64,36.82,36.38,36.47,1366222,PKI
2013-08-19,36.47,36.75,36.43,36.5,806362,PKI
2013-08-20,36.59,36.59,36.16,36.25,1085127,PKI
2013-08-21,36.25,36.61,36.04,36.38,806317,PKI
2013-08-22,36.42,36.6,36.36,36.39,536959,PKI
2013-08-23,36.55,36.79,36.4,36.77,495861,PKI
2013-08-26,36.76,36.94,36.65,36.77,563830,PKI
2013-08-27,36.32,36.49,35.83,36.02,1027701,PKI
2013-08-28,36.06,36.06,35.805,36.0,641335,PKI
2013-08-29,35.87,36.12,35.71,36.04,680829,PKI
2013-08-30,36.06,36.07,35.85,35.97,687535,PKI
2013-09-03,36.42,36.69,35.97,36.35,575674,PKI
2013-09-04,36.3,36.7,36.2,36.64,663517,PKI
2013-09-05,36.69,37.145,36.64,36.9,513737,PKI
2013-09-06,36.95,37.1,36.48,36.98,500861,PKI
2013-09-09,37.04,37.47,37.0,37.42,562849,PKI
2013-09-10,37.61,37.92,37.54,37.7,716763,PKI
2013-09-11,37.75,37.98,37.73,37.95,850709,PKI
2013-09-12,37.85,37.94,37.47,37.51,995738,PKI
2013-09-13,37.46,37.75,37.41,37.69,990400,PKI
2013-09-16,38.06,38.27,37.87,37.94,457975,PKI
2013-09-17,38.62,38.67,38.32,38.54,888471,PKI
2013-09-18,38.61,38.78,38.14,38.63,831282,PKI
2013-09-19,38.85,39.05,38.495,38.58,797569,PKI
2013-09-20,38.64,38.99,38.24,38.24,1228679,PKI
2013-09-23,38.13,38.2499,37.7,37.86,782263,PKI
2013-09-24,37.82,38.06,37.59,37.82,455662,PKI
2013-09-25,37.81,37.96,37.485,37.57,466588,PKI
2013-09-26,37.75,38.12,37.67,38.11,398959,PKI
2013-09-27,37.76,38.51,37.75,38.11,583550,PKI
2013-09-30,37.85,38.085,37.56,37.75,544860,PKI
2013-10-01,37.78,38.34,37.67,37.95,676722,PKI
2013-10-02,37.63,37.87,37.24,37.86,648029,PKI
2013-10-03,37.72,37.84,37.34,37.5,546771,PKI
2013-10-04,37.43,37.94,37.345,37.78,326415,PKI
2013-10-07,37.42,37.46,37.149,37.24,558357,PKI
2013-10-08,37.2,37.34,36.616,36.69,876781,PKI
2013-10-09,36.79,36.84,36.255,36.33,568136,PKI
2013-10-10,36.72,37.03,36.61,37.03,864968,PKI
2013-10-11,36.98,37.31,36.87,37.26,706181,PKI
2013-10-14,37.01,37.29,36.81,37.23,445886,PKI
2013-10-15,37.18,37.49,36.38,36.49,1350011,PKI
2013-10-16,36.62,36.99,36.51,36.65,1130867,PKI
2013-10-17,36.61,37.76,36.52,37.7,1039796,PKI
2013-10-18,37.94,38.07,37.5,37.77,505792,PKI
2013-10-21,37.76,37.89,37.57,37.67,332304,PKI
2013-10-22,37.93,37.93,37.435,37.71,685440,PKI
2013-10-23,37.6,37.97,37.42,37.94,429818,PKI
2013-10-24,38.0,38.24,37.93,38.21,396935,PKI
2013-10-25,38.21,38.66,38.02,38.59,619405,PKI
2013-10-28,38.55,38.59,38.14,38.38,522014,PKI
2013-10-29,38.38,38.71,38.38,38.71,652926,PKI
2013-10-30,38.61,38.68,37.82,38.26,1047267,PKI
2013-10-31,38.15,39.09,37.55,38.04,1349637,PKI
2013-11-01,38.07,38.44,37.75,37.96,578168,PKI
2013-11-04,38.08,38.12,37.87,37.96,418652,PKI
2013-11-05,37.76,37.84,37.28,37.29,762341,PKI
2013-11-06,37.29,37.53,36.8,36.85,754192,PKI
2013-11-07,37.0,37.0,36.39,36.41,905091,PKI
2013-11-08,36.35,37.2,36.28,37.1,976092,PKI
2013-11-11,37.12,37.43,36.94,37.01,773566,PKI
2013-11-12,36.99,37.17,36.78,37.09,394630,PKI
2013-11-13,36.94,37.24,36.7275,37.16,444005,PKI
2013-11-14,37.19,37.56,37.0,37.53,467169,PKI
2013-11-15,37.74,38.33,37.71,38.3,1039792,PKI
2013-11-18,38.44,38.475,37.84,37.89,446304,PKI
2013-11-19,37.81,38.03,37.6,37.94,368817,PKI
2013-11-20,37.98,38.29,37.83,37.9,317681,PKI
2013-11-21,37.91,38.36,37.91,38.25,295424,PKI
2013-11-22,38.29,38.29,37.925,38.0,506706,PKI
2013-11-25,38.02,38.15,37.725,37.84,327513,PKI
2013-11-26,37.89,38.13,37.83,38.0,521757,PKI
2013-11-27,38.04,38.225,37.83,38.18,444722,PKI
2013-11-29,38.2,38.2,37.84,38.04,195608,PKI
2013-12-02,37.99,38.37,37.68,37.77,927779,PKI
2013-12-03,37.49,37.64,37.23,37.38,571750,PKI
2013-12-04,37.29,37.61,37.24,37.48,871144,PKI
2013-12-05,37.43,37.77,37.41,37.53,549664,PKI
2013-12-06,37.81,38.17,37.655,38.14,592919,PKI
2013-12-09,38.14,38.75,38.12,38.69,752373,PKI
2013-12-10,39.09,40.61,39.06,39.61,2081864,PKI
2013-12-11,39.62,39.8,38.67,38.87,1016189,PKI
2013-12-12,38.85,39.405,38.685,39.06,1001175,PKI
2013-12-13,39.08,39.18,38.8,38.97,750467,PKI
2013-12-16,39.19,39.37,38.97,39.25,509448,PKI
2013-12-17,39.23,39.46,39.02,39.07,614872,PKI
2013-12-18,39.06,40.22,39.04,40.21,748678,PKI
2013-12-19,40.13,40.55,39.89,40.45,707929,PKI
2013-12-20,40.64,40.9,40.43,40.64,972302,PKI
2013-12-23,40.92,41.14,40.43,41.05,1258365,PKI
2013-12-24,41.03,41.28,40.94,41.12,216085,PKI
2013-12-26,41.11,41.35,40.7,41.08,254027,PKI
2013-12-27,41.22,41.41,41.08,41.18,226276,PKI
2013-12-30,41.14,41.36,40.94,41.35,290031,PKI
2013-12-31,41.39,41.41,40.95,41.23,410976,PKI
2014-01-02,40.99,41.39,40.86,40.94,832589,PKI
2014-01-03,41.14,41.6,41.0,41.21,802254,PKI
2014-01-06,41.8,42.271,41.63,41.69,1242223,PKI
2014-01-07,41.73,42.25,41.58,42.11,702938,PKI
2014-01-08,42.18,42.83,42.01,42.7,1062055,PKI
2014-01-09,42.95,43.48,42.84,43.43,957648,PKI
2014-01-10,43.37,43.43,42.98,43.18,892165,PKI
2014-01-13,43.21,43.21,42.2,42.35,589154,PKI
2014-01-14,42.54,42.89,42.25,42.75,787347,PKI
2014-01-15,42.91,43.21,42.67,42.98,554703,PKI
2014-01-16,42.94,43.52,42.78,43.23,696605,PKI
2014-01-17,43.33,43.54,42.98,43.01,516921,PKI
2014-01-21,43.36,43.4,42.64,43.12,551854,PKI
2014-01-22,43.15,43.39,42.76,43.04,387946,PKI
2014-01-23,42.91,42.91,42.14,42.49,648120,PKI
2014-01-24,42.25,42.32,41.15,41.18,739393,PKI
2014-01-27,41.53,41.63,40.63,41.06,1363001,PKI
2014-01-28,41.48,42.76,41.35,42.71,1298777,PKI
2014-01-29,42.3,42.7,42.18,42.6,1348893,PKI
2014-01-30,43.09,44.23,42.94,44.04,2500512,PKI
2014-01-31,45.84,45.86,43.14,43.6,2378156,PKI
2014-02-03,43.85,44.03,42.73,43.03,2238548,PKI
2014-02-04,43.15,43.35,42.67,42.84,1226782,PKI
2014-02-05,42.78,42.85,41.89,42.67,1541565,PKI
