date,open,high,low,close,volume,Name
2013-02-08,34.31,34.58,34.23,34.4,418979,SNPS
2013-02-11,34.45,34.55,34.01,34.15,419975,SNPS
2013-02-12,34.23,34.63,34.07,34.44,764855,SNPS
2013-02-13,34.42,34.602,34.08,34.24,483096,SNPS
2013-02-14,34.21,34.43,34.08,34.33,844721,SNPS
2013-02-15,34.39,34.65,34.3,34.54,613677,SNPS
2013-02-19,34.45,34.7,34.27,34.62,745626,SNPS
2013-02-20,34.7,34.99,34.536,34.79,1342746,SNPS
2013-02-21,36.0,36.0,35.28,35.76,2963561,SNPS
2013-02-22,35.71,35.76,34.95,35.14,1457619,SNPS
2013-02-25,35.3,35.39,35.08,35.09,1365460,SNPS
2013-02-26,35.26,35.33,34.82,34.87,1147122,SNPS
2013-02-27,34.9,35.3716,34.71,35.28,959834,SNPS
2013-02-28,35.17,35.39,35.03,35.03,860266,SNPS
2013-03-01,34.58,34.8,34.04,34.72,1658277,SNPS
2013-03-04,34.52,34.84,34.375,34.83,917527,SNPS
2013-03-05,34.8,35.175,34.73,35.01,575439,SNPS
2013-03-06,35.0,35.2,34.71,34.84,529693,SNPS
2013-03-07,34.95,35.36,34.884,35.18,819731,SNPS
2013-03-08,35.19,35.37,34.98,35.35,434631,SNPS
2013-03-11,35.24,35.56,35.13,35.55,686717,SNPS
2013-03-12,35.51,35.51,35.155,35.291,546801,SNPS
2013-03-13,35.34,35.48,35.15,35.37,614463,SNPS
2013-03-14,35.38,35.75,35.37,35.73,616505,SNPS
2013-03-15,35.61,35.888,35.23,35.26,1629980,SNPS
2013-03-18,34.97,35.13,34.74,34.89,521425,SNPS
2013-03-19,34.99,35.09,34.63,34.96,815122,SNPS
2013-03-20,35.09,35.19,34.84,35.09,596444,SNPS
2013-03-21,34.86,35.13,34.71,34.85,467321,SNPS
2013-03-22,35.01,35.08,34.76,34.83,391168,SNPS
2013-03-25,34.87,35.17,34.7,35.17,632522,SNPS
2013-03-26,35.21,35.58,35.15,35.47,710203,SNPS
2013-03-27,35.25,35.5,34.94,35.45,479711,SNPS
2013-03-28,35.56,35.93,35.33,35.88,1431510,SNPS
2013-04-01,35.9,35.9,35.23,35.45,550302,SNPS
2013-04-02,35.52,35.7,35.43,35.62,516578,SNPS
2013-04-03,35.62,35.75,35.3,35.4,882574,SNPS
2013-04-04,35.29,35.7,35.03,35.13,762384,SNPS
2013-04-05,34.92,34.92,34.59,34.82,582490,SNPS
2013-04-08,34.74,34.81,34.38,34.64,555816,SNPS
2013-04-09,34.81,34.82,34.37,34.71,415322,SNPS
2013-04-10,34.72,35.37,34.72,35.34,722302,SNPS
2013-04-11,35.34,35.34,35.11,35.14,516256,SNPS
2013-04-12,35.05,35.09,34.65,34.79,669877,SNPS
2013-04-15,34.62,34.78,34.33,34.43,1145530,SNPS
2013-04-16,34.66,34.66,34.17,34.61,645014,SNPS
2013-04-17,34.48,34.58,33.91,34.15,677552,SNPS
2013-04-18,34.29,34.47,33.72,33.73,604859,SNPS
2013-04-19,33.67,34.0,33.51,33.72,506232,SNPS
2013-04-22,33.82,34.03,33.5,33.9,405901,SNPS
2013-04-23,34.06,34.54,33.9,34.39,566383,SNPS
2013-04-24,34.37,34.67,34.36,34.53,712708,SNPS
2013-04-25,34.72,35.39,34.31,35.1,812819,SNPS
2013-04-26,35.09,35.18,34.8,35.09,490271,SNPS
2013-04-29,35.25,35.34,35.0,35.11,735188,SNPS
2013-04-30,35.17,35.7,34.87,35.57,1164947,SNPS
2013-05-01,35.58,35.7,34.94,34.97,517584,SNPS
2013-05-02,34.85,35.385,34.84,35.14,825648,SNPS
2013-05-03,35.36,35.63,35.27,35.35,419180,SNPS
2013-05-06,35.4,35.41,35.18,35.32,273758,SNPS
2013-05-07,35.3,35.63,35.18,35.6,458278,SNPS
2013-05-08,35.56,35.9,35.37,35.9,534265,SNPS
2013-05-09,35.91,35.945,35.73,35.81,488085,SNPS
2013-05-10,35.74,35.93,35.68,35.7,340431,SNPS
2013-05-13,35.58,35.6,35.19,35.2,488662,SNPS
2013-05-14,35.2,35.48,35.2,35.39,510011,SNPS
2013-05-15,35.32,35.54,35.002,35.46,497488,SNPS
2013-05-16,35.53,35.69,35.33,35.45,394387,SNPS
2013-05-17,35.49,35.88,35.32,35.85,294779,SNPS
2013-05-20,35.79,36.08,35.67,35.81,491878,SNPS
2013-05-21,35.77,35.91,35.54,35.77,366155,SNPS
2013-05-22,35.87,36.0,35.168,35.4,466734,SNPS
2013-05-23,36.05,36.32,35.41,35.97,1192554,SNPS
2013-05-24,35.47,35.79,35.4,35.71,568550,SNPS
2013-05-28,35.84,36.43,35.84,36.21,692952,SNPS
2013-05-29,35.94,36.02,35.49,35.98,556768,SNPS
2013-05-30,36.09,36.66,36.03,36.63,553962,SNPS
2013-05-31,36.43,36.815,36.42,36.44,994371,SNPS
2013-06-03,36.41,36.79,36.21,36.71,606129,SNPS
2013-06-04,36.8,36.84,36.15,36.56,713704,SNPS
2013-06-05,36.56,36.799,36.08,36.13,435353,SNPS
2013-06-06,36.03,36.55,35.91,36.55,531446,SNPS
2013-06-07,36.56,37.0,36.56,36.98,945732,SNPS
2013-06-10,37.0,37.02,36.63,36.91,399016,SNPS
2013-06-11,36.77,36.83,36.17,36.46,720047,SNPS
2013-06-12,36.72,36.72,36.12,36.2,452074,SNPS
2013-06-13,36.11,36.78,35.91,36.63,552610,SNPS
2013-06-14,36.56,36.67,36.28,36.3,378030,SNPS
2013-06-17,35.85,36.59,35.83,36.58,690597,SNPS
2013-06-18,36.43,36.85,36.43,36.61,532929,SNPS
2013-06-19,36.56,36.79,36.34,36.43,551363,SNPS
