date,open,high,low,close,volume,Name
2013-02-08,34.85,36.83,34.76,35.48,10520558,STX
2013-02-11,35.56,35.66,34.8,35.05,4311993,STX
2013-02-12,35.12,35.14,34.66,34.68,3486369,STX
2013-02-13,34.93,35.08,34.64,35.01,3404630,STX
2013-02-14,34.81,35.2601,34.8,34.95,3537320,STX
2013-02-15,34.78,35.02,34.24,34.445,5091327,STX
2013-02-19,34.74,34.74,33.97,34.18,4976495,STX
2013-02-20,34.24,34.24,32.39,32.5,5580266,STX
2013-02-21,32.23,32.34,31.38,31.72,5673451,STX
2013-02-22,31.98,32.25,31.37,31.84,4413196,STX
2013-02-25,32.31,32.4,30.79,30.84,4889746,STX
2013-02-26,30.93,31.53,30.26,31.33,5136311,STX
2013-02-27,31.28,32.13,31.03,31.97,3485082,STX
2013-02-28,31.86,32.5,31.71,32.16,5459852,STX
2013-03-01,32.03,32.45,31.72,32.32,3921461,STX
2013-03-04,32.29,32.4,31.55,32.04,4806401,STX
2013-03-05,32.29,32.62,32.1,32.34,3911681,STX
2013-03-06,32.52,33.26,32.45,33.02,5379251,STX
2013-03-07,33.18,33.2,31.94,32.22,5739202,STX
2013-03-08,32.43,32.555,32.01,32.5,4433548,STX
2013-03-11,32.31,33.39,32.2,33.33,4424573,STX
2013-03-12,33.28,35.06,33.1201,34.94,8727705,STX
2013-03-13,35.04,35.82,34.7,35.315,6580515,STX
2013-03-14,35.5,35.95,35.3701,35.89,5130196,STX
2013-03-15,35.7,35.82,34.8,35.35,10202985,STX
2013-03-18,34.81,35.56,34.5,35.29,3329573,STX
2013-03-19,35.3,35.436,34.09,34.39,4444676,STX
2013-03-20,34.81,35.1067,34.69,34.95,2573432,STX
2013-03-21,34.7,34.78,34.08,34.52,3195104,STX
2013-03-22,34.63,34.85,34.15,34.72,2396092,STX
2013-03-25,34.93,34.99,34.255,34.72,3751975,STX
2013-03-26,35.09,36.48,35.01,35.88,9470642,STX
2013-03-27,35.68,36.86,35.59,36.68,5966116,STX
2013-03-28,36.65,36.95,36.26,36.555,4485077,STX
2013-04-01,36.86,37.14,36.41,36.72,3534968,STX
2013-04-02,36.72,36.72,35.8,36.28,3947274,STX
2013-04-03,36.42,37.0,35.95,36.06,5040649,STX
2013-04-04,36.13,36.37,35.7701,36.34,2524548,STX
2013-04-05,35.88,35.88,35.01,35.51,6002604,STX
2013-04-08,35.81,36.25,35.18,35.98,3671110,STX
2013-04-09,36.0,37.265,35.95,36.96,5694103,STX
2013-04-10,37.18,37.9,37.0,37.68,5652992,STX
2013-04-11,36.99,37.04,35.75,36.53,7282087,STX
2013-04-12,36.49,36.595,35.84,36.09,3970162,STX
2013-04-15,35.79,36.55,34.57,34.8,6120715,STX
2013-04-16,34.98,35.85,34.8,35.335,4611728,STX
2013-04-17,35.01,35.27,34.08,34.725,4970013,STX
2013-04-18,34.89,35.15,33.69,33.93,5915912,STX
2013-04-19,33.77,34.54,33.22,34.44,5205873,STX
2013-04-22,34.5,35.22,34.35,34.81,3383924,STX
2013-04-23,35.3,36.24,35.1,36.03,4746449,STX
2013-04-24,36.22,37.1294,36.08,36.46,6282931,STX
2013-04-25,37.01,37.85,36.34,36.54,8986015,STX
2013-04-26,36.47,36.75,36.21,36.4,6434574,STX
2013-04-29,36.48,36.73,35.86,36.22,4811507,STX
2013-04-30,36.19,36.7,35.99,36.7,5548652,STX
2013-05-01,36.8,37.22,36.41,36.94,6180347,STX
2013-05-02,38.06,39.92,38.05,39.63,14001045,STX
2013-05-03,40.0,41.52,39.89,41.23,8594777,STX
2013-05-06,41.27,42.24,41.27,41.97,7023364,STX
2013-05-07,42.05,42.49,41.56,42.32,5535133,STX
2013-05-08,42.18,42.5,41.5,42.32,5393787,STX
2013-05-09,40.91,41.4,40.11,40.33,10508371,STX
2013-05-10,40.29,40.72,40.0519,40.5,4252624,STX
2013-05-13,40.03,40.9032,39.97,40.27,4013011,STX
2013-05-14,40.49,41.2,40.15,40.85,5263875,STX
2013-05-15,40.9,40.99,40.47,40.61,7891899,STX
2013-05-16,40.74,41.14,40.47,40.59,6561666,STX
2013-05-17,40.92,41.48,40.59,41.47,4901154,STX
2013-05-20,41.11,41.19,40.71,41.04,4386833,STX
2013-05-21,41.04,41.52,40.78,41.52,3116907,STX
2013-05-22,41.15,42.88,41.15,42.17,7497563,STX
2013-05-23,42.25,43.6,41.64,42.99,7468755,STX
2013-05-24,42.72,43.045,42.24,42.85,2749811,STX
2013-05-28,43.55,43.6,43.03,43.11,3407272,STX
2013-05-29,42.7,43.9899,42.69,43.76,4026181,STX
2013-05-30,43.9,44.44,43.57,43.67,3706902,STX
2013-05-31,43.59,43.85,43.07,43.08,6208637,STX
2013-06-03,43.15,44.0,42.67,43.96,4042457,STX
2013-06-04,44.02,45.0,44.02,44.74,5099936,STX
2013-06-05,44.73,44.83,43.38,43.69,4269521,STX
2013-06-06,43.71,44.12,43.205,44.12,4186578,STX
2013-06-07,44.39,44.46,43.63,44.01,3291695,STX
2013-06-10,43.69,44.1299,43.15,43.97,3943396,STX
2013-06-11,43.59,44.61,43.51,43.94,4210734,STX
2013-06-12,44.36,44.62,43.41,43.57,3389654,STX
2013-06-13,43.67,44.1,43.15,43.98,2932007,STX
2013-06-14,44.02,44.32,43.58,43.72,2605474,STX
2013-06-17,43.96,44.44,43.75,44.01,3120738,STX
2013-06-18,44.18,45.05,44.04,44.99,4571732,STX
2013-06-19,44.74,45.05,44.13,44.38,3490264,STX
2013-06-20,43.86,44.06,42.395,42.838,5166325,STX
2013-06-21,43.17,43.17,41.91,42.249,5995953,STX
2013-06-24,41.96,42.0,40.68,41.23,3867347,STX
2013-06-25,41.9,42.61,41.44,42.401,3339046,STX
2013-06-26,42.78,43.07,42.28,42.7,2784541,STX
2013-06-27,43.38,44.995,43.21,44.69,4063482,STX
2013-06-28,44.5,45.5,44.24,44.83,3896063,STX
2013-07-01,45.49,45.775,45.12,45.47,2837644,STX
2013-07-02,45.6,45.84,44.855,45.22,2711887,STX
2013-07-03,45.07,45.455,44.57,45.1,1953379,STX
2013-07-05,45.62,45.93,45.09,45.72,2622625,STX
2013-07-08,46.0,46.42,45.39,45.45,3401576,STX
