date,open,high,low,close,volume,Name
2013-02-08,44.29,44.5,44.23,44.41,840687,TAP
2013-02-11,44.32,44.45,44.0,44.05,784904,TAP
2013-02-12,44.07,44.35,43.9,44.22,1167052,TAP
2013-02-13,44.29,44.62,44.25,44.62,1105620,TAP
2013-02-14,44.69,45.3499,43.91,43.97,2011870,TAP
2013-02-15,44.08,44.23,43.38,43.53,1859481,TAP
2013-02-19,43.72,45.265,43.72,45.1,2195225,TAP
2013-02-20,45.07,45.255,44.57,44.6,1500974,TAP
2013-02-21,44.51,44.71,44.09,44.49,1480081,TAP
2013-02-22,44.62,46.5,44.44,46.48,2687455,TAP
2013-02-25,46.48,47.09,46.08,46.08,2105447,TAP
2013-02-26,46.12,46.5,44.91,45.0,2404989,TAP
2013-02-27,44.92,45.12,44.315,44.79,1681176,TAP
2013-02-28,44.34,44.67,44.02,44.21,2784895,TAP
2013-03-01,44.09,45.26,44.09,45.24,1977202,TAP
2013-03-04,45.21,45.35,45.01,45.22,1269262,TAP
2013-03-05,45.3,47.0,45.27,46.97,2211541,TAP
2013-03-06,46.99,47.0,46.51,46.58,1055061,TAP
2013-03-07,46.68,46.96,46.47,46.58,803289,TAP
2013-03-08,46.75,47.39,46.56,47.37,1033225,TAP
2013-03-11,47.37,48.73,47.1525,48.56,1936955,TAP
2013-03-12,48.54,48.54,47.8,48.09,1492843,TAP
2013-03-13,48.19,48.925,48.05,48.8,1144381,TAP
2013-03-14,48.84,48.84,48.25,48.37,1015978,TAP
2013-03-15,48.23,48.58,48.1,48.46,1246087,TAP
2013-03-18,47.9,48.22,47.73,48.0,873011,TAP
2013-03-19,48.08,48.42,47.64,47.83,922017,TAP
2013-03-20,47.98,49.05,47.88,48.91,1556046,TAP
2013-03-21,48.75,48.84,48.455,48.56,864776,TAP
2013-03-22,48.8,49.04,48.505,48.96,727862,TAP
2013-03-25,48.99,49.15,48.43,48.59,846576,TAP
2013-03-26,48.6,49.29,48.5,49.27,913528,TAP
2013-03-27,48.93,48.96,48.46,48.49,768496,TAP
2013-03-28,48.42,48.98,48.4,48.93,900339,TAP
2013-04-01,49.85,51.9,49.77,51.9,3239516,TAP
2013-04-02,52.08,52.93,51.5162,52.28,3249419,TAP
2013-04-03,52.4,52.42,50.9701,51.02,2320354,TAP
2013-04-04,50.81,51.485,50.8,51.02,1117088,TAP
2013-04-05,50.42,50.63,49.99,50.16,1340579,TAP
2013-04-08,50.03,50.38,49.96,50.32,1440470,TAP
2013-04-09,50.32,50.32,49.73,49.97,929148,TAP
2013-04-10,50.02,51.12,50.02,51.0,979691,TAP
2013-04-11,50.92,51.595,50.92,51.46,848559,TAP
2013-04-12,51.18,51.91,50.943,51.91,825226,TAP
2013-04-15,51.67,51.93,50.6,50.6,1357661,TAP
2013-04-16,50.98,51.22,50.58,50.9,1224160,TAP
2013-04-17,50.68,50.93,50.04,50.17,973229,TAP
2013-04-18,50.29,50.58,49.6,49.7,1065550,TAP
2013-04-19,49.92,52.68,49.92,52.65,2526542,TAP
2013-04-22,52.52,52.71,51.85,52.08,1177057,TAP
2013-04-23,52.33,53.0696,52.12,53.02,1473309,TAP
2013-04-24,52.83,53.1,51.58,51.63,1761203,TAP
