date,open,high,low,close,volume,Name
2013-02-08,33.61,34.29,33.555,34.28,13022820,TXN
2013-02-11,34.18,34.19,33.66,33.69,8274909,TXN
2013-02-12,33.59,33.7,33.41,33.56,7055415,TXN
2013-02-13,33.62,33.885,33.54,33.72,5424613,TXN
2013-02-14,33.49,33.84,33.3,33.79,6394142,TXN
2013-02-15,33.83,33.86,33.395,33.585,6519025,TXN
2013-02-19,33.72,34.06,33.43,33.94,6097914,TXN
2013-02-20,33.98,33.985,33.05,33.06,8968316,TXN
2013-02-21,32.99,33.0,32.19,32.48,11420231,TXN
2013-02-22,33.15,34.25,33.15,34.18,20543027,TXN
2013-02-25,34.2,34.45,33.705,33.73,13942680,TXN
2013-02-26,33.71,33.98,33.62,33.76,9811749,TXN
2013-02-27,33.8,34.48,33.71,34.29,7104557,TXN
2013-02-28,34.37,34.66,34.24,34.428,13412987,TXN
2013-03-01,34.13,34.57,33.83,34.52,9336814,TXN
2013-03-04,34.44,34.57,34.11,34.56,7424740,TXN
2013-03-05,34.68,35.01,34.59,35.0,12979696,TXN
2013-03-06,35.03,35.26,34.95,35.14,8705919,TXN
2013-03-07,35.19,35.25,35.06,35.2,8422986,TXN
2013-03-08,35.3,35.32,34.82,35.29,11510450,TXN
2013-03-11,35.27,35.59,35.11,35.52,8907490,TXN
2013-03-12,35.5,35.72,35.315,35.62,10862796,TXN
2013-03-13,35.2,35.38,35.05,35.29,9363005,TXN
2013-03-14,35.5,35.73,35.32,35.38,8675966,TXN
2013-03-15,35.2,35.4,34.85,35.08,14809084,TXN
2013-03-18,34.21,34.98,34.21,34.62,9094558,TXN
2013-03-19,34.69,34.91,34.29,34.66,11004683,TXN
2013-03-20,34.92,35.15,34.81,35.06,7555902,TXN
2013-03-21,34.78,34.925,34.235,34.29,9540115,TXN
2013-03-22,34.49,34.72,34.33,34.46,7597934,TXN
2013-03-25,34.56,34.88,34.31,34.48,7552711,TXN
2013-03-26,34.74,35.11,34.62,35.095,7249152,TXN
2013-03-27,34.82,35.12,34.555,35.08,8214580,TXN
2013-03-28,35.01,35.5,34.995,35.48,8651788,TXN
2013-04-01,35.26,35.56,34.86,35.01,11066864,TXN
2013-04-02,34.79,35.02,34.57,34.765,8763213,TXN
