date,open,high,low,close,volume,Name
2013-02-08,25.9,26.44,25.71,26.31,4648559,UAL
2013-02-11,26.31,26.64,25.59,26.51,4570710,UAL
2013-02-12,26.29,26.48,25.69,25.89,3925769,UAL
2013-02-13,25.9,26.33,25.8805,26.19,4477848,UAL
2013-02-14,26.11,26.19,25.26,25.87,6112147,UAL
2013-02-15,26.03,26.84,25.87,26.37,6166723,UAL
2013-02-19,26.31,26.8,26.24,26.75,2978878,UAL
2013-02-20,26.6401,26.8,26.0,26.08,4211546,UAL
2013-02-21,26.27,26.28,25.67,25.91,3829670,UAL
2013-02-22,26.0,26.5,25.88,26.36,2961620,UAL
2013-02-25,26.58,27.22,26.26,26.29,4822406,UAL
2013-02-26,26.29,26.4,25.53,25.98,5706600,UAL
2013-02-27,26.01,27.04,25.91,26.96,4864030,UAL
2013-02-28,26.96,27.18,26.64,26.71,3403367,UAL
2013-03-01,26.58,27.93,26.58,27.38,5161962,UAL
2013-03-04,27.22,28.98,27.22,28.82,6305746,UAL
2013-03-05,28.89,29.87,28.84,29.55,7640886,UAL
2013-03-06,29.67,29.88,29.17,29.3,4238808,UAL
2013-03-07,29.3,29.97,29.11,29.61,5676789,UAL
2013-03-08,29.99,31.64,29.955,31.35,9981728,UAL
2013-03-11,30.93,31.08,30.35,30.61,5509347,UAL
2013-03-12,30.59,30.81,29.92,29.95,5700318,UAL
2013-03-13,30.05,30.91,29.75,30.84,4759698,UAL
2013-03-14,30.78,31.25,30.56,31.17,3709290,UAL
2013-03-15,31.12,31.35,30.78,30.94,5810108,UAL
2013-03-18,30.68,31.495,30.57,31.2,3038253,UAL
2013-03-19,31.35,31.98,31.24,31.8,4158738,UAL
2013-03-20,31.97,32.95,31.86,32.5,6517812,UAL
2013-03-21,32.17,32.6,32.04,32.3,4445722,UAL
2013-03-22,32.32,32.48,31.73,31.87,3268899,UAL
2013-03-25,32.07,32.33,31.5501,31.9,2885277,UAL
2013-03-26,31.9,32.17,31.75,31.79,3401470,UAL
2013-03-27,31.6,32.39,31.57,32.33,2703865,UAL
2013-03-28,32.28,32.6,31.94,32.01,2509905,UAL
2013-04-01,31.27,31.9401,30.84,30.97,5607787,UAL
2013-04-02,30.57,30.86,29.16,29.38,11269554,UAL
2013-04-03,29.56,30.1,28.21,28.66,10516103,UAL
2013-04-04,28.76,29.325,28.69,29.3,3252831,UAL
2013-04-05,28.4,29.33,27.9,29.27,6329611,UAL
2013-04-08,29.39,30.13,28.87,30.05,4063213,UAL
2013-04-09,29.93,30.4175,29.21,29.29,4222983,UAL
2013-04-10,29.53,30.37,29.5001,29.83,4040078,UAL
2013-04-11,29.8,30.67,29.8,30.27,2849464,UAL
2013-04-12,30.18,30.72,30.13,30.28,4352306,UAL
2013-04-15,30.51,30.59,28.95,29.09,5978942,UAL
2013-04-16,29.68,30.93,29.68,30.86,4069150,UAL
2013-04-17,30.71,31.01,30.23,30.91,4025682,UAL
2013-04-18,30.91,30.93,29.99,30.23,4265183,UAL
2013-04-19,30.27,30.92,30.16,30.6,3430798,UAL
2013-04-22,30.6,30.6,29.77,30.15,3080401,UAL
2013-04-23,29.78,31.9,29.76,31.1,7465960,UAL
2013-04-24,31.1,31.71,30.51,31.39,5438741,UAL
2013-04-25,31.18,31.875,30.63,30.89,5520002,UAL
2013-04-26,31.0,31.31,30.66,31.14,3436919,UAL
2013-04-29,31.0,32.15,31.0,32.0,4215030,UAL
2013-04-30,32.17,32.69,31.67,32.3,4147315,UAL
2013-05-01,32.36,32.78,31.58,32.01,4396618,UAL
2013-05-02,32.02,32.69,31.8,32.6,2255232,UAL
2013-05-03,32.83,33.82,32.67,33.01,3409499,UAL
2013-05-06,33.08,33.74,33.05,33.55,2280269,UAL
2013-05-07,33.63,33.7,33.28,33.38,1465903,UAL
2013-05-08,33.45,33.92,33.03,33.28,4821433,UAL
2013-05-09,33.34,33.67,32.45,32.56,3335393,UAL
2013-05-10,32.79,33.09,32.68,32.88,2073981,UAL
2013-05-13,32.88,33.07,32.54,32.92,4381133,UAL
2013-05-14,33.15,33.43,32.97,33.29,2462973,UAL
2013-05-15,33.33,35.16,33.33,34.42,4833356,UAL
2013-05-16,34.6,34.97,34.0,34.5,4349040,UAL
2013-05-17,34.73,35.1101,34.31,34.75,3934009,UAL
2013-05-20,34.87,35.27,34.215,34.29,2713763,UAL
2013-05-21,34.14,34.39,33.06,33.35,9311430,UAL
2013-05-22,33.42,33.93,33.11,33.24,3384178,UAL
2013-05-23,32.88,34.37,32.78,34.36,3576450,UAL
2013-05-24,34.13,34.57,33.84,34.37,1885954,UAL
2013-05-28,34.63,34.9,33.65,33.83,2311516,UAL
2013-05-29,33.66,33.75,32.46,33.0,3436353,UAL
2013-05-30,33.07,33.53,32.58,32.64,2792938,UAL
2013-05-31,32.52,32.95,32.3,32.46,3535208,UAL
2013-06-03,32.61,33.2,31.65,32.16,3744915,UAL
2013-06-04,32.15,33.39,32.11,32.2,8350490,UAL
2013-06-05,32.18,32.47,31.05,31.24,2876047,UAL
2013-06-06,31.21,31.46,29.6701,30.67,7387482,UAL
2013-06-07,31.31,32.96,31.3,32.94,5690942,UAL
2013-06-10,32.95,33.59,32.831,33.28,3229284,UAL
2013-06-11,32.15,32.82,31.9,32.45,4974048,UAL
2013-06-12,32.47,33.0,31.97,32.04,2200457,UAL
2013-06-13,32.1,32.795,31.82,32.66,4300773,UAL
2013-06-14,32.64,33.0601,32.24,32.67,2219398,UAL
