date,open,high,low,close,volume,Name
2013-02-08,44.51,44.61,44.17,44.35,8161529,VZ
2013-02-11,44.3,44.44,44.12,44.32,5750092,VZ
2013-02-12,44.37,44.58,44.21,44.44,6330252,VZ
2013-02-13,44.5399,44.7,44.28,44.52,7731554,VZ
2013-02-14,44.55,44.782,44.11,44.33,14665888,VZ
2013-02-15,44.39,44.62,44.16,44.4,11986419,VZ
2013-02-19,44.26,44.71,44.26,44.5,9638218,VZ
2013-02-20,44.35,45.21,44.34,44.92,23275377,VZ
2013-02-21,44.73,45.28,44.4,45.12,15118201,VZ
2013-02-22,45.23,45.44,44.72,45.4,18830625,VZ
2013-02-25,45.5,45.99,45.43,45.72,19945813,VZ
2013-02-26,45.92,46.21,45.81,46.12,18641999,VZ
2013-02-27,46.13,46.42,45.85,46.35,14804177,VZ
2013-02-28,46.35,46.93,46.3,46.53,17161275,VZ
2013-03-01,46.22,46.76,46.11,46.72,12749647,VZ
2013-03-04,46.7,47.11,46.59,47.11,9939722,VZ
2013-03-05,47.4,47.88,47.14,47.69,16394000,VZ
2013-03-06,47.8,47.86,47.14,47.28,12203789,VZ
2013-03-07,47.4,47.57,47.21,47.48,10584643,VZ
2013-03-08,47.72,47.98,47.67,47.96,9994826,VZ
2013-03-11,47.86,47.975,47.55,47.81,9540408,VZ
2013-03-12,47.71,48.55,47.594,48.36,12637283,VZ
2013-03-13,48.37,48.57,47.79,47.94,13040982,VZ
2013-03-14,48.17,48.66,48.05,48.48,10598084,VZ
2013-03-15,48.19,48.38,47.64,48.02,16856166,VZ
2013-03-18,47.96,49.1524,47.96,48.75,14772499,VZ
2013-03-19,48.9,49.09,48.56,48.95,13781290,VZ
2013-03-20,49.06,49.17,48.53,48.6,15014353,VZ
2013-03-21,48.33,48.88,48.28,48.8,12549206,VZ
2013-03-22,48.93,49.145,48.72,49.02,9446252,VZ
2013-03-25,49.19,49.44,48.97,49.16,12634319,VZ
2013-03-26,49.38,49.59,49.16,49.48,11663246,VZ
2013-03-27,49.31,49.4,48.75,48.94,12927430,VZ
2013-03-28,48.99,49.19,48.9,49.15,13569032,VZ
2013-04-01,49.06,49.38,49.008,49.22,6927888,VZ
2013-04-02,49.53,49.86,49.26,49.5,12081213,VZ
2013-04-03,49.43,49.58,48.66,48.99,14373453,VZ
2013-04-04,49.0,49.31,48.73,49.3,37100708,VZ
2013-04-05,49.05,49.58,48.95,49.56,39951108,VZ
2013-04-08,48.99,49.43,48.77,49.43,11466919,VZ
2013-04-09,49.52,49.63,49.16,49.36,8307596,VZ
2013-04-10,49.47,49.86,49.3,49.86,7867673,VZ
2013-04-11,49.81,50.64,49.81,50.51,13298219,VZ
2013-04-12,50.49,50.86,50.44,50.86,9150476,VZ
2013-04-15,50.66,51.056,50.26,50.64,14451035,VZ
2013-04-16,50.8,51.15,50.33,50.46,14925244,VZ
2013-04-17,50.21,50.35,49.49,49.54,15232968,VZ
2013-04-18,51.05,51.67,50.77,50.91,18135562,VZ
2013-04-19,51.31,52.35,51.255,52.25,14599987,VZ
2013-04-22,52.2,52.289,51.89,52.19,11213091,VZ
2013-04-23,52.35,52.49,51.54,52.32,10363365,VZ
2013-04-24,52.0,52.12,51.17,51.8,14436505,VZ
