date,open,high,low,close,volume,Name
2013-02-08,35.84,36.22,35.8001,36.0,5508827,WMB
2013-02-11,36.03,36.03,35.54,35.74,2789688,WMB
2013-02-12,35.67,35.88,35.45,35.84,3701167,WMB
2013-02-13,35.94,35.94,35.55,35.64,3761733,WMB
2013-02-14,35.59,35.72,35.445,35.46,5304120,WMB
2013-02-15,35.46,35.5737,34.98,35.11,8842293,WMB
2013-02-19,35.23,35.56,35.02,35.45,5283847,WMB
2013-02-20,35.47,35.48,34.76,34.82,6629114,WMB
2013-02-21,34.15,35.06,33.54,34.08,12465966,WMB
2013-02-22,34.21,34.44,34.15,34.44,16989129,WMB
2013-02-25,34.56,34.75,33.55,33.57,21003883,WMB
2013-02-26,33.75,33.8755,33.09,33.79,19850886,WMB
2013-02-27,33.71,34.51,33.64,34.35,5569678,WMB
2013-02-28,34.3,34.85,34.24,34.71,7022763,WMB
2013-03-01,34.53,34.65,33.7,33.83,15129352,WMB
2013-03-04,33.75,33.88,33.39,33.57,10186350,WMB
2013-03-05,33.67,33.97,33.34,33.71,8429970,WMB
2013-03-06,33.59,33.91,33.47,33.72,6947214,WMB
2013-03-07,33.77,34.42,33.59,34.31,7672119,WMB
2013-03-08,34.43,34.78,34.41,34.71,10559659,WMB
2013-03-11,34.65,35.17,34.59,35.03,6475445,WMB
2013-03-12,35.09,35.1,34.725,34.79,4673595,WMB
2013-03-13,34.71,34.86,34.515,34.8,4942401,WMB
2013-03-14,34.81,35.64,34.8,35.42,10417725,WMB
2013-03-15,35.28,35.66,35.2,35.43,7040168,WMB
2013-03-18,35.15,35.465,34.82,35.19,4623840,WMB
2013-03-19,35.26,35.42,35.01,35.29,4642582,WMB
2013-03-20,35.64,36.15,35.4975,35.98,5188035,WMB
2013-03-21,35.9,36.78,35.785,36.55,9469045,WMB
2013-03-22,36.82,37.28,36.62,36.87,6062522,WMB
2013-03-25,37.09,37.32,36.75,36.99,4844739,WMB
2013-03-26,37.18,37.26,36.815,37.18,4645244,WMB
2013-03-27,36.95,38.0,36.53,36.99,6190731,WMB
2013-03-28,37.01,37.68,37.01,37.46,6452221,WMB
2013-04-01,37.84,38.24,37.635,37.94,5161541,WMB
2013-04-02,38.0,38.12,37.46,37.67,5795661,WMB
2013-04-03,37.7,37.74,36.74,36.74,6696146,WMB
2013-04-04,36.65,37.1,36.52,36.88,3713097,WMB
2013-04-05,36.5,37.06,36.11,36.91,3324176,WMB
2013-04-08,36.79,37.24,36.79,37.2,3532897,WMB
2013-04-09,37.25,37.8601,37.17,37.66,4618669,WMB
2013-04-10,37.81,38.15,37.7416,37.79,4242782,WMB
2013-04-11,37.93,38.19,37.72,37.81,4579730,WMB
2013-04-12,36.98,37.78,36.93,37.73,3614507,WMB
2013-04-15,37.41,37.57,36.41,36.42,6523827,WMB
2013-04-16,36.73,37.64,36.46,37.51,4896616,WMB
2013-04-17,37.32,37.32,36.5488,36.97,4445553,WMB
2013-04-18,37.1,37.78,36.89,37.38,3807448,WMB
2013-04-19,37.51,37.64,37.04,37.27,5740650,WMB
2013-04-22,37.48,37.94,37.08,37.73,3710904,WMB
2013-04-23,37.81,38.4,37.5,38.05,4673265,WMB
2013-04-24,38.22,38.5,38.0095,38.38,3312748,WMB
2013-04-25,38.5,38.57,37.86,37.91,5522257,WMB
2013-04-26,37.94,38.15,37.535,38.04,4213178,WMB
2013-04-29,38.24,38.45,38.18,38.22,3150976,WMB
2013-04-30,38.16,38.275,37.89,38.13,4557401,WMB
2013-05-01,37.97,38.01,37.46,37.51,6281302,WMB
2013-05-02,37.56,37.62,37.22,37.31,5311218,WMB
2013-05-03,37.59,37.76,37.5,37.54,5922908,WMB
2013-05-06,37.52,37.67,37.22,37.3,5798320,WMB
2013-05-07,37.53,37.595,36.885,36.98,8396142,WMB
2013-05-08,35.48,35.82,35.02,35.6,28144601,WMB
2013-05-09,35.625,36.92,35.47,36.86,20140093,WMB
2013-05-10,36.57,36.825,36.37,36.5,6542402,WMB
2013-05-13,36.5,36.59,36.08,36.48,8058459,WMB
2013-05-14,36.47,36.71,36.39,36.63,5969098,WMB
2013-05-15,36.59,36.93,36.305,36.74,4487230,WMB
2013-05-16,36.63,37.01,36.5,36.76,8400923,WMB
2013-05-17,36.89,37.23,36.87,37.21,5736401,WMB
2013-05-20,37.21,38.03,37.2,37.88,8740454,WMB
2013-05-21,37.95,38.2,37.45,37.75,7185462,WMB
2013-05-22,37.8,37.83,36.94,37.02,9448394,WMB
2013-05-23,36.62,37.27,36.49,37.24,13511873,WMB
2013-05-24,37.03,37.08,36.59,36.67,14538234,WMB
2013-05-28,37.13,37.24,36.36,36.4,14786323,WMB
2013-05-29,36.13,36.2,35.395,35.88,12393467,WMB
