date,open,high,low,close,volume,Name
2013-02-08,28.03,28.74,28.02,28.24,5390855,XL
2013-02-11,28.25,28.54,28.238,28.31,2629693,XL
2013-02-12,28.27,28.61,28.12,28.41,2321225,XL
2013-02-13,28.38,28.63,28.35,28.42,1537556,XL
2013-02-14,28.39,28.49,28.16,28.22,3246492,XL
2013-02-15,28.35,28.75,28.3,28.67,3634532,XL
2013-02-19,28.71,28.91,28.59,28.8,2803493,XL
2013-02-20,28.77,28.87,28.49,28.53,2303229,XL
2013-02-21,28.44,28.49,28.29,28.46,2542326,XL
2013-02-22,28.65,29.05,28.65,28.99,2243993,XL
2013-02-25,29.13,29.23,28.2,28.2,2141894,XL
2013-02-26,28.31,28.5,28.07,28.42,3097005,XL
2013-02-27,28.42,28.88,28.28,28.76,3011886,XL
2013-02-28,28.77,28.93,28.64,28.64,2276953,XL
2013-03-01,28.5,28.91,28.23,28.82,3228691,XL
2013-03-04,28.83,29.06,28.69,29.04,1853905,XL
2013-03-05,29.21,29.6,29.19,29.47,1621918,XL
2013-03-06,29.57,29.66,29.41,29.47,2126782,XL
2013-03-07,29.51,29.69,29.4,29.53,2055509,XL
2013-03-08,29.65,29.82,29.46,29.66,2405934,XL
2013-03-11,29.59,29.76,29.56,29.73,3062797,XL
2013-03-12,29.76,29.93,29.72,29.9,1939665,XL
2013-03-13,29.74,30.105,29.6,30.0,2449687,XL
2013-03-14,30.19,30.41,30.12,30.37,2780903,XL
2013-03-15,30.26,30.48,30.16,30.4,2920385,XL
2013-03-18,29.98,30.42,29.97,30.28,2009955,XL
2013-03-19,30.4,30.45,30.02,30.12,1951067,XL
2013-03-20,30.25,30.405,30.13,30.22,3165396,XL
2013-03-21,30.04,30.42,30.02,30.2,1957618,XL
2013-03-22,30.29,30.38,30.12,30.25,1648955,XL
2013-03-25,30.42,30.61,30.145,30.3,1536542,XL
2013-03-26,30.42,30.45,30.17,30.25,1775653,XL
2013-03-27,30.06,30.35,30.04,30.3,1117391,XL
2013-03-28,30.36,30.41,30.17,30.3,2605284,XL
2013-04-01,30.35,30.535,30.14,30.25,1624143,XL
2013-04-02,30.44,30.91,30.4,30.81,2047284,XL
2013-04-03,30.86,30.96,30.45,30.56,3136745,XL
2013-04-04,30.56,30.71,30.38,30.58,2664007,XL
2013-04-05,30.27,30.82,30.05,30.77,2151756,XL
2013-04-08,30.71,31.04,30.65,31.02,1847239,XL
2013-04-09,31.1,31.26,30.87,31.09,1697917,XL
2013-04-10,31.2,31.33,30.96,31.32,1981337,XL
2013-04-11,31.4,31.63,31.33,31.6,1430232,XL
2013-04-12,31.46,31.57,31.18,31.29,1609602,XL
2013-04-15,31.17,31.2,30.41,30.41,2365652,XL
2013-04-16,30.67,31.15,30.49,31.15,1804897,XL
2013-04-17,30.98,30.98,30.64,30.79,1953174,XL
2013-04-18,30.78,30.85,29.93,30.03,3414108,XL
2013-04-19,30.22,30.46,30.13,30.44,1625017,XL
2013-04-22,30.52,30.62,30.28,30.53,1015025,XL
2013-04-23,30.82,31.11,30.77,31.1,1619332,XL
2013-04-24,31.16,31.7,31.11,31.62,1732658,XL
2013-04-25,31.66,31.735,31.43,31.51,1101319,XL
2013-04-26,31.46,31.53,31.15,31.15,1203712,XL
2013-04-29,31.2,31.31,31.1,31.14,1101920,XL
2013-04-30,31.09,31.6,31.07,31.14,2815539,XL
2013-05-01,31.14,31.34,30.8,30.89,2217304,XL
2013-05-02,30.95,31.245,30.7,30.8,3260598,XL
2013-05-03,31.38,32.96,31.38,32.23,9451574,XL
2013-05-06,32.25,32.28,31.97,32.13,3609513,XL
2013-05-07,32.2,32.33,32.04,32.1,3289150,XL
2013-05-08,32.07,32.15,31.86,31.92,3823726,XL
2013-05-09,31.93,32.14,31.86,31.99,2280732,XL
2013-05-10,31.92,32.01,31.69,31.93,1520662,XL
2013-05-13,31.92,32.105,31.84,32.07,2303160,XL
2013-05-14,32.07,32.77,32.0,32.71,4254225,XL
2013-05-15,32.69,32.83,32.43,32.7,1668485,XL
2013-05-16,32.72,32.81,32.47,32.66,1867744,XL
2013-05-17,32.67,32.77,32.41,32.45,2299176,XL
2013-05-20,32.45,32.46,32.14,32.27,2020546,XL
2013-05-21,32.26,32.39,31.82,32.05,2079318,XL
2013-05-22,32.0,32.34,31.84,31.98,4308424,XL
2013-05-23,31.69,31.94,31.55,31.62,2249429,XL
2013-05-24,31.41,31.6,31.26,31.5,1712061,XL
2013-05-28,31.83,31.99,31.53,31.78,1807259,XL
2013-05-29,31.58,31.77,31.31,31.73,2266493,XL
2013-05-30,31.84,32.09,31.71,31.99,1972102,XL
2013-05-31,31.91,32.03,31.42,31.43,1590519,XL
2013-06-03,31.53,31.57,30.76,31.28,2676326,XL
2013-06-04,31.22,31.57,31.05,31.37,3106176,XL
2013-06-05,31.2,31.32,30.7501,30.8,2120181,XL
2013-06-06,30.73,31.05,30.57,31.05,1748737,XL
2013-06-07,31.22,31.46,31.05,31.31,2240203,XL
2013-06-10,31.38,31.57,31.225,31.54,1541303,XL
2013-06-11,31.31,31.36,30.81,30.86,2074208,XL
2013-06-12,30.82,31.23,30.66,30.84,1951122,XL
2013-06-13,30.81,31.36,30.57,31.3,1813214,XL
2013-06-14,31.19,31.36,30.94,31.06,1737645,XL
2013-06-17,31.23,31.37,30.9,31.13,1503162,XL
2013-06-18,31.22,31.7,31.15,31.69,1078372,XL
2013-06-19,31.62,31.65,30.815,30.82,1930961,XL
2013-06-20,30.57,30.715,29.88,29.98,2847323,XL
2013-06-21,30.23,30.27,29.38,29.56,4617391,XL
2013-06-24,29.19,29.51,28.88,29.32,3175435,XL
2013-06-25,29.55,29.95,29.44,29.76,2636366,XL
2013-06-26,30.0,30.24,29.94,30.11,1784029,XL
2013-06-27,30.3,30.75,30.29,30.44,2096767,XL
2013-06-28,30.35,30.62,30.18,30.32,2646407,XL
2013-07-01,30.48,30.91,30.48,30.62,1989039,XL
2013-07-02,30.61,30.965,30.335,30.48,2278383,XL
2013-07-03,30.22,30.415,30.085,30.25,1008664,XL
2013-07-05,30.48,30.65,30.29,30.65,1616728,XL
2013-07-08,30.8,31.03,30.75,30.97,1457105,XL
2013-07-09,31.2,31.385,31.07,31.34,1279739,XL
2013-07-10,31.25,31.35,30.8495,30.94,2413354,XL
2013-07-11,31.27,31.61,31.0,31.54,1613434,XL
2013-07-12,31.46,32.04,31.46,32.01,1494680,XL
2013-07-15,32.09,32.43,31.91,32.4,1879316,XL
2013-07-16,32.57,32.67,31.97,32.14,1818031,XL
2013-07-17,32.21,32.49,32.2,32.3,1582087,XL
2013-07-18,32.43,32.74,32.42,32.71,1434232,XL
2013-07-19,32.79,32.95,32.64,32.88,1251846,XL
2013-07-22,32.83,33.07,32.82,33.03,957122,XL
2013-07-23,33.07,33.12,32.19,32.24,2738611,XL
2013-07-24,32.35,32.45,31.72,31.8,1951599,XL
2013-07-25,31.73,32.14,31.61,32.12,1454203,XL
2013-07-26,31.96,32.25,31.82,32.22,1085013,XL
2013-07-29,32.08,32.28,32.0,32.01,2073904,XL
2013-07-30,31.76,32.06,31.04,31.41,3192795,XL
2013-07-31,31.48,31.69,31.34,31.35,2512442,XL
2013-08-01,31.67,32.11,31.65,32.06,1870245,XL
2013-08-02,31.95,32.2,31.845,31.95,1448524,XL
2013-08-05,31.84,31.97,31.62,31.66,1224314,XL
2013-08-06,31.8,31.8,31.265,31.37,2518735,XL
2013-08-07,31.24,31.32,30.93,31.2,1478942,XL
2013-08-08,31.3,31.32,30.99,31.01,2489683,XL
2013-08-09,31.01,31.11,30.74,30.84,1963786,XL
2013-08-12,30.67,30.97,30.5636,30.73,1047643,XL
2013-08-13,30.78,31.025,30.6,30.78,1519024,XL
2013-08-14,30.78,31.05,30.73,30.91,2259163,XL
2013-08-15,30.65,30.75,30.33,30.37,1142242,XL
2013-08-16,30.26,30.66,30.255,30.43,1237417,XL
2013-08-19,30.35,30.465,30.09,30.1,1439598,XL
2013-08-20,30.2,30.51,30.03,30.4,1241123,XL
2013-08-21,30.31,30.71,30.16,30.42,2538988,XL
2013-08-22,30.46,30.92,30.45,30.81,1106538,XL
2013-08-23,30.92,31.06,30.82,30.92,1032624,XL
2013-08-26,31.01,31.07,30.8,30.8,929094,XL
2013-08-27,30.4,30.48,30.09,30.13,1545659,XL
2013-08-28,30.09,30.225,29.79,29.88,3149044,XL
2013-08-29,29.77,30.1276,29.77,29.97,1209962,XL
2013-08-30,29.92,29.99,29.48,29.56,2902621,XL
2013-09-03,30.05,30.24,29.89,30.13,2228249,XL
2013-09-04,30.12,30.43,30.06,30.3,2375789,XL
2013-09-05,30.31,30.4,30.15,30.15,1193116,XL
2013-09-06,30.33,30.34,29.63,29.94,1183439,XL
2013-09-09,30.01,30.31,29.95,30.23,1304647,XL
2013-09-10,30.43,30.59,30.36,30.59,1141856,XL
2013-09-11,30.5,30.79,30.48,30.58,1731027,XL
2013-09-12,30.55,30.59,30.28,30.31,1845545,XL
2013-09-13,30.45,30.63,30.42,30.51,1153270,XL
2013-09-16,30.66,30.88,30.48,30.78,1680846,XL
2013-09-17,30.79,31.04,30.745,30.92,1105170,XL
2013-09-18,30.86,31.54,30.8,31.53,1998726,XL
2013-09-19,31.55,31.64,31.3,31.39,2947024,XL
2013-09-20,31.42,31.62,31.33,31.44,2229838,XL
2013-09-23,31.23,31.455,31.17,31.23,1287499,XL
2013-09-24,31.2,31.22,30.84,30.86,2256908,XL
2013-09-25,30.9,31.07,30.812,30.92,2876588,XL
2013-09-26,31.01,31.09,30.79,30.96,1210499,XL
2013-09-27,30.3,31.15,30.3,31.0,1361707,XL
2013-09-30,30.68,30.85,30.56,30.82,1851853,XL
2013-10-01,30.85,31.11,30.8,30.98,1428941,XL
2013-10-02,30.82,31.27,30.81,31.26,2174373,XL
2013-10-03,31.16,31.21,30.72,30.87,1245630,XL
2013-10-04,30.89,31.18,30.83,31.15,928545,XL
2013-10-07,30.99,31.42,30.24,31.11,1291117,XL
2013-10-08,31.17,31.19,30.59,30.6,1391125,XL
2013-10-09,30.67,30.68,30.37,30.58,1550369,XL
2013-10-10,30.94,31.28,30.93,31.28,1637990,XL
2013-10-11,31.19,31.42,31.13,31.3,1809524,XL
2013-10-14,31.12,31.475,31.115,31.45,1218422,XL
2013-10-15,31.45,31.52,31.05,31.08,1192735,XL
2013-10-16,31.3,31.79,31.3,31.78,1160163,XL
2013-10-17,31.58,32.1,31.56,32.07,1072251,XL
2013-10-18,32.24,32.26,31.91,32.08,1229202,XL
2013-10-21,32.14,32.2,31.84,31.87,1163069,XL
