date,open,high,low,close,volume,Name
2013-02-08,75.02,75.99,74.96,75.85,911179,ZBH
2013-02-11,75.75,75.98,75.35,75.65,665462,ZBH
2013-02-12,75.65,75.82,75.35,75.44,1048252,ZBH
2013-02-13,75.74,76.75,75.66,76.0,931746,ZBH
2013-02-14,75.86,76.4,75.75,76.34,860104,ZBH
2013-02-15,76.22,76.4,75.35,75.9,1176884,ZBH
2013-02-19,75.74,76.31,74.82,76.11,1074873,ZBH
2013-02-20,75.87,76.18,75.23,75.31,1610357,ZBH
2013-02-21,75.15,75.27,73.54,73.87,1029191,ZBH
2013-02-22,74.23,74.39,73.74,74.14,675761,ZBH
2013-02-25,74.5,74.87,73.07,73.07,796377,ZBH
2013-02-26,73.51,73.93,72.54,73.53,862508,ZBH
2013-02-27,73.52,74.6,73.31,74.45,769397,ZBH
2013-02-28,74.45,75.33,74.4,74.96,1197257,ZBH
2013-03-01,74.57,75.05,73.95,74.99,941871,ZBH
2013-03-04,74.76,74.97,74.13,74.86,896993,ZBH
2013-03-05,75.06,75.87,74.97,75.83,775541,ZBH
2013-03-06,76.0,76.42,75.21,75.29,845747,ZBH
2013-03-07,75.34,75.69,74.61,74.89,721975,ZBH
2013-03-08,75.21,75.52,74.74,75.4,593274,ZBH
2013-03-11,75.13,75.981,74.98,75.74,508494,ZBH
2013-03-12,75.53,76.25,75.09,76.2,681002,ZBH
2013-03-13,76.04,76.32,75.63,76.06,1032128,ZBH
2013-03-14,75.71,75.71,73.66,74.85,2229313,ZBH
2013-03-15,74.54,74.55,73.09,73.97,1961898,ZBH
2013-03-18,73.15,73.68,72.62,73.24,919446,ZBH
2013-03-19,73.42,73.62,72.49,73.0,770900,ZBH
2013-03-20,73.65,73.87,73.1,73.21,1025649,ZBH
2013-03-21,72.91,73.35,72.24,72.38,901118,ZBH
2013-03-22,72.59,73.45,72.35,73.45,810584,ZBH
2013-03-25,73.66,73.83,72.61,72.92,601172,ZBH
2013-03-26,73.11,74.23,72.98,74.21,1176336,ZBH
2013-03-27,73.77,74.22,73.29,74.22,1315650,ZBH
2013-03-28,74.05,75.46,73.42,75.22,1670188,ZBH
2013-04-01,75.03,75.36,74.44,75.13,693613,ZBH
2013-04-02,75.45,75.93,75.06,75.33,802182,ZBH
2013-04-03,75.39,75.42,74.17,74.46,1076684,ZBH
2013-04-04,74.71,75.43,74.41,75.25,1150754,ZBH
2013-04-05,74.32,74.37,73.43,74.03,1421359,ZBH
2013-04-08,73.77,74.42,73.46,74.31,803538,ZBH
2013-04-09,74.93,75.58,74.58,75.37,962698,ZBH
2013-04-10,75.49,76.17,74.97,75.85,1038593,ZBH
2013-04-11,75.97,77.53,75.81,76.3,1472190,ZBH
2013-04-12,75.94,76.16,74.83,75.46,920864,ZBH
2013-04-15,75.18,75.38,73.69,73.69,822616,ZBH
2013-04-16,73.19,73.61,72.31,73.5,1450604,ZBH
2013-04-17,73.14,73.61,72.65,73.18,1816777,ZBH
2013-04-18,73.43,73.6,72.6501,72.97,1274658,ZBH
2013-04-19,73.14,73.95,72.67,73.93,636049,ZBH
2013-04-22,73.88,73.934,73.21,73.36,790520,ZBH
2013-04-23,73.54,74.52,73.4,74.46,826084,ZBH
2013-04-24,74.33,75.24,74.15,74.53,1400618,ZBH
2013-04-25,74.9,76.13,74.82,75.49,1187800,ZBH
2013-04-26,75.47,75.96,74.97,74.97,905301,ZBH
2013-04-29,74.99,76.4,74.94,76.17,1107340,ZBH
2013-04-30,75.93,76.56,75.5,76.45,1836240,ZBH
2013-05-01,76.05,76.41,75.2016,75.3,617727,ZBH
2013-05-02,75.61,76.33,75.1212,75.68,704625,ZBH
2013-05-03,76.3,77.1,76.08,77.0,799614,ZBH
2013-05-06,76.69,77.51,76.52,76.96,738061,ZBH
2013-05-07,76.87,77.3,76.55,77.3,1091042,ZBH
2013-05-08,77.04,78.25,76.91,78.19,1130385,ZBH
2013-05-09,77.91,78.74,77.58,78.28,670634,ZBH
2013-05-10,78.19,79.58,77.79,79.39,1255554,ZBH
2013-05-13,79.0,80.28,78.8,79.97,1116890,ZBH
2013-05-14,79.86,80.99,79.86,80.89,954135,ZBH
2013-05-15,80.49,81.37,80.4,80.99,1143453,ZBH
2013-05-16,80.29,81.355,80.25,80.62,1001156,ZBH
2013-05-17,80.18,80.52,79.65,80.34,1426507,ZBH
2013-05-20,80.16,81.185,79.97,80.81,968471,ZBH
2013-05-21,81.05,81.72,80.76,81.01,967015,ZBH
2013-05-22,81.02,81.92,79.41,79.86,1007463,ZBH
2013-05-23,79.35,80.0,79.26,79.95,781532,ZBH
2013-05-24,79.42,80.17,78.94,79.87,579408,ZBH
2013-05-28,80.47,81.2699,80.2696,80.78,665445,ZBH
2013-05-29,80.17,80.17,78.44,79.01,1283657,ZBH
2013-05-30,79.25,80.37,79.0,79.94,599211,ZBH
2013-05-31,79.59,80.09,78.51,78.51,1080690,ZBH
2013-06-03,78.77,79.13,78.09,78.83,1769972,ZBH
2013-06-04,78.66,78.77,76.83,77.6,1497439,ZBH
2013-06-05,77.48,78.185,77.15,77.17,1038223,ZBH
2013-06-06,77.27,78.3,76.8,78.3,688217,ZBH
2013-06-07,78.68,79.09,78.13,78.73,556103,ZBH
2013-06-10,78.72,78.98,77.85,78.5,972174,ZBH
2013-06-11,77.85,78.5,77.04,77.39,1237233,ZBH
2013-06-12,78.05,78.05,76.87,77.01,1028910,ZBH
2013-06-13,76.95,78.6,76.02,78.44,714249,ZBH
2013-06-14,78.35,78.83,77.65,77.86,484403,ZBH
2013-06-17,78.53,80.48,78.53,79.65,1372463,ZBH
2013-06-18,79.58,80.55,79.524,79.79,861698,ZBH
2013-06-19,79.91,79.91,77.84,77.94,892000,ZBH
2013-06-20,77.08,77.3,75.22,75.44,1093612,ZBH
2013-06-21,76.09,76.76,75.65,76.38,1025690,ZBH
2013-06-24,75.79,75.95,74.55,75.27,1015918,ZBH
2013-06-25,75.92,76.11,74.85,74.97,1036553,ZBH
2013-06-26,75.49,76.26,74.91,74.94,1151795,ZBH
2013-06-27,75.56,75.67,74.84,74.96,1151300,ZBH
2013-06-28,74.92,75.44,74.57,74.94,1575768,ZBH
2013-07-01,75.17,75.85,74.85,75.0,1223658,ZBH
2013-07-02,75.04,76.56,75.0,76.08,1194326,ZBH
2013-07-03,75.86,75.93,74.95,75.42,492119,ZBH
2013-07-05,75.8,76.35,75.5,76.32,429087,ZBH
2013-07-08,76.49,77.54,76.42,77.08,869076,ZBH
2013-07-09,77.37,77.47,76.6,76.88,893837,ZBH
2013-07-10,76.9,77.77,76.6846,77.2,826857,ZBH
2013-07-11,78.11,78.37,77.59,78.17,682262,ZBH
2013-07-12,78.26,79.38,77.9,78.95,696472,ZBH
2013-07-15,78.9,79.59,78.88,79.56,674903,ZBH
2013-07-16,79.7,81.17,79.56,80.13,1373581,ZBH
2013-07-17,80.55,81.92,80.44,81.68,1272215,ZBH
2013-07-18,81.62,82.28,81.54,82.21,988544,ZBH
2013-07-19,82.19,85.08,81.88,84.67,2322653,ZBH
2013-07-22,83.85,84.79,83.43,84.52,952648,ZBH
2013-07-23,84.43,84.595,83.592,84.5,1291300,ZBH
2013-07-24,84.5,84.57,83.74,84.04,873354,ZBH
2013-07-25,83.98,84.43,82.67,82.9,1479640,ZBH
2013-07-26,82.6,84.55,82.5,84.48,897018,ZBH
2013-07-29,83.85,84.0,83.02,83.62,1209615,ZBH
2013-07-30,83.55,83.88,82.75,82.99,580358,ZBH
2013-07-31,83.29,84.0,83.0701,83.48,1000769,ZBH
2013-08-01,83.9,84.755,83.4,84.47,1039715,ZBH
2013-08-02,83.89,84.05,83.66,84.0,925064,ZBH
2013-08-05,83.57,84.45,83.4,83.94,647879,ZBH
